"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00997542","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","A. Lourteig","H. S. Irwin","22745","1969","01","28","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997542","NY00997542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:39:02-03","MBM","MBM","348508","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","Knuth","Lourteig, A.","Hatschbach, G.; Pelanda, P.; Pelanda, P.","27968","1971","11","15","Southern America","Brazil","Minas Gerais","Biri-Biri","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Flor amarela, campo pedregoso (rupestre).; Flor amarela.; Campo rupestre pedregoso.","MBM348508","MBM348508","NEOTYPE","Diamantina","101169","auto",NA,NA,NA,NA,NA
"3","2015-11-07 04:08:31-02","MNHN","RECOLNAT_MNHN_P","P02440087","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","Lourteig","Hatschbach, G.|Pelanda, P.",NA,"1971","11","15",NA,"Brésil",NA,"Minas Gerais : Biri-Biri (Mun. Diamantina)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02440087' target='other'> <mi>dwc_moreinfo</mi></a>","P02440087","P02440087_01","néotype",NA,NA,NA,"27968",NA,NA,NA,NA
"4","2015-09-05 10:05:51-03","MNHN","RECOLNAT_MNHN_P","P05555640","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth",NA,"Irwin, H.S.|Santos, R.R.|Souza, R.|Fonseca, S.F.",NA,"1969","1","28",NA,"Brasil","Minas Gerais","ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço",NA,NA,"1300",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05555640' target='other'> <mi>dwc_moreinfo</mi></a>","P05555640","P05555640_01",NA,NA,NA,NA,"22745",NA,NA,NA,NA
"5","2019-11-13 11:27:50-03","USP","SPF","189429","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","Lourteig, A","Irwin, HS","22745","1969","01","28",NA,"Brasil","Minas Gerais","Serra do Espinhaço",NA,NA,"1300","1300",NA,NA,"SPF00189429",NA,NA,NA,NA,NA,NA,"1969",NA,NA,NA
"6","2019-11-13 11:27:50-03","USP","SPF","74028","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","Fiaschi, P","Arbo, MM","5066","1991","02","14",NA,"Brasil","Minas Gerais",NA,"-43.6","-18.15","1100","1100",NA,NA,"SPF00074028",NA,NA,"Diamantina",NA,NA,NA,"2004","08","-43.6","-18.15"
"7","2019-11-13 11:27:50-03","USP","SPF","78264","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","Fiaschi, P","Arbo, MM","4444","1990","05","19",NA,"Brasil","Minas Gerais",NA,"-43.75","-18.183333","1100","1100",NA,NA,"SPF00078264",NA,NA,"Diamantina",NA,NA,NA,"2004","08","-43.75","-18.183333"
"8","2020-08-20 14:58:42-03","UFSC","FLOR","50174","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","Fiaschi, P.","Pereira, E.","1706","1955","06","06",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"flor amarela","FLOR0050174",NA,NA,"Diamantina","101169","auto",NA,"2013","02",NA,NA
"9","2019-11-21 10:13:58-03","IBt","SP","111790","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","diamantinae","Oxalis diamantinae","R.Knuth","Lourteig, A","Irwin, HS; Reis dos Santos, R; Souza, R; Fonsêca, SF","22745","1969","01","28",NA,"Brasil","Minas Gerais","Ca. 12 km N.E. of Diamantina, road to Mendanha","-43.6002998352051","-18.2493991851807","1300","1300",NA,NA,NA,NA,NA,"Diamantina","101169","auto",NA,"1969",NA,NA,NA
