"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:43:34-03","E","E","106063","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnei","Lycianthes rantonnei","Hassler, E.","11727","W. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:114265","<a href=http://data.rbge.org.uk/herb/E00106063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","911175","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnei","Lycianthes rantonnei","W. R. Anderson","9186","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911175","Magnoliophyta","Solanales","(Carrière) Bitter","M. H. Nee","1973","04","19","Minas Gerais","13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","-44.45237","-15.56637","575","575","NY00911175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","911176","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnei","Lycianthes rantonnei","W. R. Anderson","9139","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911176","Magnoliophyta","Solanales","(Carrière) Bitter","M. H. Nee","1973","04","19","Minas Gerais","13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","-44.45237","-15.56637","575","575","NY00911176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-24 17:11:06-03","UTFPR","DVPR","258","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnei","Lycianthes rantonnei","Ferreira, GM; et al.","60",NA,"Brasil",NA,NA,"Arvoreta, frutos verdes e flor branca.","DVPR000258","Magnoliophyta",NA,"(Carrière) Bitter","Ferreira, GM","2007","01","26","Paraná","Fazenda Coro do Boi, Warta","-51.1627998352051","-23.3103008270264",NA,NA,"DVPR000258","2007","Londrina","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:35:25-03","NBC","NL-BOTANY","L.2881342","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnetii","Lycianthes rantonnetii","Herzog T",NA,"Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881342 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2881342",NA,"Solanales","(Carrière) Bitter","Nee MH","1907","05","01",NA,NA,NA,NA,NA,NA,"NL-L2881342",NA,NA,NA,NA,"Magnoliopsidae","L 0403133",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:35:25-03","NBC","NL-BOTANY","L.2881343","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnetii","Lycianthes rantonnetii","Pedersen TM",NA,"Southern America","Argentina",NA,NA,"Woodland on clay, in the undergrowth<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881343 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2881343",NA,"Solanales","(Carrière) Bitter","Nee MH","1969","04","05","Corrientes",NA,NA,NA,NA,NA,"NL-L2881343",NA,NA,NA,NA,"Magnoliopsidae","L 0403134",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:35:25-03","NBC","NL-BOTANY","U.1729201","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnetii","Lycianthes rantonnetii","Schinini A",NA,"Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1729201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1729201",NA,"Solanales","(Carrière) Bitter",NA,"1993","01","20",NA,"Misiones, Dep. Candelaria, Loc. Loreto.",NA,NA,NA,NA,"NL-U1729201",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:35:25-03","NBC","NL-BOTANY","U.1729249","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnetii","Lycianthes rantonnetii","Woolston AL",NA,"Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1729249 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1729249",NA,"Solanales","(Carrière) Bitter",NA,"1955","04","03",NA,"Depto. San Pedro, alto Paraguay: Primavera.",NA,NA,NA,NA,"NL-U1729249",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:16:09-03","ESALQ","ESA","139304","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnei","Lycianthes rantonnei","Fabri, A.","3.0",NA,"Brasil",NA,NA,NA,"ESA139304",NA,NA,"(Carrière) Bitter","D. S. Gissi","2016","07","07","São Paulo","ESALQ. Cultivada no horto.","-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"Piracicaba","44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:19:54-03","ESALQ","ESA","113136","PreservedSpecimen","Plantae","Solanaceae","Lycianthes","rantonnei","Lycianthes rantonnei","Lovato, M.C.","494.0",NA,"Brasil",NA,NA,NA,"ESA113136","Magnoliophyta",NA,NA,"Vieira, A.O.S.","2004","03","08","Paraná",NA,"-51.1627998352051","-23.3103008270264",NA,NA,"ESA113136","2004","Londrina","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
