"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414835","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","W. G. F. Herter","W. G. F. Herter","632","1930","12","South America","Uruguay","Departamento de San José. Arroyo San José","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414835","NY00414835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414834","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","F. R. R. Schlechter","P. K. H. Dusén","8900","1909","10","South America","Brazil","Curitiba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414834","NY00414834_01","25","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:07-03","NBC","NL-BOTANY","L.1500100","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Vervoorst F",NA,"1957","11","Southern America","Argentina","Braires : pdo Moron Villa Udamdo. *.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1500100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1500100","NL-L1500100","08",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:46:07-03","NBC","NL-BOTANY","L.1500101","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Düsen P; Lange RB",NA,"1909","10","Southern America","Brazil","Plantae Brasilienses. Parana: Curityba, in silvula ad terram.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1500101 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1500101","NL-L1500101","25",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:48-03","MN","R","2494","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Hoehne, F.C.","s.col.","236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:31-03","IAP","PACA-AGP","60615","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Ldl.","Emrich-Rambo","Camargo, O. R.","914","1956","11",NA,"Brasil",NA,NA,NA,NA,"EM PERIGO Habitat: In araucarieto aperto Fenofase: flor","PACA060615",NA,"05","RS","Farroupilha","-51.3478012084961","-29.2250003814697","Liliatae","1957","05","19","19545","auto",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:31-03","IAP","PACA-AGP","45732","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Ldl.","Pabst","Rambo, B.",NA,"1950","02",NA,"Brasil","Santa Rita",NA,NA,NA,"EM PERIGO Habitat: In paludosis dumetosis Fenofase: fruto maturo","PACA045732",NA,"07","RS","Farroupilha","-51.3478012084961","-29.2250003814697","Liliatae","1954","09","03","19545","auto",NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:31-03","IAP","PACA-AGP","56055","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Ldl.","Emrich-Rambo","Pivetta","488","1953","11",NA,"Brasil","Dr. Pestana",NA,NA,NA,"EM PERIGO Habitat: In umbrosis Fenofase: flor","PACA056055",NA,"05","RS","Ijuí","-53.9146995544434","-28.3878002166748","Liliatae","1955","04","09","36807","auto",NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:31-03","IAP","PACA-AGP","52648","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Ldl.","Pabst","Rambo, B.",NA,"1951","12",NA,"Brasil","Passo do Socorro",NA,NA,NA,"EM PERIGO Habitat: In araucarieto Fenofase: fruto semievoluto","PACA052648",NA,"29","RS","Vacaria","-50.9338989257812","-28.5121994018555","Liliatae","1954","09","03","63451","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-16 17:50:18-03","UCS","HUCS","4876","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Colla, F.B.","Dosciatti, M.","s.n.","1988","11",NA,"Brasil","Ana Rech - Faxinal","700","700",NA,"solo; interior da mata",NA,NA,"09","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557",NA,"2013","07","10","49662","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:38:19-03","MBM","MBM","49065","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea paranaensis","Schltr.","Pabst, G.","Hatschbach, G.","3291","1953","11","Southern America","Brazil","Arredores",NA,NA,NA,"Terrestre, flor verde, internamente alva. Unicata","MBM049065","MBM049065","02","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,"1956","09","14","25180","auto","paranaensis",NA,NA,NA,NA,NA
"12","2020-12-21 16:38:19-03","MBM","MBM","55219","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea paranaensis","Schltr.","Pabst, G.","Kummrow, R.","1203","1977","11","Southern America","Brazil","Rio Belém, Prado Velho",NA,NA,NA,"Terrícola, flor alvescente, em mata de galeria","MBM055219","MBM055219","12","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,"1978","03","09","25180","auto","paranaensis",NA,NA,NA,NA,NA
"13","2020-12-21 16:38:19-03","MBM","MBM","12508","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Hatschbach, G.","Hatschbach, G.","23261","1969","12","Southern America","Brazil","Vargem Grande","780","780",NA,"Terrícola, gramados a beira do Araucarieto. Flor verde, base alvescente","MBM012508","MBM012508","16","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,"1970","01",NA,"31353","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:38:19-03","MBM","MBM","24807","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea paranaensis","Schltr.","Pabst, G.","Hatschbach, G.","30832","1972","11","Southern America","Brazil","Três Capões",NA,NA,NA,"Interior de capão, flor verde","MBM024807","MBM024807","22","Paraná","Clevelândia","-52.4707984924316","-26.3957996368408",NA,"1973","12","21","30860","auto","paranaensis",NA,NA,NA,NA,NA
"15","2020-12-21 16:38:19-03","MBM","MBM","49065","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea paranaensis","Schltr.","Pabst, G.","Hatschbach, G.","3291","1953","11","Southern America","Brazil","Arredores",NA,NA,NA,"Terrestre, flor verde, internamente alva. Unicata","MBM049065","MBM049065","02","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,"1956","09","14","25180","auto","paranaensis",NA,NA,NA,NA,NA
"16","2020-12-21 16:38:19-03","MBM","MBM","55219","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea paranaensis","Schltr.","Pabst, G.","Kummrow, R.","1203","1977","11","Southern America","Brazil","Rio Belém, Prado Velho",NA,NA,NA,"Terrícola, flor alvescente, em mata de galeria","MBM055219","MBM055219","12","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,"1978","03","09","25180","auto","paranaensis",NA,NA,NA,NA,NA
"17","2020-12-21 16:38:19-03","MBM","MBM","24807","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea paranaensis","Schltr.","Pabst, G.","Hatschbach, G.","30832","1972","11","Southern America","Brazil","Três Capões",NA,NA,NA,"Interior de capão, flor verde","MBM024807","MBM024807","22","Paraná","Clevelândia","-52.4707984924316","-26.3957996368408",NA,"1973","12","21","30860","auto","paranaensis",NA,NA,NA,NA,NA
"18","2004-08-09 17:42:50-03","MNHN","RECOLNAT_MNHN_P","P00363401","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Szlachetko","Nadeaud, J.",NA,NA,NA,NA,"Brésil","s.loc.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363401' target='other'> <mi>dwc_moreinfo</mi></a>","P00363401","P00363401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-09-14 18:06:48-03","MNHN","RECOLNAT_MNHN_P","P00363402","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Correa","Fruchard, C.",NA,"1877","6",NA,"Uruguay","Rochers de Malvino, Montevideo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363402' target='other'> <mi>dwc_moreinfo</mi></a>","P00363402","P00363402_01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-03 19:54:56-03","MNHN","RECOLNAT_MNHN_P","P00363403","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Fruchard, C.",NA,"1874","11",NA,"Uruguay","Montevideo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363403' target='other'> <mi>dwc_moreinfo</mi></a>","P00363403","P00363403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-09-03 19:54:56-03","MNHN","RECOLNAT_MNHN_P","P00363404","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Hauman","Fruchard, C.",NA,"1874","11",NA,"Uruguay","Montevideo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363404' target='other'> <mi>dwc_moreinfo</mi></a>","P00363404","P00363404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-03 19:49:38-03","MNHN","RECOLNAT_MNHN_P","P00363405","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Hauman","Fruchard, C.",NA,NA,NA,NA,"Uruguay","Montevidéo, bord de l'Uruguay",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363405' target='other'> <mi>dwc_moreinfo</mi></a>","P00363405","P00363405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"489",NA,NA,NA,NA
"23","2015-09-03 19:54:56-03","MNHN","RECOLNAT_MNHN_P","P00363406","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Fruchard, C.",NA,"1875","8",NA,"Uruguay","Cerra melones",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363406' target='other'> <mi>dwc_moreinfo</mi></a>","P00363406","P00363406_01","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-14 18:06:42-03","MNHN","RECOLNAT_MNHN_P","P00363407","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Fruchard, C.",NA,"1867","11",NA,"Uruguay","Montevidéo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363407' target='other'> <mi>dwc_moreinfo</mi></a>","P00363407","P00363407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-09-04 14:31:57-03","MNHN","RECOLNAT_MNHN_P","P00363408","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Fruchard, C.",NA,"1874","10",NA,"Uruguay","San Puevio",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363408' target='other'> <mi>dwc_moreinfo</mi></a>","P00363408","P00363408_01","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-03 19:33:11-03","MNHN","RECOLNAT_MNHN_P","P00363409","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Cogniaux","Courbon, A.",NA,"1856",NA,NA,"Uruguay","Montevidéo (Plata)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363409' target='other'> <mi>dwc_moreinfo</mi></a>","P00363409","P00363409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"489",NA,NA,NA,NA
"27","2016-02-18 13:40:23-02","MNHN","RECOLNAT_MNHN_P","P00363410","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Courbon, A.",NA,"1853",NA,NA,"Uruguay","Montevidéo (plata), Ile San-Gabriel",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00363410' target='other'> <mi>dwc_moreinfo</mi></a>","P00363410","P00363410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2015-09-04 14:34:30-03","MNHN","RECOLNAT_MNHN_P","P00369500","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Schlechter","Dusén, P.|Lauge, R.",NA,"1909","10",NA,"Brésil","Parana, Curityka, in silvula ad terram",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00369500' target='other'> <mi>dwc_moreinfo</mi></a>","P00369500","P00369500_01","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8900",NA,NA,NA,NA
"29","2021-02-11 17:20:54-03","UFPR","UPCB","85642","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Smidt, E.C.","Klein, J.","112",NA,NA,NA,"Brasil",NA,NA,NA,NA,"Amostra conservada em solução de glicerina com álcool..",NA,NA,NA,"Rio Grande do Sul","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA
"30","2009-12-07 22:07:00-02","MO","MOBOT","2254919","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Correa, M. N.","Elisa G. Nicora","Nicora 2829","1940","11","South America","Argentina","Santa Catalina",NA,NA,NA,NA,NA,NA,"21","Buenos Aires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2010-11-28 09:08:00-02","MO","MOBOT","2254943","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Correa, M. N., I-","Bruno G. Piccinini|Raul R. Leguizamón|J. Hilfer","Piccinini 2709","1975","12","South America","Argentina","Mar del Plata, Peralta Ramos.",NA,NA,NA,NA,NA,NA,"15","Buenos Aires","General Pueyrredón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2009-07-21 23:34:00-03","MO","MOBOT","2480528","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Per Dusén","Dusén 8900",NA,NA,"South America","Brazil","Curitiba",NA,NA,NA,NA,NA,NA,NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2011-02-25 14:27:00-03","MO","MOBOT","2518006","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Mariano B. Berro","Berro 5431","1908","11","South America","Uruguay","Canelón Chico",NA,NA,NA,NA,NA,NA,"14","Canelones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","1134106","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea",NA,NA,"C. Osten","s.n.","1911","11","South America","Uruguay",NA,NA,NA,NA,NA,NA,NA,"26","Montevideo",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","1193740","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Chloraea","membranacea","Chloraea membranacea",NA,NA,"H. M. Smith","87","1922","11","South America","Uruguay",NA,NA,NA,NA,NA,NA,NA,"19","San Jose",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"36","2019-10-29 10:08:18-03","UFPR","EFC","17705","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Souza, I.","Souza, I.","329","2018","11",NA,"Brasil","Bairro Serrinha","942","942",NA,"Erva 50 cm, frutos jovens com estruturas florais persistentes. Coloração esverdeada. Em aceiro entre FOM avançada e plantio de Pinus.","EFC017705",NA,"26","PR","Colombo","-49.180476","-25.243373",NA,"2018","11","27",NA,NA,NA,NA,NA,"-49.180476","-25.243373",NA
"37","2019-07-09 12:43:22-03","F","FMNH-SEEDPLANTS","V0435913F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea",NA,NA,"P. Dusén & R. Lange","8900","1909","10","South America","Brazil",NA,NA,NA,NA,NA,"V0435913F","V0435913F_01","25",NA,NA,"-52.8731","-10.8339","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 17:30:10-03","UEM","HUEM","33274","S","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.","Costa, AC","Costa, AC","52","2016","11",NA,"Brasil","Distrito de Faxinal do Céu.",NA,NA,NA,NA,"HUEM000016950","HUEM000016950","18","Paraná","Pinhão","-51.597175","-25.897194",NA,"2016","11",NA,NA,NA,NA,NA,NA,"-51.597175","-25.897194",NA
"39","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Tweedie, J","s.n.",NA,NA,NA,"?","Bonaria.",NA,NA,NA,NA,NA,"P03P4N0020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Gibert, JE","489",NA,NA,"Southern America","Uruguay","Habitat in Uruguay prope Montevideo .",NA,NA,NA,"locis humidis et ad margines viarum.; HABITAT: locis humidis et ad margines viarum.",NA,"P03P4N0020",NA,"Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Chloraea","membranacea","Chloraea membranacea","Lindl.",NA,"Arechavaleta, J","489",NA,NA,"Southern America","Uruguay","Habitat in Uruguay prope Montevideo .",NA,NA,NA,"locis humidis et ad margines viarum.; HABITAT: locis humidis et ad margines viarum.",NA,"P03P4N0020",NA,"Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
