"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus"
"46","2021-02-25 10:11:54-03","CVRD","CVRD","4685","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Geovane S. Siqueira","Folli, D.A.","2074","1993","11","08","América do Sul","BRASIL","ES","Após a Estrada Caingá.",NA,"<ll>dwc_commonname:</ll> Amendoim","CVRD004685","CVRD004685","-40.0722007751465","-19.3910999298096","Linhares","48094","auto",NA,NA,NA,NA,"2012","06","05",NA,NA,"Magnoliopsida",NA,NA
"47","2020-09-12 05:00:02-03","US","US","USw9625","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,NA,"B. A. Krukoff","5553",NA,NA,NA,"South America - Neotropics","Brazil","Acre","Near mouth of Rio Macauhan, basin of Rio Purus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"48","2020-09-12 05:00:02-03","US","US","1194874","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"A. F. M. Glaziou","834","1876","10","4","South America - Neotropics","Brazil",NA,NA,NA,"Transcribed by digital volunteers","US01258585","US01258585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"49","2020-09-12 05:00:02-03","US","US","2970553","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"E. P. Heringer","16038","1976","9","23","South America - Neotropics","Brazil","Minas Gerais","Mun. de Dionisio, Parque Estadual do Rio Doce.",NA,"Transcribed by digital volunteers","US01258581","US01258581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"50","2020-09-12 05:00:02-03","US","US","3146187","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"G. Hatschbach","49924","1985","10","13","South America - Neotropics","Brazil","Espirito Santo","Alto Bananal (mun. Conceicao do Castelo)",NA,"Transcribed by digital volunteers","US01258580","US01258580_01",NA,NA,NA,NA,NA,NA,NA,"800",NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"51","2020-09-12 05:00:02-03","US","US","1484612","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,"In Umbrasis Humidisculis.",NA,"Transcribed by digital volunteers","US01258586","US01258586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"52","2020-09-12 05:00:02-03","US","US","1664141","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"B. A. Krukoff","s.n.","1933","8","17","South America - Neotropics","Brazil","Acre","Near mouth of Rio Macauhan (tributary of Rio Yaco)",NA,"Transcribed by digital volunteers","US01258582","US01258582_01","-69","-9.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"53","2020-09-12 05:00:02-03","US","US","2820956","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"C. G. Leal","484",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro","Obras Publicas perto do Horto Florestal.",NA,"Transcribed by digital volunteers","US01258584","US01258584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"54","2020-09-12 05:00:02-03","US","US","1442269","PreservedSpecimen","Plantae",NA,"Euphorbiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll. Arg.",NA,"A. Ducke & A. Dueke","16598","1921","11","5","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"Transcribed by digital volunteers","US01258583","US01258583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"55","2021-03-15 18:26:52-03","USP","SPF","192665","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Cordeiro, I","Lima, RAF","772","2009","08","13",NA,"Brasil","São Paulo","Na beira da rodovia SP 55, aproximadamente no km 75.",NA,"Árvore ca. 2.5 m alt., flores esverdeadas","SPF00192665","SPF00192665","-45.675556","-23.758611","São Sebastião",NA,NA,"-45.675556","-23.758611",NA,NA,"2009","08",NA,NA,NA,NA,NA,NA
"56","2021-03-15 18:26:52-03","USP","SPF","192864","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Cordeiro, I","Frutuoso, LCF","127","1990","10","20",NA,"Brasil","Rio de Janeiro","Caminho da Praia dos antigos para Praia Negro.",NA,"Árvore de 10 m. Flores pequenas; raque da inflorescência verde, anteras amarelas. Folhas coriáceas.; Mata.","SPF00192864","SPF00192864","-44.7131004333496","-23.2178001403809","Paraty","34470","auto",NA,NA,NA,NA,"2014","03",NA,NA,NA,NA,NA,NA
"57","2019-11-13 11:19:49-03","USP","SPF","196743","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Emmerich, M","Pessoal do Horto Florestal","s.n.","1927","11","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"SPF00196743","SPF00196743","-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,"2006","04",NA,NA,NA,NA,NA,NA
"58","2021-03-15 18:26:52-03","USP","SPF","150609","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","Cordeiro, I","Cordeiro, I","2334","2000","09","27",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar",NA,"Trilha do Jequitibá, floresta ombrófila densa.; Árvore ca. 11 m alt., 19.4 cm de dia., 1.3 m do sol, casca lisa, descamante, semelhante a Caesalpinia ferrea, inflorescências esverdeadas, anteras creme, fruto imaturo verde.","SPF00150609","SPF00150609","-45.4099998474121","-23.6200008392334","Caraguatatuba","30093","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
