"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","501361","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galium","humile","Galium humile","Cham. & Schltdl.","P. G. Delprete","P. G. Delprete","7011","1998","12","05","South America","Brazil","Santa Catarina","Bom Jardim da Serra","Planalto Meridional. Rod. SC-438, km 34. Hotel Rural Passo Velho","-49.68","-28.32","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501361","NY00501361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:24:06-03","NBC","NL-BOTANY","U.1562495","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Galium","humile","Galium humile","Cham. & Schltdl.","Delprete PG","Lindeman JC; Porto ML",NA,"1973","02","03","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1562495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1562495","NL-U1562495","Magnoliopsidae","U 0100056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:27:41-03","NBC","NL-BOTANY","L.2955955","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K.Schum.",NA,"Pedersen TM",NA,"1962","09","26","Southern America","Paraguay",NA,NA,"Estancia 'La Soledad', Santiago, Dep. Misiones.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955955","NL-L2955955","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:27:41-03","NBC","NL-BOTANY","WAG.1401322","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K.Schum.",NA,"Pedersen TM",NA,"1962","09","26","Southern America","Paraguay",NA,NA,"Estancia 'La Soledad', Santiago, Dep. Misiones.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1401322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1401322","NL-WAG1401322","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:32:30-03","IAP","PACA-AGP","1240","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1932","10","12",NA,"Brasil","RS","Vila Manresa",NA,NA,NA,NA,NA,NA,"fl. fr. Habitat: in humidis graminosis Fenofase: flor","PACA001240",NA,"Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:32:30-03","IAP","PACA-AGP","30875","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1946","01","01",NA,"Brasil","RS","Vila Oliva",NA,NA,NA,NA,NA,NA,"fl. fr. Habitat: in graminosis humidis Fenofase: flor","PACA030875",NA,"Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:32:30-03","IAP","PACA-AGP","30940","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1946","01","02",NA,"Brasil","RS","Vila Oliva",NA,NA,NA,NA,NA,NA,"fl. fr. Habitat: in humidis graminosis Fenofase: flor","PACA030940",NA,"Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:32:30-03","IAP","PACA-AGP","31664","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1945","12","12",NA,"Brasil","RS","Vila Manresa",NA,NA,NA,NA,NA,NA,"fl. fr. Habitat: in humidis graminosis Fenofase: flor","PACA031664",NA,"Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:32:30-03","IAP","PACA-AGP","34852","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1947","01","05",NA,"Brasil","RS","Faz. da Ronda",NA,NA,NA,NA,NA,NA,"fl. fr. Habitat: in graminosis humidis Fenofase: flor","PACA034852",NA,"Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:32:30-03","IAP","PACA-AGP","38817","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Relbunium","humile","Relbunium humile","(Cham. & Schltdl.) K. Schum.","Emrich-Rambo","Rambo, B.",NA,"1948","12","14",NA,"Brasil","RS","Conceição da Barra",NA,NA,NA,NA,NA,NA,"fl. fr Habitat: in humidis graminosis Fenofase: flor","PACA038817",NA,"Magnoliatae",NA,"1954","09","15",NA,NA,NA,NA,NA,NA,NA
