"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:19-03","UNESC","CRI","8491","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","M. Ritter","2010","05","01","Beatriz Wessler; Bruna Alberton","2008","09","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI001194","CRI001194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:59-03","UNESC","CRI","3153","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","Vanilde Citadini- Zanette","1994","01","01","Robson dos Santos; Aurélio José de Aguiar","1993","05","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","CRI001196","CRI001196","116","Habitat: mata atlântica secundária de encosta Habito: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","8489","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","M. Ritter","2010","05","01","Beatriz Wessler; Bruna Alberton","2008","08","06","Brasil","Santa Catarina","Içara","SANTEC - Centro de Gerenciamento de Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI001201","CRI001201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:59-03","UNESC","CRI","13644","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","Renato Colares","2018","05","25","Renato Colares; Thuany Machado","2018","04",NA,"Brasil","Santa Catarina","Siderópolis",NA,"-49.456389","-28.592778","49º27'23''W","28º35'34''S","98","98","CRI012251",NA,NA,"Habitat: Terrestre Habito: Subarbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","8487","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","M. Ritter","2010","05","01","Bruna Alberton","2008","10","06","Brasil","Santa Catarina","Içara","SANTEC - Centro de Gerenciamento de Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI001203","CRI001203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:19-03","UNESC","CRI","1350","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","M. Ritter","2000","08","18","V. Citadini-Zanette; J. J. Zocche","1991","06","18","Brasil","Santa Catarina","Criciúma","Ceará.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001199","CRI001199","1515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:18-03","UNESC","CRI","12047","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","Guilherme Lodetti","2017","02","05","Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","450","450","CRI010225","CRI010225",NA,"Habito: Trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:19-03","UNESC","CRI","4880","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","Mara Ritter","2003","03","20","C. M. Martinello; Z. P. Topanotti","1995","09","07","Brasil","Santa Catarina","Forquilhinha","São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI001197","CRI001197","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:59-03","UNESC","CRI","3152","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello","1992","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001198","CRI001198","1815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:19-03","UNESC","CRI","8488","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.","M. Ritter","2010","05","01","Bruna Alberton","2008","10","06","Brasil","Santa Catarina","Içara","SANTEC - Centro de Gerenciamento de Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI001202","CRI001202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:24:59-03","UNESC","CRI","6560","PreservedSpecimen","Plantae","Asteraceae","Mikania","trinervis","Mikania trinervis","Hook. & Arn.",NA,NA,NA,NA,"Marilei Mendes Vicente","1999","10","17","Brasil","Santa Catarina","Morro Grande",NA,"-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"CRI001200","CRI001200",NA,"Habitat: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
