"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","fieldNumber","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02431274","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","rondoniensis","Swartzia rondoniensis","Torke & Mansano","J. L. Zarucchi","2710","1979","10","15","South America","Brazil","Rondônia","Mineração Campo Novo (ca 100 km SW of Ariquemes)","-63","-10.566667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2967531' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431274","NY02431274_01",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02431275","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","rondoniensis","Swartzia rondoniensis","Torke & Mansano","B. G. S. Ribeiro","1300","1976","02","10","South America","Brazil","Pará","Estrada Transamazônica entre Estreita e Marabá","-48.0768585","-5.7431149","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2967532' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431275","NY02431275_01",NA,NA,NA,NA,NA,NA
"3","2015-09-04 02:37:41-03","MNHN","RECOLNAT_MNHN_P","P03101809","PreservedSpecimen",NA,NA,NA,"Fabaceae","Swartzia","rondoniensis","Swartzia rondoniensis","Torke & Mansano","Krukoff, B.A.",NA,"1931","11","1",NA,"Brésil",NA,"State of Matto Grosso : near Tabajata, upper Machado River region",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03101809' target='other'> <mi>dwc_moreinfo</mi></a>","P03101809","P03101809_01 P03101809_02","Mansano","paratype","1442",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2892173","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Swartzia","rondoniensis","Swartzia rondoniensis","Torke & Mansano","J. L. Zarucchi, M. G. Vieira, R. H. Petersen, C. D. A. Mota & J. F. Ramos","2710","1979","10","15","South America - Neotropics","Brazil","Rondônia","Mineracao campo novo (ca. 100 km sw of ariquemes)","-63.6167","-10.5667",NA,NA,"US00421900","US00421900_01","Mansano, V. F.",NA,NA,"Dicotyledonae","1",NA
"5","2014-09-29 09:05:50-03","A","HU-HERB","A 00368532","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Swartzia","rondoniensis","Swartzia rondoniensis","Torke & Mansano","B. A. Krukoff","1443",NA,NA,NA,"South America","Brazil",NA,"State of Matto Grosso: near Tabajaza, upper Machado River region",NA,NA,"Sheet",NA,NA,NA,NA,NA,"1443",NA,NA,"undetermined"
"6","2014-09-29 09:07:30-03","GH","HU-HERB","GH 00368533","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Swartzia","rondoniensis","Swartzia rondoniensis","Torke & Mansano","J. L. Zarucchi, M. G. Viera, R. H. Petersen, C. D. Mota & J. F. Ramos","2710","1979","10","15","South America","Brazil","Rondonia (Terr.)","Mineracao Campo Novo (ca. 100 km SW of Ariquemes)",NA,NA,"Sheet",NA,NA,NA,NA,NA,"2710",NA,NA,"undetermined"
