"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:39:40-03","E","E","514190","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Pedersen, Troels Myndel","4793","Temperate South America","AR","Provincia de Corrientes","Dep. Mburucuyâ; Estancia Santa Teresa","herbarium specimen of unspecif","BGBASE:535488","<a href=http://data.rbge.org.uk/herb/E00514190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00864912","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","G. Davidse","11593","South America","Brazil","Minas Gerais","21 km N of Medina along Highway BR-116","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864912","Magnoliophyta","Poales","Raddi","G. Davidse","1976","03","30","Cachoeira de Pajeú","-41.4981","-15.9661","670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00864937","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","M. A. Chase","9622","South America","Brazil","Minas Gerais","West of Rio Casca, east of Sao Miguel, Serra da Gramma","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864937","Magnoliophyta","Poales","Raddi","M. A. Chase","1925","04","19",NA,NA,NA,"800","800","NY00864937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:00-03","EAO","IAN","62274","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Dutra","08","Southern America","Brasil","Rio Grande do Sul","São Leopoldo, subúrbios Barra.",NA,NA,NA,"IAN062274","Monocotiledônea",NA,"Raddi",NA,"1919","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:00-03","EAO","IAN","62274","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Dutra, J","8","Southern America","Brasil","Rio Grande do Sul","São Leopoldo, suburbios Barra.",NA,NA,NA,"IAN062274","Monocotiledônea",NA,"Raddi",NA,"1919","01",NA,"São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,NA,"10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:00-03","EAO","IAN","36175","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Santoro, J","s.n.","Southern America","Brasil","São Paulo","Alto Jardim Chapadão.",NA,NA,"Herbácea.","IAN036175","Monocotiledônea",NA,"Raddi",NA,"1943","02","24","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:00-03","EAO","IAN","36175","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Santoro, J","6696","Southern America","Brasil","São Paulo","Alto Jardim Chapadão.",NA,NA,NA,"IAN036175","Monocotiledônea",NA,"Raddi",NA,"1943","02","24","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-02 16:29:10-03","CPAN-UFMS","COR","4380","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Pott, V.J.; Pott, A.; Cervi, A.C.; Arantes, A.","3178",NA,"Brasil","Mato Grosso do Sul","Fazenda Porto Alegre.",NA,NA,"Habito: Erva",NA,NA,NA,"Raddi","A. Guglieri","1996","04","30","Nhecolândia","-56.588333","-18.960278","90","90",NA,NA,NA,"2009","05","21","56º35'18''W","18º57'37''S",NA,NA,NA,NA
"9","2020-02-08 10:19:16-03","NBC","NL-BOTANY","L.1300948","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Pedersen TM",NA,"Southern America","Argentina",NA,"Pago Los Deseos. dep. Saladas. Prov. corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300948",NA,"Poales","Raddi",NA,"1969","03","06",NA,NA,NA,NA,NA,"NL-L1300948",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-02-08 10:19:16-03","NBC","NL-BOTANY","L.1300949","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Pedersen TM",NA,"Southern America","Argentina",NA,"Estancia,,Santa Teresa'. Dep. Mburucuyá. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300949",NA,"Poales","Raddi",NA,"1958","01","06",NA,NA,NA,NA,NA,"NL-L1300949",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"11","2020-02-08 10:19:16-03","NBC","NL-BOTANY","L.1300950","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Hassler E",NA,"Southern America","Paraguay",NA,"Paraguaria centralis: in regione lacus Ypacaray.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300950",NA,"Poales","Raddi",NA,"1913","01","01",NA,NA,NA,NA,NA,"NL-L1300950",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"12","2020-02-08 10:19:16-03","NBC","NL-BOTANY","L.1300951","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Balansa B",NA,"Southern America","Paraguay",NA,"Bords du Rio-Paraguay, á l'assomptiong. *.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300951 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300951",NA,"Poales","Raddi",NA,"1875","01","03",NA,NA,NA,NA,NA,"NL-L1300951",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"13","2020-02-08 10:19:16-03","NBC","NL-BOTANY","U.1520886","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Bresky A; Radovancich A",NA,"Southern America","Argentina",NA,"Argentina-Corrientes, Dep. Berón de Astrada, Colonia Yahapé, Ea. Doña Marina.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520886 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520886",NA,"Poales","Raddi",NA,"1988","12","15",NA,NA,NA,NA,NA,"NL-U1520886",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"14","2020-02-08 10:19:16-03","NBC","NL-BOTANY","U.1520887","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Bresky A; Radovancich A",NA,"Southern America","Argentina",NA,"Argentina-Corrientes, Dep. Berón de Astrada, Colonia Yahapé, Ea. Doña Marina.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520887 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520887",NA,"Poales","Raddi",NA,"1988","12","15",NA,NA,NA,NA,NA,"NL-U1520887",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"15","2020-02-08 10:19:16-03","NBC","NL-BOTANY","WAG.1394013","PreservedSpecimen","Plantae","Gramineae","Paspalum","acuminatum","Paspalum acuminatum","Pedersen TM",NA,"Southern America","Argentina",NA,"Estancia,,Santa Teresa'. Dep. Mburucuyá. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1394013 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1394013",NA,"Poales","Raddi",NA,"1958","01","06",NA,NA,NA,NA,NA,"NL-WAG1394013",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"16","2020-11-04 12:18:51-03","ESALQ","ESA","2424","PreservedSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Sales, J.M.",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA002424","Magnoliophyta",NA,"Raddi","Oliveira, R.C.","1942","01","22","Tatuí","-47.8499984741211","-23.3500003814697",NA,NA,"ESA002424","22710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-19 10:24:56-03","CPAP","CPAP","1263","PreserverdSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Pott, A.","1890",NA,"Brasil","MS","Fazenda Santana, Sub-região de Paiaguás, Pantanal",NA,NA,"Erva flutuante. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Campo alagável. SUBSTRATO: solo arenoso (Podzol Hidromórfico). RELEVO: plano.",NA,NA,NA,"Raddi","J. F. M. Valls","1985","06","04","Corumbá","-56.6","-18.1","87","87",NA,NA,NA,"1985","10","31","56°36' W","18°06' S",NA,NA,NA,NA
"18","2020-11-19 10:24:56-03","CPAP","CPAP","14841","PreserverdSpecimen","Plantae","Poaceae","Paspalum","acuminatum","Paspalum acuminatum","Pott, V. J.","2906",NA,"Brasil","MS","MS-170, fazenda São Salvador; Sub-região de Aquidauana; Pantanal",NA,NA,"Erva estolonífera. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Frequente. AMBIENTE: Campo sujo em área desmatada. SUBSTRATO: solo arenoso. RELEVO: .",NA,NA,NA,"Raddi","A. Pott","1995","11","19","Aquidauana","-56.005278","-19.825","100","100",NA,NA,NA,"1995","11",NA,"56°00'19'' W","19°49'30'' S",NA,NA,NA,NA
