"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","470474","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","A. Lourteig","H. Haas","4346","1967","01","21","South America","Brazil","Paraná","Barra do Rio Ivaí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470474","NY00470474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 17:10:00-02","NY","NYBG","470475","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha borealis","Lourteig","A. Lourteig","P. E. Berry","1111","1975","08","23","South America","Venezuela","Miranda","Hills of Santa Ines","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470475","NY00470475_01","borealis","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:09:45-03","UNESP-IBB","BOTU","22146","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Fiaschi, P.","Bicudo, L.R.H.","217","1998","10","16",NA,"Brasil","Mato Grosso do Sul",NA,NA,"Cálice verde, corola amarela, filetes brancos, anteras amarelas","BOTU022146",NA,NA,NA,NA,"2019","07","Batayporã","-53.043056","-22.517778","53°02'35w","22°31'04s",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-14 14:10:41-03","UFBA","ALCB","101119","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Abreu, MC","Ribas, OS; Silva, JM; Andrade, CCA","7370","2006","10","02","Southern America","Brasil","Paraná","Parque Estadual do Iguaçu, trilha do Poço Preto.",NA,"50 cm. Flor amarela.; Margem do rio.","ALCB036716","ALCB036716",NA,NA,NA,"2010",NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,NA,NA,NA
"5","2020-02-08 10:09:26-03","NBC","NL-BOTANY","L.2120499","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Fiebrig K",NA,"1909","01","01","Southern America","Paraguay",NA,"Plantae paraguayenses. In Tedde, Lepert. 23:139 1926. In regione fluminis Alto Paraná.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2120499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2120499","NL-L2120499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"6","2020-02-08 10:09:26-03","NBC","NL-BOTANY","L.2120500","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Fiebrig K",NA,"1909","01","01","Southern America","Paraguay",NA,"Plantae paraguayenses. In Tedde, Lepert. 23:139 1926. In regione fluminis Alto Paraná.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2120500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2120500","NL-L2120500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"7","2020-02-08 10:09:26-03","NBC","NL-BOTANY","U.1471320","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha borealis","Lourteig",NA,"Flora Falcon",NA,"1979","06","26","Southern America","Venezuela",NA,"Flora del Estado Falcon. Sierra de San Luis, carretera Coro-La Tabla.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1471320 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1471320","NL-U1471320","borealis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 10:09:26-03","NBC","NL-BOTANY","U.1471276","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha",NA,NA,"Schinini A; Vanni RO",NA,"1978","10","07","Southern America","Argentina",NA,"Prov. Corrientes, Dep. Ituzaingó. Isla Apipé Grande, Panco cué.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1471276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1471276","NL-U1471276","hyalotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 10:09:26-03","NBC","NL-BOTANY","U.1471517","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha",NA,NA,"Hatschbach GG",NA,"1967","01","22","Southern America","Brazil",NA,"Flora Brasiliae Australis. Est. Paraná. Porto Camargo, Rio Paraná, paredaõ de arenito.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1471517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1471517","NL-U1471517","hyalotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2021-04-07 11:46:54-03","UFMS","CGMS","7167","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","L.R.H. Bicudo; C.J. Campos; S.B. Barbosa","217","1998","10","16",NA,"Brasil","Mato Grosso do Sul","Margem do Rio Paraná, a jusante da barragem.",NA,"Cálice verde,Corola amarela, filetes brancos, anteras amarelas.","CGMS1012792",NA,NA,"195","195","2012","06","Mato Grosso do Sul","-53.0427777","-22.5177778","-53,0427777","-22,5177778",NA,NA,NA,"18",NA,NA,NA
