"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2016-10-19 10:47:00-02","NY","NYBG","568563","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","closii","Bulbostylis closii","E. R. Guaglianone","P. Jörgensen","1935","1916","South America","Argentina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","568562","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","closii","Bulbostylis closii","C. F. S. Muniz","G. G. Hatschbach","26515","1971","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568562","Barros","02","25","Paraná","Pitanga","Rio Bonito.","-51.7614","-24.7572","NY00568562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 10:47:00-02","NY","NYBG","636775","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","closii","Bulbostylis closii","T. M. Pedersen","T. M. Pedersen","10084","1972","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636775",NA,"03","28","Cordillera",NA,"Itacurubi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00916622","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","closii","Bulbostylis closii","R. Kral","H. S. Irwin","19338","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916622","Barros","01","27","Goiás","Cocalzinho de Goiás","29 km N.W. of Corumbá de Goiás, near road to Niquelândia. Serra dos Pirineus.","-47.88","-15.77","NY00916622_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","589456","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","major","Bulbostylis major","R. Gross","A. Löfgren","9305","1896","South America","Brazil","sheet","Ex.Herv.Comm.Geogr.e Geol. de S.Paulo,n°3289. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589456","Palla","04","16","São Paulo",NA,"Pirituba, S.Paulo.","-46.742404","-23.479365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-19 10:47:00-02","NY","NYBG","1146281","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","major","Bulbostylis major",NA,"J. d. Paula-Souza","6952","2007","South America","Argentina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336327' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146281",NA,"01","10","Corrientes","San Miguel","Ruta 118, 12 km de Loreto em direção a San Miguel.","-57.4392","-27.9064",NA,"70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00918770","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","sphaerolepis","Bulbostylis sphaerolepis","R. Kral","J. F. Ramos","R & S127","1967","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918770","(Boeckeler) Beetle","10",NA,"Mato Grosso",NA,"Collected near the base camp of the expedition (c. 270 km N of Xavantina).","-51.87","-12.9","NY00918770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00918771","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","sphaerolepis","Bulbostylis sphaerolepis","R. Kral","H. S. Irwin","25264","1970","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918771","(Boeckeler) Beetle","01","24","Goiás","Catalão","Contraforte Central, Serra do Facão, ca. 25 km N.E. of Catalão","-47.7830556","-18.00698","NY00918771_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00918772","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","sphaerolepis","Bulbostylis sphaerolepis","R. Kral","R. M. Harley","11258","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918772","(Boeckeler) Beetle","11","27","Mato Grosso",NA,"R. 10, c. 12 km SW of base camp near Lago de Leo.","-51.77","-12.82","NY00918772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:29:08-03","UNESP-IBB","BOTU","1362","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Bulbostylis","major","Bulbostylis major","Araújo, A.C.","Graças, M.B.","27","1972",NA,"Brasil",NA,NA,"BOTU001362","Palla","11","17","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"1997","06","13","9999","9999",NA,NA,NA,NA,NA
