"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0103564","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Melocactus","conoideus","Melocactus conoideus","Buining & Brederoo","holotype","Horst L","Southern America","Brazil","Bahia","Brazil; Bahia","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200103564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0103564","NL-U0103564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:17:20-03","USP","SPF","80821","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Melocactus","conoideus","Melocactus conoideus","Buining & Brederoo",NA,"Zappi, DC",NA,"Brasil","Bahia",NA,NA,"SPF00080821",NA,"Zappi, DC","179","1989","07","26","Vitória da Conquista","-40.8394012451172","-14.8661003112793","70493","auto"
