"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","previousCatalogNumber","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:35-03","UNESC","CRI","357","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","V. C. Zanette","V. Citadini-Zanette; V. P. Boff","723","1986","04","05","Brasil","Santa Catarina","Tubarão","Canal da estiva.","-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11","CRI003394","CRI003394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:22-03","UNESC","CRI","2873","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","R. M. harley","R. M. Klein",NA,"1964","02","29","Brasil","Santa Catarina","Campo Erê","Fazenda Campo São Vivente.","-53.078333","-26.394722","53º4'42''W","26º23'41''S",NA,NA,"CRI003391","CRI003391","Habito: erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00499812","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","C. C. Epling","L. B. Smith","11649","1957","02","22","Brazil","Santa Catarina","Dionísio Cerqueira","3 km west of Rio Capetinga between Campo Erê and Dionísio Cerqueira","-53.6394","-26.255",NA,NA,"900","1000","NY00499812","NY00499812_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290099' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00499811","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","R. M. Harley","L. T. D. Dombrowski","1839","1966","01",NA,"Brazil","Paraná","Curitiba","Capao da Imbuia - Curitiba (IDPN).","-49.2731","-25.4281",NA,NA,NA,NA,"NY00499811","NY00499811_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290100' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00499810","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","R. M. Harley","L. B. Smith","12081","1957","03","13","Brazil","Santa Catarina","Mafra","4 km northwest of Mafra on the road to Barracas (20 km).","-49.8053","-26.1117",NA,NA,"800","850","NY00499810","NY00499810_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290101' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:56:01-03","ESALQ","ESA","134281","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria",NA,NA,"C.P. Caliari et al.","2291.0","2009","04","17","Brasil","Paraná","Telêmaco Borba","Parque Ecológico da Klabin. Floresta Estacional Semidecidua com elementos de Floresta Ombrófila Mista. Trilha do Vale do Rio Varanal.","-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,"ESA134281",NA,"Erva, ca. 1,5 m., flores brancas com uma das pétalas com mácula roxa e duas outras opostas com guia nectarífero roxo",NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:30:16-03","IAP","PACA-AGP","50614","PreservedSpecimen","Plantae","Labiatae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Emrich-Rambo","Sehnem, A.",NA,"1950","05","03","Brasil","RS","Montenegro","Campestre","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"PACA050614",NA,"fl. Habitat: in dumetosis","Magnoliophyta","Lamiales",NA,NA,"21601","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 15:56:50-03","UFSC","CTBS","2317","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Harley, R.M.","Caxambu, M.G.; Siqueira, E.L. & Araújo, C.C.","7293","2016","03","24","Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçu, cernanias da BR-277","-53.738056","-25.102778","53°44'17W","25°06'10S","683","683",NA,NA,"Erva com 1,50 m heliófita; Flores alvas diminutas; Relevo suave-ondulado.",NA,NA,NA,NA,NA,NA,NA,"2017","10","HCF 19414",NA,NA,NA,NA
"9","2021-03-01 16:32:09-03","UNICAMP","UEC","132037","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Aona, LYS","Bittrich, V","s.n.s.n.","2002","09",NA,"Brazil","São Paulo","Campinas","Instituto de Biologia, Espontânea em tanques de cultivo de plantas aquáticas, casa de vegetação, UNICAMP.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"UEC069772","UEC069772","Até 50 cm, capítulos brancos.","Magnoliopsida",NA,NA,NA,"23900","auto",NA,"2003","10",NA,NA,NA,NA,NA
"10","2021-03-01 16:32:09-03","UNICAMP","UEC","132037","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Aona, LYS","Bittrich, V","s.n.","2002","09",NA,"Brazil","São Paulo","Campinas","Instituto de Biologia. UNICAMP.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"UEC069772","UEC069772","Até 50 cm, capítulos brancos.; Espontânea em tanques de cultivo de plantas aquáticas, casa de vegetação.","Magnoliopsida",NA,NA,NA,"23900","auto",NA,"2003","10",NA,NA,NA,NA,NA
