"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","stateProvince","county","identifiedBy","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","typeStatus","sex","preparationType"
"1","2020-02-08 09:11:56-03","NBC","NL-BOTANY","U.1300408","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Clitoria","epetiolata","angustifolia","Clitoria epetiolata angustifolia","Fantz","Lindeman JC; Haas JH de","1966","10","17","Southern America","Brazil","Braziliae Australis, Est. Parana, Campo near Jaguariaiva.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1300408 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1300408","NL-U1300408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:11:56-03","NBC","NL-BOTANY","U.1259707","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"Pedersen TM","1951","11","22","Southern America","Argentina","Estancia 'Santa Teresa'. Dep. Mburucuya. Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1259707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1259707","NL-U1259707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-22 11:46:22-03","IPA","IPA","18084","S","Plantae",NA,NA,"Leguminosae-Pap.","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Krapovickas, A.; Cristóbal, C.L.; Ahumada, L.Z.; Cristóbal, C.L.; Ahumada, L.Z.","1968","02","11","Southern America","Argentina","El Batel, paso Crucecita. En campo","Flor azul","IPA0018084",NA,"Plantae","13798","Corrientes","Concepción",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019826","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","S. Caceres; and A. Schinini","1995","5","10",NA,"Argentina","Dep. San Roque. Ruta 17, 33 km SE de Saladas.","Erect, abundant.",NA,NA,"Magnoliophyta","430","Corrientes",NA,"Jenni","-58.71","-28.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:30:15-03","UNICAMP","UEC","199653","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","angustissima","Clitoria epetiolata angustissima","Fantz","Tamashiro, JY; Santos, FAM; Gardolinski, PC; Galvão, JC; Belinello, R","1994","09","27",NA,"Brazil","Estação ecológica de águas de Santa Bárbara.","Herbácea, 30cm. Flores lilás.","UEC157006","UEC157006","Magnoliopsida","662","São Paulo","Águas de Santa Bárbara","Queiroz, LP","-49.238899230957","-22.8805999755859","1998","09","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:30:15-03","UNICAMP","UEC","199653","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","angustissima","Clitoria epetiolata angustissima","Fantz","Tamashiro, JY; Santos, FAM; Gardolinski, PC; Galvão, JC; Belinello, R","1994","09","27",NA,"Brazil","Estação ecológica de águas de Santa Bárbara.","Herbácea, 30cm. Flores lilás.","UEC157006","UEC157006","Magnoliopsida","662","São Paulo","Águas de Santa Bárbara","Queiroz, LP","-49.238899230957","-22.8805999755859","1998","09","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:25:58-03","MBM","MBM","217632","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Arbo, M.M.",NA,NA,NA,"Southern America","Argentina",NA,NA,"MBM217632","MBM217632",NA,"6936",NA,NA,"Vanni, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:25:58-03","MBM","MBM","8654","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Krapovickas, A.; et al.; et al.",NA,NA,NA,"Southern America","Argentina",NA,NA,"MBM008654","MBM008654",NA,"13798",NA,NA,"Burkart, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:25:58-03","MBM","MBM","8209","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil","Chapada Santo Antônio",NA,"MBM008209","MBM008209",NA,"19989","Paraná","Arapoti","Hatschbach, G.","-49.8266983032227","-24.1578006744385",NA,NA,"41852","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:25:58-03","MBM","MBM","52865","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil","Campo Mourão",NA,"MBM052865","MBM052865",NA,"12962","Paraná","Campo Mourão","Burkart, A.","-52.3830986022949","-24.0456008911133",NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
