"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:37:09-03","E","E","77527","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolium","Maytenus aquifolium","Mathes, L.A.F.","10074","1978","06","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:85540","<a href=http://data.rbge.org.uk/herb/E00077527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:09-03","E","E","77528","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolium","Maytenus aquifolium","Mathes, L.A.F.","10086","1978","06","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:85539","<a href=http://data.rbge.org.uk/herb/E00077528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:09-03","E","E","77554","PreservedSpecimen","Plantae","Celastraceae","Maytenus","oxyodonta","Maytenus oxyodonta","Glaziou, M.A.","11871",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:85507","<a href=http://data.rbge.org.uk/herb/E00077554 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00077554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1031127","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","P. K. H. Dusén","s.n.","1914","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031127","Magnoliophyta","Celastrales","Mart.","L. Biral","Paraná","Jaguariahyva, in silva prism.","-49.713647","-24.340602","NY01031127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031033","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","Y. E. J. Mexia","5457","1930","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141693' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031033","Magnoliophyta","Celastrales","Mart.","L. Biral","Minas Gerais","Districto Rio Branco. Retiro de Antonio Avelino",NA,NA,"NY01031033_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","470120","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","D. S. D. de Araújo","8266","1987","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470120","Magnoliophyta","Celastrales","Mart.","L. Biral","Rio de Janeiro","Serra de Sapiatiba, a beira da estrada","-42.1028","-22.8394","NY00470120_01",NA,NA,"Sao Pedro da Aldeia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470122","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","R. Reitz","6860","1958","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470122","Magnoliophyta","Celastrales","Mart.","L. Biral","Santa Catarina","Serra do Matador","-49.6431","-27.2144","NY00470122_01",NA,NA,"Rio do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","470119","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","G. G. Hatschbach","16691","1967","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470119","Magnoliophyta","Celastrales","Mart.","L. Biral","Paraná","Serrinha","-48.3289","-25.3069","NY00470119_01",NA,NA,"Guaraqueçaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","470124","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","Y. E. J. Mexia","5031","1930","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470124","Magnoliophyta","Celastrales","Mart.","L. Biral","Minas Gerais","Agricultural College lands; Sao Miguel road, near km 2, on slope to the northeast","-42.8817","-20.7542","NY00470124_01","670","670","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1031032","PreservedSpecimen","Plantae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","Y. E. J. Mexia","5104","1930","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031032","Magnoliophyta","Celastrales","Mart.","L. Biral","Minas Gerais","Viçosa. Fazenda de Aguada; ravine beyond first house","-42.8817","-20.7542","NY01031032_01","700","700","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
