"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","fieldNumber","minimumElevationInMeters","typeStatus","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","886290","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","W. Forster","P. K. H. Dusén","9825","1910","02","26","South America","Brazil","Paraná","Fortaleza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886290","NY00886290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:38:39-03","MBM","MBM","49997","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Pabst, G.","Hatschbach, G.","2611","1952","01","23","Southern America","Brazil","Paraná","Campininha",NA,NA,"MBM049997","MBM049997","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 19:56:51-03","MNHN","RECOLNAT_MNHN_P","P00485325","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Forster","Dusén, P.",NA,"1910","2","26",NA,"Brésil",NA,"Parana : Imbuguassu","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485325' target='other'> <mi>dwc_moreinfo</mi></a>","P00485325","P00485325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:47-03","UFMG","BHCB","62315","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.",NA,"Mota, RC da","321","2001","05","25","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,"Epífita crescendo em mata de galeria, pétalas e sépalas com listras vináceas.",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:44:47-03","UFMG","BHCB","99746","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.",NA,"Mota, RC da","3080","2006","05","31","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,"Erva epífita; periantro amarelo-translúcido com duas listras longitudinais vináceas.; Mata de galeria próximo a entrada do vale da Bocaina","BHCB001445","BHCB001445","Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto","2006","05",NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:20:58-03","UFPR","UPCB","92860","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Santos, T.F.","Santos, T.F.| Kujaski, K.","287","2017","04","10",NA,"Brasil","Paraná","Cangoera",NA,"Floresta em topo de Morro. Planta muito semelhante a Octomeria palmyrabellae. Difere pelas cores das flores amarelo-alaranjas com manchas avermelhadas, diferente do amarelo-claro de O. palmyrabellae. Além do formato do labelo","UPCB0037243","UPCB0037243","Tijucas do Sul","-49.1988983154297","-25.9281005859375","25228","auto","2017",NA,NA,NA,NA,NA,NA,NA
"7","2019-07-09 12:43:52-03","F","FMNH-SEEDPLANTS","V0434156F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens",NA,"RRC ID Flag","P. Dusén","11600","1911","3","27","South America","Brazil","Paraná",NA,NA,NA,"V0434156F","V0434156F_01 V0434156F_02",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae","11600","500",NA,NA,NA
"8","2014-10-09 13:58:29-03","UHH","HBG","506722","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Cogniaux, A.","Moura, J. de","91","1888","02",NA,"South America","Brazil",NA,"Theresopolis (prov. Rio de Janeiro)",NA,"ex Herb. Kränzlin NEOTROP<br>Herbarium Hamburgense evacuated and inaccessible 1943-1992","HBG506722","HBG506722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"9","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in arboribus ad Praia do Dourado prov. Rio de Janeiro",NA,NA,NA,"P03P4N0133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.",NA,"Moura, JT de","91",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in sylvis supra arbores prope Theresopolis",NA,"Floret Februario - Aprili",NA,"P03P4N0133","Teresópolis","-42.9656","-22.4122","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA
