"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","imagecode","locality","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2020-09-23 10:43:19-03","E","E","83545","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum","Silva, J.M.","1328","1994","04","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92510","<a href=http://data.rbge.org.uk/herb/E00083545 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01159424","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum microcarpum","L. Weiss","s.n.","1907",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1472053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159424","Magnoliophyta","Sapindales","microcarpum","(Kunth) Blume","P. Acevedo-Rodríguez","Amazonas","NY01159424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","447888","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum microcarpum","L. Riedel","815","1832","05",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447888","Magnoliophyta","Sapindales","microcarpum","(Kunth) Blume",NA,NA,"NY00447888_01","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","985193","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum","N. A. Rosa","2950","1978","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985193","Magnoliophyta","Sapindales",NA,"L.","T. D. Pennington","Maranhão","NY00985193_01","Margem direita do rio Pindaré, próximo da Rod. BR-316.","Santa Inês","-45.38","-3.6669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","447894","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum","A. M. Amorim","1057","1993","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447894","Magnoliophyta","Sapindales",NA,"L.","P. Acevedo-Rodríguez","Bahia","NY00447894_01","Cachoeira do Paulista. Entrada no Km 10 da estrada Saúde/Jacobina. Ca. 6 km a partir da entrada.","Saúde","-40.4189","-10.9411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","447892","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum","B. V. Rabelo","3251","1985","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447892","Magnoliophyta","Sapindales",NA,"L.","P. Acevedo-Rodríguez","Amapá","NY00447892_01","Cidade de Macapá.","Macapá","-51.0703674","0.0437763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447940","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum microcarpum","J. Humbles","6200","1973","02","14","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447940","Magnoliophyta","Sapindales","microcarpum","(Kunth) Blume","M. S. Ferrucci","Napo",NA,"At edge of the town Pto. Napo on Río Napo.",NA,"-77.730989","-1.031802","590","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01159419","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum","E. Lleras","16682","1973","07","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1472048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159419","Magnoliophyta","Sapindales",NA,"L.","J. A. Kallunki","Amazonas","NY01159419_01","Lago de Tefé, Mujeira",NA,"-64.8792887","-3.4491668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","985192","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum","H. S. Irwin","27408","1970","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985192","Magnoliophyta","Sapindales",NA,"L.","J. A. Kallunki","Minas Gerais","NY00985192_01","Ca. 2 km N. of Joaquim Felício","Joaquim Felício","-44.1709","-17.7588","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01159421","PreservedSpecimen","Plantae","Sapindaceae","Cardiospermum","halicacabum","Cardiospermum halicacabum microcarpum","J. M. Pires","52541","1962","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1472050' target='other'> <mi>dwc_moreinfo</mi></a>","NY01159421","Magnoliophyta","Sapindales","microcarpum","(Kunth) Blume","G. T. Prance","Amapá","NY01159421_01","Vic. Calcoene",NA,"-50.92","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
