"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","408967","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.","H. C. de Lima","G. G. Hatschbach","48705","1984","12","07","South America","Brazil","Espírito Santo","Linhares","Rancho Alto","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408967","NY00408967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02636707","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.","L. M. Borges","P. Fiaschi","1612",NA,NA,NA,"South America","Brazil","Bahia","Almadina","Ca. 4Km da estrada Almadina/Coaraci. Entrada à esquerda Fazenda São José.","-39.6","-14.7167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475215' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636707","NY02636707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1198433","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.","M. M. M. Lopes","A. M. Amorim","6658","2007","01","19","South America","Brazil","Bahia","Arataca","Serra do Peito-de-Moça. Estrada que liga Arataca à Una, ramal ca. 22.4 km com entrada no assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.3417","-15.1736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1489914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198433","NY01198433_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2316","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.",NA,"L. Riedel","s.n.","1824","07",NA,"South America","Brazil","Minas Gerais",NA,"In fruticetis prope Aldea",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002316","NY00002316_01",NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","469069","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.","T. D. Pennington","A. M. Amorim","332","1991","08","24","South America","Brazil","Bahia","Una","Estrada Sao José-Una. Ca. de 9km de Sao José - Fazenda Santa Rosa","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469069","NY00469069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885766","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.","M. P. M. de Lima","H. C. de Lima","3013","1987","06","25","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Pedra Dubois","-42.02","-21.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885766","NY00885766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","408966","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.","T. D. Pennington","W. W. Thomas","6072","1988","02","22","South America","Brazil","Espírito Santo","Linhares","8km W of Linhares on road to Colatina (on north side of Rio Doce","-40.12","-19.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408966","NY00408966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1280313","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","leptantha","Inga leptantha","Benth.",NA,"G. T. Prance","10227","1969","02","25","South America","Brazil","Amazonas",NA,"Basin of Rio Demeni, vicinity of Tototobí","-63.5471213","1.576736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602081' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280313","NY01280313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:30:33-03","UFRJ","RFA","39636","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","leptantha","Inga leptantha","Benth.","R. D. Ribeiro","Finotti R.; Caruzo J.","163",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal cujo o entorno é ocupado por várias pequenas propriedades, antigo assentamento do INCRA.","-42.845833","-22.577222",NA,"Árvore de 5 metros de altura e PAP de 17,2cm.","RFA24642",NA,"50",NA,"42º50'45''W","22º34'38''S","50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:30:33-03","UFRJ","RFA","28016","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","leptantha","Inga leptantha","Benth.","C.M.B.Correia","C.M.B.Correia","335","1993","07","27",NA,"Brasil","Rio de Janeiro","Silva Jardim","Trilha do Pau Preto","-42.261667","-22.511667",NA,"arbvusto com ca. 4m alt. folhas descolores verdes. frutos verdes passando a amarelados, comidos por animais. IND: F0388 ALTURA: 4.00 Habito: arbusto","RFA19855",NA,NA,NA,"42º15'42''W","22º30'42''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
