"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","class","order","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:25:44-03","UNESC","CRI","3029","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","Jorge Luiz Waechter","Raquel Rejane Bonatto Negrelle; C. Londero","809","1993","03","03","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI005635","CRI005635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2114","S","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"Juliana Ordones Rego;","ordones79",NA,NA,NA,"Brasil","Minas Gerais","Catas Altas","Bocaina, Serra do Caraça.","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","11966","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:09-03","E","E","287579","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum",NA,NA,"Lange, F.","7626","1911","03","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00287579",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00287579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:299564",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418360","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. A. Romero","W. W. Thomas","10450","1994","05","24","Brazil","Bahia","Camacan","Mountain peak with TeleBahia tower, 10.6 km SW of Camacá on road to Jacareçi, then right at bridge for 6.2 km to tower","-39.5697","-15.3811",NA,NA,"700","800","NY00418360","NY00418360_01","Magnoliophyta",NA,"Asparagales",NA,NA,"Flowers in ethanol <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338785' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4078384","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","75874","1953","06","21","Venezuela","Bolívar",NA,"East-central portion of summit of Apácara-tepuí",NA,NA,NA,NA,"2450","2500","NY04078384",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400086' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","418368","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. F. J. Pabst","J. M. Pires","51580","1961","10","06","Brazil","Amapá",NA,"Rio Araguari, camp 13",NA,NA,NA,NA,NA,NA,"NY00418368","NY00418368_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338794' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","418373","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","L. A. Garay","M. L. Grant","10385","1944","10","05","Colombia","Cundinamarca",NA,"Alto de Quemara, Gazaunta Valley, 10 km northwest of Medina, Cordillera Oriental",NA,NA,NA,NA,"1430","1430","NY00418373","NY00418373_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338787' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","418378","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"E. P. Killip","25607","1929","06","28","Peru","Junín",NA,"Pichis trail, Yapas",NA,NA,NA,NA,"1350","1600","NY00418378","NY00418378_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338845' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","418367","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. F. J. Pabst","J. M. Pires","50770","1961","09","08","Brazil","Amapá",NA,"Rio Araguari, 20 minutes upriver from camp 5 toward camp 4",NA,NA,NA,NA,NA,NA,"NY00418367","NY00418367_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338791' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","418375","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. M. Carpenter","E. Asplund","20095","1956","04","04","Ecuador",NA,NA,"Napo/Pastaza, Mera","-78.110787","-1.460229",NA,NA,"1100","1100","NY00418375","NY00418375_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338806' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
