"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1181624","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","inesiae","Heterocondylus inesiae","R.Esteves","J. Tannus","J. Tannus","532","2001","12","18","South America","Brazil","São Paulo","Itirapina","Estação Ecologica de Itirapina.","-47.9239","-22.2161","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386891' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802200","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","pumilus","Heterocondylus pumilus","(Gardner) R.M.King & H.Rob.",NA,"Martii Herbar. Florae Brasil.","830",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802200","NY00802200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802201","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","pumilus","Heterocondylus pumilus","(Gardner) R.M.King & H.Rob.",NA,"E. W. D. Holway","1764","1922","04","24","South America","Brazil","São Paulo",NA,"Campos do Jordao.","-45.540301","-22.687374","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802201","NY00802201_01","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802202","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","reitzii","Heterocondylus reitzii","R.M.King & H.Rob.","H. E. Robinson","O. dos S. Ribas","1666","1997","02","09","South America","Brazil","Paraná","Jaguariaíva","Fazenda Barros.","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802202","NY00802202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","802203","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Heterocondylus","reitzii","Heterocondylus reitzii","R.M.King & H.Rob.","H. E. Robinson","G. G. Hatschbach","44571","1982","02","10","South America","Brazil","Paraná","Mandirituba","Rod. BR-116.","-49.3258","-25.7792","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802203","NY00802203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:28:49-03","UNESP-IBB","BOTU","18102","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","inesiae","Heterocondylus inesiae","R.Esteves","Fernandes, A.C.","Amaral Jr., A.","76","1992","02","05",NA,"Brasil","São Paulo","Campos do Jordão","Estrada de São José dos Alpes",NA,NA,NA,NA,"BOTU018102","BOTU018102",NA,NA,"2013","09","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-20 14:40:18-03","UPM","MACK","1056","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Heterocondylus","pumilus","Heterocondylus pumilus","(Gardner) R. M. King & Rob.","F. O. Souza","O. A. Fávero","CJ076","2009","04","25",NA,"Brasil","SP","Campos do Jordão","Colônia Umuarama. Trilha sete quedas em um trecho campestre.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"2010","11","S","W","18","21048","auto",NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:24:51-03","PUCPR","HUCP","21846","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Heterocondylus","pumilus","Heterocondylus pumilus","(Gardner) R.M. King & H.Rob.","Acra, LA","Selusniaki, M; Ariati, V; Moledo, R","2640","2009","03","23",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00007034","HUCP00007034",NA,NA,NA,NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:24:51-03","PUCPR","HUCP","21429","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Heterocondylus","pumilus","Heterocondylus pumilus","(Gardner) R.M. King & H.Rob.","Nakajima, JN","Cordeiro, J","2416","2008","02","28",NA,"Brasil","Paraná","Ponta Grossa","Cachoeira da Mariquinha","-50.1618995666504","-25.0949993133545",NA,NA,"HUCP00007688","HUCP00007688",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:51-03","PUCPR","HUCP","18675","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Heterocondylus","pumilus","Heterocondylus pumilus","(Gardner) R.M. King & H.Rob.",NA,"Akune, H","018","2004","04","21",NA,"Brasil","Paraná","Matinhos",NA,"-48.5428009033203","-25.8174991607666",NA,NA,"HUCP00007728","HUCP00007728",NA,NA,"2008",NA,NA,NA,NA,"15275","auto",NA,NA,NA,NA,NA,NA
