"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","county","decimalLongitude","decimalLatitude","day","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","38459","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","laburnum","minor","Thryallis laburnum minor","S.Moore","isotype","S. L. M. Moore","969","1891","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038459","NY00038459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00916539","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"R. de Lemos Fróes","11690","1940","South America","Brazil","Mato Grosso do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916539","NY00916539_01","C. E. Anderson","01","Corumbá","-57.6531","-19.0094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","38460","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore","isolectotype","S. L. M. Moore","970","1891","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187906' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038460","NY00038460_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","38461","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore","isolectotype","S. L. M. Moore","970","1891","South America","Brazil","Mato Grosso","sheet","Herbarium Niedenzu. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038461","NY00038461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:08:40-03","CPAN-UFMS","COR","15326","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"Takahasi, A.; Ribas, S. M.; Silva, R. H., Mendes, M. C., Rodrigues, C. S.","1358","2008",NA,"Brasil","Mato Grosso do Sul",NA,"Liana com folha discolor, apareceu na coleta de ontem da MO; Com Flor: amarela Habito: liana",NA,NA,NA,"01","Corumbá","-57.645278","-19.236111","30","Fazenda Figueira.","57º38'43''W","19º14'10''S","198","198",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-02 16:29:00-03","CPAN-UFMS","COR","11637","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","4203","2005",NA,"Brasil","Mato Grosso do Sul",NA,"Liana; fruto alaranjado Habito: Liana",NA,NA,"Francener, A.","12","Bonito","-56.750556","-20.784722","16","Fazenda Santa Laura","56º45'2''W","20º47'5''S","470","470","2012","07","04",NA,NA,NA,NA,NA,NA
"7","2021-03-02 16:29:00-03","CPAN-UFMS","COR","11633","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","4176","2005",NA,"Brasil","Mato Grosso do Sul",NA,"Liana Habito: Liana",NA,NA,"Francener, A.","12","Bodoquena","-56.785278","-20.683889","15","Fazenda Rancho Branco; encosta do rio Salobrinha","56º47'7''W","20º41'2''S","196","196","2012","07","04",NA,NA,NA,NA,NA,NA
"8","2021-03-02 16:29:00-03","CPAN-UFMS","COR","9376","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"Damasceno Junior, G. A.; Velasques, J. S.; Bortolotto, I. M.; Ávila, R. V.","2890","2002",NA,"Brasil","Mato Grosso do Sul",NA,"Trepadeira com fruto: marrom Habito: Trepadeira",NA,NA,"M. C. H. Mamede","05","Corumbá","-57.580278","-18.883056","13","Baía do Castelo - Paredão de Cactáceas.","57º34'49''W","18º52'59''S","90","90","2003","10","07",NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:08:40-03","CPAN-UFMS","COR","11542","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3732","2005",NA,"Brasil","Mato Grosso do Sul",NA,"Trepadeira escandente, 1,7 m Habito: Trepadeira escandente 1,70m",NA,NA,NA,"09","Bonito","-56.546111","-20.973333","05","Fazenda Santa Laura","56º32'46''W","20º58'24''S","433","433",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-02 16:29:00-03","CPAN-UFMS","COR","317","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Thryallis","laburnum",NA,"Thryallis laburnum","S.Moore",NA,"Conceição, C. A.","1232","1983",NA,"Brasil","Mato Grosso do Sul",NA,"Arbusto com 1-2m de altura, com ramos decumbentes; flores amarelas vistosas; folhas discolor, face verde musgo e face dorsal argêntea Habito: Arbusto",NA,NA,"Francener, A.","03","Corumbá","-57.6533012390137","-19.0091991424561","05","Baía do Tamengo",NA,NA,NA,NA,"2012","07","04","295160","auto",NA,NA,NA,NA
