"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","class","minimumElevationInMeters","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","3910024","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","R. Romero","5435","1998","06","12","South America","Brazil","Minas Gerais","Grao Mogol","Próximo à entrada da cidade.","-42.58333333","-16.41666667","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451089' target='other'> <mi>dwc_moreinfo</mi></a>","NY03910024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4218275","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","F. Almeda","7850","1998","06","13","South America","Brazil","Minas Gerais","Grao Mogol","Municipio de Grão Mogol. Estrada Grão Mogol São Francisco Sá, próximo à cidade","-42.58333333","-16.41666667","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451238' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4218272","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","F. Almeda","7849","1998","06","13","South America","Brazil","Minas Gerais","Grao Mogol","Municipio de Grão Mogol. Estrada Grão Mogol São Francisco Sá, próximo à cidade","-42.58333333","-16.41666667","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451237' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:25-03","UNICAMP","UEC","101748","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Almeda, F; Romero, R; Robinson, O; Robinson, D; Martins, AB; Goldenberg, R; Guimarães","7849","1998","06","13",NA,"Brazil","Minas Gerais","Grão Mogol","Estrada Grão Mogol - Francisco Sá","-42.583333","-16.416667",NA,"Subarbusto, ca. 1m. Hipanto vinho, lacínias do cálice verdes; corola roxa; anteras amarelas; conectivo amarelo apassando a vermelho; filetes roxos; estilete roxo.; Carrasco próximo à cidade.","UEC038225","-42.583333","-16.416667","UEC038225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:25-03","UNICAMP","UEC","101937","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Romero, R; Almeda, F; Robinson, O; Robinson, D; et al.","5435","1998","06","12",NA,"Brazil","Minas Gerais","Grão Mogol","Próximo à entrada da cidade","-42.583333","-16.416667",NA,"Subarbusto, ca. 0,8 m. Corola arroxeada; anteras amarelas; filetes roxos com base creme; planta glandulosa; folhas com odor agradável cítrico.; Campo rupestre","UEC007353","-42.583333","-16.416667","UEC007353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:25-03","UNICAMP","UEC","101747","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Almeda, F; Romero, R; Robinson, O; Robinson, D; Martins, AB; Goldenberg, R; et al.","7850","1998","06","13",NA,"Brazil","Minas Gerais","Grão Mogol","Estrada Grão Mogol - Francisco Sá","-42.583333","-16.416667",NA,"Subarbusto, ca. 0,4m. Corola branca; anteras amarelas; filetes amarelos.; Carrasco próximo à cidade.","UEC038224","-42.583333","-16.416667","UEC038224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:34:25-03","UNICAMP","UEC","105105","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Simão-Bianchini, R; Zappi, DC; Pirani, JR; Oliveira, AA","13026","1990","06","15",NA,"Brazil","Minas Gerais","Grão Mogol","Subida a ca. 850m alt. para o Morro Papo da Ema","-42.9","-16.55",NA,"Arbuto 60-80cm alt.; folhas viscosas; hipanto verde-avermelhado, pétalas lilás-clara; filetes e estiletes lilás-claras, anteras amarelas; Entre rochas, à sombra parcial. Campo rupestre com afloramentos de rocha quartzitica","UEC080661","-42.9","-16.55","UEC080661","Martins, AB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:34:25-03","MBM","MBM","141114","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","55014",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Cristália","Chapada das Galinhas","-42.8622016906738","-16.8003005981445",NA,NA,"MBM141114",NA,NA,"MBM141114","Wurdack, J.J.","30029","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:34:25-03","MBM","MBM","139252","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54190",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Ribeirão","-42.8897018432617","-16.5594005584717",NA,NA,"MBM139252",NA,NA,"MBM139252","Wurdack, J.J.","67219","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:34:25-03","MBM","MBM","240076","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","Souza, V.C.; et al.; et al.","22628",NA,NA,NA,"Southern America","Brazil","Bahia","Barra da Estiva","Estrada Barra da Estiva - Ituaçu","-41.3269004821777","-13.6260995864868",NA,NA,"MBM240076",NA,NA,"MBM240076","Souza, V.C.","61861","auto",NA,NA,NA,NA,NA,NA,NA
