"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","fieldNumber","sex","preparationType"
"1","2020-02-08 08:51:55-03","NBC","NL-BOTANY","L.1584119","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Hatschbach GG","1958","05","23","Southern America","Brazil","Parana, Bocaiuva do Sul, Tunas.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584119","NL-L1584119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:04-03","IAP","PACA-AGP","69692","PreservedSpecimen","Plantae","Magnoliatae","Asterales","Compositae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusen","Hatschbach, G.","1958","05","23",NA,"Brasil","Tunas","PROVAVELMENTE EXTINTO&nf;erva perene - cap. creme Hábito: erva rastejante","PACA069692",NA,"Magnoliophyta","Barroso","1958","4612","PR","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:04-03","IAP","PACA-AGP","59473","PreservedSpecimen","Plantae","Magnoliatae","Asterales","Compositae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusen","Camargo, O. R.","1956","11","15",NA,"Brasil",NA,"PROVAVELMENTE EXTINTO Habitat: in silva Fenofase: flor","PACA059473",NA,"Magnoliophyta","Emrich-Rambo","1957","974","RS","Farroupilha","-51.3478012084961","-29.2250003814697","19545","auto","05","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:28:04-03","IAP","PACA-AGP","61720","PreservedSpecimen","Plantae","Magnoliatae","Asterales","Compositae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusen","Camargo, O. R.","1957","11","18",NA,"Brasil",NA,"PROVAVELMENTE EXTINTO Habitat: in dumetosis Fenofase: flor","PACA061720",NA,"Magnoliophyta","Emrich-Rambo","1958","2563","RS","Farroupilha","-51.3478012084961","-29.2250003814697","19545","auto","09","29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-09 18:39:11-03","UTFPR","HCF","27241","S","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","M.G. Caxambu","2019","02","01",NA,"Brasil","Parque Natural Municipal Recanto das","arbusto ca. 2,10 m, heliófito, ripário. Capítulos de cor creme.",NA,NA,NA,"E. Barboza","2019","8874","PR","Pitanga","-51.748694","-24.78025",NA,NA,"10","01","51°44'55,3 W","24°46'48,9 S","884","884",NA,NA,NA,NA,NA
"6","2020-12-21 16:17:34-03","MBM","MBM","192830","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Hatschbach, G.","1958","05","23","Southern America","Brazil","Tunas",NA,"MBM192830","MBM192830",NA,"Barroso, G.M.",NA,"4612","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:17:34-03","MBM","MBM","39873","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Hatschbach, G.","1958","05","23","Southern America","Brazil","Tunas",NA,"MBM039873","MBM039873",NA,"Barroso, G.M.",NA,"4612","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:17:34-03","MBM","MBM","266669","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Silva, J.M.; Ribas, O.S.; Valente, L.A.; Ribas, O.S.; Valente, L.A.","2002","01","22","Southern America","Brazil","Morro da Palha",NA,"MBM266669","MBM266669",NA,"Robinson, H.",NA,"3538","Paraná","Campo Magro","-49.4514007568359","-25.3686008453369","24260","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:17:34-03","MBM","MBM","5309","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Tessmann, G.","1951","02","08","Southern America","Brazil","Estribo Ahhú, 7 km do centro","Zona de araucaria. No mato raro. Erva Flor marrom-amarelada. Floresc. fevereiro","MBM005309","MBM005309",NA,"Nakajima, J.","2009","451","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:18:10-03","UFPR","UPCB","1572","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusen ex Malme","Hatschbach, G.","1958","05","23",NA,"Brasil","Tunas","Erva perene, 1,50m, capítulo creme. Capoeira. Rara..",NA,NA,NA,"Barroso, G.M.","1958","4612","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:18:10-03","UFPR","UPCB","27420","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusen ex Malme","Hatschbach, G.","1958","05","23",NA,"Brasil","Tunas","Erva perene, 1,50m, capítulo creme. Capoeira. Rara..",NA,NA,NA,"Barroso, G.M.","1958","4612","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2018-06-22 05:25:00-03","MO","MOBOT","2452529","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Pe. Raulino Reitz","1963","2","5","South America","Brazil","Urubici. Vacas Gordas",NA,NA,NA,NA,NA,NA,"Reitz 6685","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3434191","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","J. M. Silva, O. S. Ribas & L. Valente","2002","1","21","South America","Brazil","Morro da Palha (Mun, Campo Magro) Parana",NA,"US01621409","US01621409_01",NA,NA,NA,"3538","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","3434136","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","J. M. Silva, O. S. Ribas & L. Valente","2002","1","22","South America","Brazil","Morro da Palha (Mun, Campo Magro) Parana",NA,"US01621410","US01621410_01",NA,NA,NA,"3538","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2454193","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","L. Smith & R. M. Klein","1964","12","14","South America","Brazil","Mun. Herval Velho: Forest, Gruta",NA,"US01621408","US01621408_01",NA,NA,NA,"13940","Santa Catarina",NA,"-51.43","-27.25",NA,NA,NA,NA,NA,NA,"500","700","1",NA,NA,NA,NA
"16","2020-02-17 11:29:05-03","UEG","HUEG","10433","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Pacheco, R.A.","2012","07","03","Southern America","Brasil","Estrada para fazenda Santa Maria dos Anjos, ca. 16 km de cocalzinho.","Arbusto ca. 0,5m. Brácteas involucrais verdes, corola amarela, anteras e ramos do estilete amarelos.; Campo.","HUEG010433",NA,NA,"Pacheco, R.A.; Contro F.L.","2012","826","Goiás","Cocalzinho de Goiás","-48.910194","-15.793444",NA,NA,"07","03","-48.910194","-15.793444","1227","1227",NA,NA,NA,NA,NA
"17","2020-02-17 11:29:05-03","UEG","HUEG","10434","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Pacheco, R.A.","2012","07","04","Southern America","Brasil","Estrada principal do Parque Estadual dos Pireneus, antes da cancela.","Arbusto ca. 1m. Brácteas involucrais verdes, corola, ramos do estilete e anteras amarelas, odor forte.; cerrado rupestre.","HUEG010434",NA,NA,"Pacheco, R.A.; Contro F.L.","2013","847","Goiás","Cocalzinho de Goiás","-48.873472","-15.803917",NA,NA,"02",NA,"-48.873472","-15.803917","1306","1306",NA,NA,NA,NA,NA
"18","2019-11-01 14:54:44-03","UnB","UB",NA,"PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Pacheco, RA; et al.","2012","07","04","Southern America","Brasil","Estrada principal do Parque Estadual dos Pireneus, antes da cancela","Arbusto ca. 1m. Brácteas involucrais verdes, corola, ramos do estilete e anteras amarelas, odor forte; Campo rupestre",NA,NA,"Dicotyledoneae","Pacheco, RA; Contro, FL","2013","847","Goiás","Cocalzinho de Goiás","-48.52245","-15.48141",NA,NA,"11",NA,"-48.52245","-15.48141","1306","1306",NA,NA,NA,NA,NA
"19","2019-05-06 11:54:14-03","UFU","HUFU","63570","S","Plantae",NA,NA,"Asteraceae","Trixis","thyrsoidea","Trixis thyrsoidea","Dusén ex Malme","Pacheco, R.A.; Versiane, A.F.A.; Oliveira, A.L.F.; Fernandes, W.P. & Romero, R.","2012","07","03",NA,"Brasil","Estrada para Fazenda Santa Maria dos Anjos, ca. 16 Km de Cocalzinho.","Arbusto, ca. 0,5 m alt. Brácteas involucrais verdes, corola amarela, anteras e ramos do estilete amarelos.; Campo.","HUFU00056218","HUFU00056218",NA,"Pacheco, R.A.","2013","826","Goiás","Cocalzinho de Goiás","-48.910278","-15.793333",NA,NA,"02",NA,"-48.910278","-15.793333","1277","1277",NA,NA,NA,NA,NA
