"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2292","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker","Jorge Luiz Waechter","R. M. Klein","1968","12","27","Brasil","Rio Grande do Sul","Canela","Caracol.","-50.815833","-29.366111","50º48'57''W","29º21'58''S","828","828","CRI001740","CRI001740_1 CRI001740_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376555","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker","L. B. Smith","A. Krapovickas","1973","01","29","Brazil","Rio Grande do Sul","Nova Petrópolis","7 km N de Nova Petropolis BR-116","-51.1142","-29.3767",NA,NA,NA,NA,"NY00376555","NY00376555_01","Magnoliophyta","Poales","22991","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376558","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker","R. C. Forzza","J. E. Leite","1942","02",NA,"Brazil","Rio Grande do Sul",NA,"Morro Sapucaia",NA,NA,NA,NA,NA,NA,"NY00376558","NY00376558_01","Magnoliophyta","Poales","2640","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646681' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376556","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker","L. B. Smith","G. G. Hatschbach","1973","01","26","Brazil","Rio Grande do Sul","Torres","Lagoa Itapeva, Porto da Colonia","-49.7267","-29.3356",NA,NA,NA,NA,"NY00376556","NY00376556_01","Magnoliophyta","Poales","31178","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646684' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376554","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker","L. B. Smith","A. Krapovickas","1973","01","29","Brazil","Rio Grande do Sul","Nova Petrópolis","7 km N de Nova Petropolis BR-116","-51.1142","-29.3767",NA,NA,NA,NA,"NY00376554","NY00376554_01","Magnoliophyta","Poales","22991","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646682' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376557","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker","L. B. Smith","L. B. Smith","1952","02","26","Brazil","Rio Grande do Sul","Torres","Torres","-49.73","-29.33",NA,NA,"1","40","NY00376557","NY00376557_01","Magnoliophyta","Poales","5824","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646685' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177829","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker",NA,"Lindeman JC; Haas JH de","1966","12","30","Brazil",NA,NA,"Flora Brasiliae Australis. Hab. Est. Rio Grande do Sul. Near Torres.",NA,NA,NA,NA,NA,NA,"NL-U1177829","NL-U1177829",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177829 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:12:17-03","NBC","NL-BOTANY","U.1174819","PreservedSpecimen","Plantae","Bromeliaceae","Prionophyllum","maritimum","Prionophyllum maritimum","(Baker) Mez",NA,"Leite JE",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1174819","NL-U1174819",NA,"Poales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:52-03","MN","R","102772","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Baker",NA,"Smith, L.B. 5824; Reitz, R.","1952","02","26","Brasil","Rio Grande do Sul","Torres",NA,"-49.733333","-29.333333","49°44'W","29°20'S","1","1","R010005717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:37:51-02","BGBM","B","B 10 0248899","S","Plantae","Bromeliaceae","Dyckia","maritima","Dyckia maritima","Mez in C.DC.",NA,"F. Sellow",NA,NA,NA,"Brazil",NA,NA,"Rio Grande do Sul.",NA,NA,NA,NA,NA,NA,"B100248899","B100248899",NA,NA,"Hb. P 73","Middle and South America",NA,"Specimen in monographia Bromeliacearum citatum, ex herb. Paris. <a href=http://herbarium.bgbm.org/object/B100248899 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"isotype",NA,NA,NA,NA,NA,NA,NA
