"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","typeStatus","yearIdentified","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","01096331","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira","M. L. Kawasaki","I. Cordeiro","765","1990","12","11","South America","Brazil","São Paulo","Iguape","Iguape, Estaçao Ecológica Juréia-Itatins, Serra da Juréia, trilha para o Pocinho","-47.5497","-24.7003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096331","NY01096331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:36:48-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(Berg) N.Silveira","Sobral, M","Urbanetz, C","303","2004","01","16",NA,"Brazil","São Paulo","Cananéia","Km31 da rodovia SP226, Fazenda Folha Larga.","-47.931944","-24.885278",NA,"Árvore de 35m.&nf;; Floresta Ombrófila Densa.",NA,NA,"-47.931944","-24.885278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:48-03","UNICAMP","UEC","149923","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(Berg) N.Silveira","Sobral, M","Urbanetz, C","303","2004","01","16",NA,"Brazil","São Paulo","Cananéia","Km31 da rodovia SP226, Fazenda Folha Larga.","-47.931944","-24.885278",NA,"Árvore de 35m.&nf;; Floresta Ombrófila Densa.","UEC020538","UEC020538","-47.931944","-24.885278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:36:48-03","UNICAMP","UEC","133968","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(Berg) N.Silveira","Sobral, M","Urbanetz, C; Lelo; Domingos","176","2003","10","28",NA,"Brazil","São Paulo","Cananéia","Fazenda Folha Larga, Trilha do Mirante","-47.9199981689453","-25.0100002288818",NA,"Árvore de 35m, com tronco avermelhado.","UEC020535","UEC020535",NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2001-07-16 16:10:23-03","MNHN","RECOLNAT_MNHN_P","P00161078","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira",NA,"Sellow",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","donné en 1871 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161078' target='other'> <mi>dwc_moreinfo</mi></a>","P00161078","P00161078_01",NA,NA,NA,NA,"371",NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 03:54:49-03","MNHN","RECOLNAT_MNHN_P","P00161079","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira",NA,"Sellow",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00161079' target='other'> <mi>dwc_moreinfo</mi></a>","P00161079","P00161079_01",NA,NA,NA,NA,"371",NA,NA,NA,NA,NA,NA,NA
"7","2015-10-04 22:50:11-03","MNHN","RECOLNAT_MNHN_P","P00798925","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira",NA,"Sellow",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00798925' target='other'> <mi>dwc_moreinfo</mi></a>","P00798925","P00798925_01",NA,NA,NA,NA,"371","isotype",NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:39:33-03","UFMG","BHCB","109999","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira",NA,"Urbanetz, C; Lelo; Domingos","176","2003","10","28","Southern America","Brasil","São Paulo","Cananeia","Fazenda Folha Larga, Trilha do Mirante.","-47.9199981689453","-25.0100002288818",NA,"Árvoe de 35m, com tronco avermelhado.","BHCB013603","BHCB013603",NA,NA,"37574","auto",NA,NA,"2007",NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","3197862","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O. Berg) N. Silveira","M.L. Kawasaki","Costa","Costa 64","1991",NA,NA,"South America","Brazil","São Paulo",NA,"Iguape, Estacão Ecologica Jureia-Itatins. Trilha para o Pocinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:27:13-03","USP","SPF","223168","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira","Sobral, M","Urbanetz, C","176","2003","10","28",NA,"Brasil","São Paulo","Cananéia","Fazenda Folha Large; trilha do mirante.","-47.9199981689453","-25.0100002288818",NA,NA,"SPF00223168",NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
