"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","order","individualCount","coordinatePrecision","geoFlag","continentOcean","preparationType","class","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","2628","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","R. Reitz","7587","1974","02","21","Brasil","Rio de Janeiro","Angra dos Reis","Serra da Água.","-44.318333","-23.007222","44º19'6''W","23º0'26''S","14","14","Habito: epífita","CRI001932","CRI001932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","3049","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","R. Negrelle; et al.","265","1992","07","30","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: epífita","CRI001931","CRI001931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:05-03","UNESC","CRI","8118","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","Telma Elyta Vilhalba Azeredo",NA,"2009","06","11","Brasil","Santa Catarina","Timbé do Sul",NA,"-49.843611","-28.827222","49º50'37''W","28º49'38''S",NA,NA,"Habito: Epífita","CRI013824",NA,"Telma Elyta Vilhalba Azeredo","2009","06","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","11859","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","Marcelo Romagna Pasetto; Telma Elyta V. Azeredo, Vanilde Citadini Zanette & J. L. Waechter",NA,"2008","07","10","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.425278","-28.598889","49º25'31''W","28º35'56''S","111","111",NA,"CRI008598","CRI008598","Peterson T. Padilha","2016","07","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:05-03","UNESC","CRI","3045","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","Raquel Rejane Bonatto Negrelle","484","1992","10","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI001929","CRI001929","Jorge Luiz Waechter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:22-03","UNESC","CRI","3047","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","R. Negrelle; et al.",NA,"1992","08","25","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: sub-bosque Habito: epífita terrícola","CRI001930","CRI001930_1 CRI001930_2","Jorge Luiz Waechter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","485","S","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","Alvim Seidel;","Seidel1206",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Elton. C. M. Leme","2009","05",NA,"Magnoliophyta","Poales","2",NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","3457","S","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","T. Sthrel;",NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","220","S","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","E.Morren ex Mez","Elton M. C. Leme;",NA,"1992","12","12","Brasil","Rio de Janeiro","Teresópolis","Bom Retiro, próximo a 'Meudon'(?)","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"254",NA,NA,"Elton. C. M. Leme","2011","08",NA,"Magnoliophyta","Poales","1","38539","auto",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400462","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","erythrodactylon","Vriesea erythrodactylon","(E.Morren) E.Morren ex Mez","P. K. H. Dusén","14531","1914","02","18","Brazil","Paraná","Lapa","Volta Grande (Serra do Mar)","-49.7156","-25.7697",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400462","NY00400462_01","L. B. Smith",NA,NA,NA,"Magnoliophyta","Poales",NA,NA,NA,"South America","sheet",NA,NA
