"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:47-03","E","E","205525","PreservedSpecimen","Plantae","Leguminosae","Mimosa","foliolosa","Mimosa foliolosa","Proença, C.","2003","1998","09","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218491","<a href=http://data.rbge.org.uk/herb/E00205525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00933931","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa foederalis","H. S. Irwin","10595","1965","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933931","Magnoliophyta","Fabales","foederalis","Barneby","R. C. Barneby","Distrito Federal","Brasília","12 km E. of Brasiliândia, on road (BR41) to Brasília","-48.08806","-15.6833","1225","1225","NY00933931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","419393","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa peregrina","G. P. Lewis","CFCR6797","1984","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=147023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419393","Magnoliophyta","Fabales","peregrina","Barneby","R. C. Barneby","Bahia","Rio de Contas","Em direçao ao Rio Brumado. 5km de Rio de Contas.","-41.8114","-13.5792","950","950","NY00419393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00933229","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa pubescens","G. G. Hatschbach","59909","1994","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933229","Magnoliophyta","Fabales","pubescens","Benth.","R. C. Barneby","Goiás","Cristalina","Rod. BR-040, 35 km O de Cristalina","-47.6133","-16.7686",NA,NA,"NY00933229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00933923","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa paranani","D. Philcox","4943","1968","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933923","Magnoliophyta","Fabales","paranani","Barneby","L. M. Borges","Distrito Federal","Brasília","c. 1.5 km. S.E. of dam at Paranoá.","-47.9294","-15.7797",NA,NA,"NY00933923_01 NY00933923_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00933213","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa pubescens","J. H. Kirkbride Jr.","4700","1982","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933213","Magnoliophyta","Fabales","pubescens","Benth.","R. C. Barneby","Distrito Federal","Brasília","Ca 2 km SW de Núcleo Rural Monjolo","-48.07","-15.97","1160","1160","NY00933213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00933227","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa pubescens","G. G. Hatschbach","38147","1976","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933227","Magnoliophyta","Fabales","pubescens","Benth.","R. C. Barneby","Goiás","Caldas Novas","Serra da Arnica","-48.6247","-17.7419",NA,NA,"NY00933227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00933954","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa multipinna","J. H. Kirkbride Jr.","3295","1980","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933954","Magnoliophyta","Fabales","multipinna","(Benth.) Barneby","R. C. Barneby","Goiás","Mossâmedes","Encima de Serra Dourada, ca 6 km nordeste de Mossâmedes.","-50.18","-16.07","1000","1000","NY00933954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00933984","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa pachycarpa","M. M. Arbo","1607","1991","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933984","Magnoliophyta","Fabales","pachycarpa","(Benth.) Barneby",NA,"Minas Gerais",NA,"Serra do Cipo, 7 km NE de Cardeal Mota, camino a Conceicao do Mato Dentro","-43.58","-19.33","1000","1320","NY00933984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00933197","PreservedSpecimen","Plantae","Fabaceae","Mimosa","foliolosa","Mimosa foliolosa viscidula","A. F. M. Glaziou","19128","1892","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933197","Magnoliophyta","Fabales","viscidula","Barneby","R. C. Barneby","Minas Gerais",NA,"Brésil. Minas",NA,NA,NA,NA,"NY00933197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
