"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","dayIdentified","typeStatus","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3574","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","Carlos A. Ferreira Jr.","2015","01","Carlos Alberto Ferreira Júnior;","2015","01","05","Brasil","Espírito Santo","Vila Velha","Praia da Ponta da Fruta, próximo a Igreja.","-40.2924995422363","-20.3297004699707","27156","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645290","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","N. P. Taylor",NA,NA,"J. N. Rose","1915","07","17","Brazil","Rio de Janeiro",NA,"Island of Juparayba, Rio de Janeiro Bay",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448470' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20283","South America","sheet","NY00645290","NY00645290_01 NY00645290_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1188381","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","N. P. Taylor",NA,NA,"J. N. Rose","1915","07","10","Brazil","Rio de Janeiro",NA,"Base of Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1403204' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20187","South America","sheet","NY01188381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1188380","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","N. P. Taylor",NA,NA,"J. N. Rose","1915","07","10","Brazil","Rio de Janeiro",NA,"Base of Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1403201' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20187","South America","sheet","NY01188380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645292","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","N. P. Taylor",NA,NA,"J. N. Rose","1915","07","10","Brazil","Rio de Janeiro",NA,"Base of Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448472' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20187","South America","sheet","NY00645292","NY00645292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645293","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","N. P. Taylor",NA,NA,"J. N. Rose","1915","07","10","Brazil","Rio de Janeiro",NA,"Base of Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503521' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20187","South America","sheet","NY00645293","NY00645293_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645291","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.","N. P. Taylor",NA,NA,"J. N. Rose","1915","07","10","Brazil","Rio de Janeiro",NA,"Base of Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448471' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20187","South America","sheet","NY00645291","NY00645291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007672","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Vell.) Backeb.","Zappi DC; Taylor NP","1991","10","Ritter F","1965","01","01","Brazil","São Paulo",NA,"Sao Paulo; 'Ilhabela'.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0007672","NL-U0007672","Magnoliopsidae","01","type",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007677","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis decumbens","(F.Ritter) N.P.Taylor & Zappi","Zappi DC; Taylor NP","1991","10","Ritter F","1965","01","01","Brazil","Minas Gerais",NA,"Minas Gerais; 'Agua Vermelha'.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0007677","NL-U0007677","Magnoliopsidae","01","type","decumbens",NA,NA,NA,NA,NA
"10","2020-11-04 11:04:12-03","ESALQ","ESA","123224","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis",NA,NA,NA,NA,"Andreata, R.","1985","04","12","Brasil","Rio de Janeiro","Niterói","Entre as praias de Itaipuaçu e Itacoatiara. Alto Moirão.","-43.1035995483398","-22.88330078125","14785",NA,NA,"auto","889.0",NA,NA,"ESA123224","ESA123224",NA,NA,NA,NA,NA,NA,NA,NA,NA
