"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","basisOfRecord","identifiedBy","yearIdentified","typeStatus","coordinatePrecision","geoFlag","infraspecificEpithet"
"1","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","51974","Plantae","Begoniaceae","Begonia","brevilobata","Begonia brevilobata","Irsmch.","L. Kollmann","13289","2017","01","19","Brasil","Espírito Santo","Santa Teresa","Coleção L. Kollmann","-40.587778","-19.940556","40W35'16","19S56'26","Procedência Mauro Peixoto, SP, Biritima-Mirim","MBML051974","MBML051974_1 MBML051974_2",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-13 11:16:39-03","USP","SPF","78475","Plantae","Begoniaceae","Begonia","brevilobata","Begonia brevilobata","Irmsch.","Luederwaldt, H","s.n.","1916","02",NA,"Brasil","São Paulo","Santo André","Alto da Serra, Ipiranga, cult. no Horto Bot. da (ilegível).","-46.5299987792969","-23.6599998474121",NA,NA,"SP18034, Herbário Museu Paulista 6486.","SPF00078475",NA,"PreservedSpecimen","Irmscher, E","1950","isotype","27258","auto",NA
"3","2019-11-21 10:01:41-03","IBt","SP","18034","Plantae","Begoniaceae","Begonia","brevilobata","Begonia brevilobata brevilobata","Irmsch.","Luederwaldt, H","s.n.","1916","02",NA,"Brasil","São Paulo","Santo André","Estação Biológica do Alto da Serra, cult. Horto Paulista, Ipiranga, São Paulo)","-46.5299987792969","-23.6599998474121",NA,NA,"Folhas verdes. Flores brancas. Mata virgem. Ex Herbário do Museu Paulista n. 6486","SP000016","SP000016","S","Irmscher, F","1950","Holotype","27258","auto","brevilobata"
"4","2019-11-21 10:01:41-03","IBt","SP","8767","Plantae","Begoniaceae","Begonia","brevilobata","Begonia brevilobata subtomentosa","Irmsch.","Edwall, G","CGG3953","1898","01",NA,"Brasil","São Paulo","São Paulo","In cultivo meu","-46.6300010681152","-23.5400009155273",NA,NA,NA,"SP000017","SP000017","S","Irmscher, F","1950","Holotype","53584","auto","subtomentosa"
"5","2019-11-21 10:01:41-03","IBt","SP","18034","Plantae","Begoniaceae","Begonia","brevilobata","Begonia brevilobata brevilobata","Irmsch.","Luederwaldt, H","s.n.","1916","02",NA,"Brasil","São Paulo","Santo André","Estação Biológica do Alto da Serra, cult. Horto Paulista, Ipiranga, São Paulo)","-46.5299987792969","-23.6599998474121",NA,NA,"Folhas verdes. Flores brancas. Mata virgem. Ex Herbário do Museu Paulista n. 6486","SP000016","SP000016","S","Irmscher, F","1950","Holotype","27258","auto","brevilobata"
"6","2019-11-21 10:01:41-03","IBt","SP","8767","Plantae","Begoniaceae","Begonia","brevilobata","Begonia brevilobata subtomentosa","Irmsch.","Edwall, G","CGG3953","1898","01",NA,"Brasil","São Paulo","São Paulo","In cultivo meu","-46.6300010681152","-23.5400009155273",NA,NA,NA,"SP000017","SP000017","S","Irmscher, F","1950","Holotype","53584","auto","subtomentosa"
