"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","495542","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","H. O. Sleumer","O. Handro","s.n.","1933","04","10","South America","Brazil","São Paulo","Sao Paulo","Nativa no Parque do Estado e Jardim Botanico","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495542","NY00495542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02199069","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler",NA,"W. A. Ducke","1581","1944","02","24","South America","Brazil","Amazonas","Tonantins",NA,"-67.8022003173828","-2.87305998802185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330102' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199069","NY02199069_01","102502","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886359","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","K. Kubitzki","P. K. H. Dusén","11952","1911","07","14","South America","Brazil","Paraná","Morretes","Km 7 in silva prim.","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886359","NY00886359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:32:06-03","UFBA","ALCB","026883","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler",NA,"Guedes, ML","s/n","1993","09","13","Southern America","Brasil","Bahia","Cairú","Gamboa","-39.0438995361328","-13.4869003295898",NA,"Terrestre, subarbusto semi escandente. Folhas discolores, coriáceas. Fruto verde alaranjado.","ALCB026423","ALCB026423","24756","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:13:36-03","UFBA","ALCB","78565","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Valadão, RM","Guedes, ML; Valadão, RM; Prates, ARS; Gomes, FS","13476","2007","05","27","Southern America","Brasil","Bahia","Feira da Mata","Médio São Francisco, Próximo ao Rio Carinhanha","-44.2125","-14.231667",NA,"robusta. Folhas coriáceas, discolores, com a face adaxial verde intenso. Inflorescência cauliflora. Botões esverdeados. Ocasional.","ALCB021520","ALCB021520",NA,NA,"2007","05","-44.2125","-14.231667",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:06:12-03","ESALQ","ESA","5843","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eich.","Tamashiro, J.Y.","Vieira, A.O.S. et al.","194.0","1987","09","14",NA,"Brasil","Paraná","Londrina",NA,"-51.1627998352051","-23.3103008270264",NA,NA,"ESA005843","ESA005843","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:38:58-02","IPA","IPA","62334","S","Plantae","Plantae",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Chiea, S.C.","Barros, F.; Rossi, L.; Rossi, L.","1877","1990","09","11","Southern America","Brasil","São Paulo","Cananeia","Ilha do Cardoso, estrada para turbina.","-47.9199981689453","-25.0100002288818",NA,"Trepadeira para mata de restinga. Frutos vinosos.","IPA0062334",NA,"37574","auto","1990","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-07-26 11:39:51-03","IPA","IPA","62335","S","Plantae","Plantae",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Esteves, G.L.","Hoehne, F.C.","62335","1928","09","18","Southern America","Brasil","São Paulo","São Paulo","Mata do Governo.","-46.6300010681152","-23.5400009155273",NA,NA,"IPA0062335",NA,"53584","auto","2000","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:38:58-02","IPA","IPA","59734","S","Plantae","Plantae",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Oliveira, R.G.","Silva, A.G. da; Nascimento, L.M.; Nascimento, L.M.","145","1999","09","14","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri.","-36.393611","-8.2075",NA,"Trepadeira. Frutos maduros vermelhos.","IPA0059734",NA,NA,NA,"1999","10","-36.393611","-8.2075","13","920","1030",NA,NA,NA,NA
"10","2019-02-15 11:38:58-02","IPA","IPA","59733","S","Plantae","Plantae",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Nascimento, L.M.","Oliveira, R.G.; Silva, A.G. da; Silva, A.G. da","150","2000","09","06","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri.","-36.393611","-8.2075",NA,"Trepadeira. Frutos maduros vermelhos e imaturos verdes, com cálice persistente. Frequente.","IPA0059733",NA,NA,NA,"2000","10","-36.393611","-8.2075","30","920","1030",NA,NA,NA,NA
"11","2019-02-15 11:38:58-02","IPA","IPA","59731","S","Plantae","Plantae",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Oliveira, R.G.","Nascimento, L.M.; Rodal, M.J.N.; Almeida, E.R.; Rodal, M.J.N.; Almeida, E.R.","161","1998","11","26","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Estrada para Bituri Grande.","-36.389167","-8.201389",NA,"Frutos maduros avermelhados. Planta lenhosa e escandente.; Vegetação arbórea/arbustiva. Frequente.","IPA0059731",NA,NA,NA,"1999","10","-36.389167","-8.201389","13","932","932",NA,NA,NA,NA
"12","2019-02-15 11:38:58-02","IPA","IPA","59735","S","Plantae","Plantae",NA,"Dilleniaceae","Doliocarpus","glomeratus","Doliocarpus glomeratus","Eichler","Oliveira, R.G.","Silva, A.G. da; Nascimento, L.M.; Nascimento, L.M.","140","1999","08","18","Southern America","Brasil","Pernambuco","Brejo da Madre de Deus","Mata do Cassange.","-36.414278","-8.196944",NA,"Trepadeira. Frutos imaturos verdes.; Margem da trilha. Mata estacional.","IPA0059735",NA,NA,NA,"1999","10","-36.414278","-8.196944","13","962","1020",NA,NA,NA,NA
