"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","occurrenceRemarks","barcode","imagecode","county","preparationType","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1758970","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","P. J. M. Maas; H. Maas-van de Kamer","P. da C. Gadelha Neto","3191","2012","03","15","South America","Brazil","Paraíba","Mataraca. Millenium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022","16","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2012968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01758970","NY01758970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836510","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas",NA,"G. T. Prance","29924","1985","11","30","South America","Brazil","Maranhão","10 km W from Barreirinhas road to Sobradinho","-42.8264","-2.7469",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836510","NY00836510_01","Barreirinhas","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","823039","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","P. J. M. Maas","P. J. M. Maas","8827","1999","02","13","South America","Brazil","Espírito Santo","Reserva Florestal da Campanhia Vale do Rio Doce, Aceiro Arlindo, 2.5 km from BR 101.","-40.03","-19.12",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823039","NY00823039_01","Linhares","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01196018","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","P. J. M. Maas","P. Fiaschi","2783","2005","03","12","South America","Brazil","Bahia","Rodovia de Almadina para Ibitupã, ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal.","-39.7131","-14.6408",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01196018","NY01196018_01","Almadina","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1184149","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","G. Martinelli","16251","2009","04","08","South America","Brazil","Piauí","Parque Nacional da Serra das Confusões. Baixo do Canto verde.","-43.3636","-9","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1463935' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184149","NY01184149_01","Caracol","sheet","614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:39:39-03","NBC","NL-BOTANY","L.3728631","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas",NA,"Maas PJM; et al.",NA,"2009","05","07","Southern America","Brazil",NA,"Espirito Santo, Linhares, Reserva do Vale de Rio Doce, Estrada Aceiro Catela- Jueirana. Porteira, entrada opposite estrada do Juncado. Mussununga forest, white sand.","-40","-19",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3728631 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3728631","NL-L3728631",NA,NA,NA,"Magnoliopsidae","-40.0","-19.0",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:39:39-03","NBC","NL-BOTANY","L.4311114","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","Maas PJM; Maas-van de Kamer H","Gadelha Neto PC",NA,"2012","03","15","Southern America","Brazil","Paraíba","Paraiba, Mataraca, Millennium Organic Chemicals Mineracao LTDA.","-34.976944","-6.502222",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4311114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4311114","NL-L4311114",NA,NA,NA,"Magnoliopsidae","-34.976944","-6.502222","2012","11","01",NA,NA,NA,NA,NA
"8","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U 0008426","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","Maas PJM","Folli DA",NA,"1994","12","28","Southern America","Brazil","Espírito Santo","Reserva Florestal de Linhares; Linhares; ES;Brasil. Estrada Aceiro com Arlindinho. Km 0,8",NA,NA,NA,"Ecossistema: Mussununga<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0008426",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,"86125",NA,NA,NA,NA
"9","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U 0012455","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","Maas PJM","Folli DA",NA,"1994","12","28","Southern America","Brazil","Espírito Santo","Reserva Florestal de Linhares; Linhares; ES;Brasil. Estrada Aceiro com Arlindinho. Km 0,8",NA,NA,NA,"Ecossistema: Mussununga<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200012455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0012455","NL-U0012455",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,"86126","isotype",NA,NA,NA
"10","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U.1063154","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duguetia","sooretamae","Duguetia sooretamae","Maas","Maas PJM","Fiaschi P; Paixão JL; Gomes LCJ; Rodrigues AB",NA,"2005","03","12","Southern America","Brazil","Bahia","Brasil, Bahia, Almadina: Rodovia de Almadina par4a Ibitupã, c. 20 km. Fazenda São Roque, c. 10 km da entrada do ramal.","-39.713056","-14.640833",NA,"Floresta semidecidual.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1063154 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1063154","NL-U1063154",NA,NA,NA,"Magnoliopsidae","-39.713056","-14.640833",NA,NA,NA,"U 0246979",NA,NA,NA,NA
