"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00894148","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","Perkins","L. Riedel","s.n.","1832","06","South America","Brazil","Iter Brasiliense","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894148","NY00894148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018792","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","Perkins","S. de V. A. Pessôa","993","1999","09","South America","Brazil","Reserva Biológica Poço das Antas. Fragmento A. rea FA4a.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262438' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018792",NA,"17","Rio de Janeiro","Silva Jardim","-42.25","-22.5833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015546","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","Perkins","S. de V. A. Pessôa","877","1997","08","South America","Brazil","Reserva Biológica de Poço das Antas, Em capoeirão, próximo ao rio Preto.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015546",NA,"19","Rio de Janeiro","Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","454435","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","utriculata","Mollinedia utriculata","Mart. ex Tul.","L. Riedel","314","1832","06","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=159139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454435","NY00454435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:20-03","UFRJ","RFA","25861","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","(Mart.) Perkins","A. Quinet","14/55","2000","12",NA,"Brasil","Distrito de Piabetá",NA,"Arbusto, 3m de altura, 10cm de DAP, folha verde discolor, comum no local.","RFA41638",NA,"03","Rio de Janeiro","Magé","-43.126389","-22.574444","A. Quinet","2001","11","19","43º7'35''W","22º34'28''S","350","350",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:37:00-03","NBC","NL-BOTANY","U.1399394","PreservedSpecimen","Plantae",NA,"Laurales","Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","Perkins","Ruhlmann JG",NA,"1921","07","Southern America","Brazil","Procedencia Rio de Janeiro vol urbem loco mundo novo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1399394 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1399394","NL-U1399394","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"7","2020-11-04 11:14:07-03","ESALQ","ESA","104630","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","(Mart.ex Tul.) Perkins","Paciencia, M.B.","2369.0","2006","04",NA,"Brasil",NA,NA,NA,"ESA104630","ESA104630","07","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","Lírio, E.J.","2016",NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA
"8","2019-08-27 13:30:48-03","IAP","PACA-AGP","103403","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","Perkins","S.V.A. Pessoa","877","1997","08",NA,"Brasil","Reserva Biológica Poço das Antas.",NA,"Arvoreta ca. 5 m alt., semi-umbrófila,folhas discolores verdes, frutos maduros abertos amarelo-esverdeados.&nf;RB 201002 Habitat: em capoeirão,próximo ao Rio Preto.","PACA103403",NA,"19","RJ","Silva Jardim","-42.3917007446289","-22.6508007049561","A.L. Peixoto","2007","09","17",NA,NA,NA,NA,"Magnoliatae","29995","auto",NA,NA,NA
"9","2019-08-27 13:30:48-03","IAP","PACA-AGP","103401","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","Perkins","C. Luchiari","469","1994","07",NA,"Brasil","Reserva Biológica Poço das Antas, trilha da Casa do Aristidis, esquerda.",NA,"Árvore c/ 7 m, semi-sombreada, folha discolor, face superior verde escuro brilhante, face inferior verde clara, fruto imaturo verde claro amarelado, vermelho-esverdeado, fruto maduro negro.&nf;RB 443316","PACA103401",NA,"26","RJ","Silva Jardim","-42.3917007446289","-22.6508007049561","A.L. Peixoto",NA,NA,NA,NA,NA,NA,NA,"Magnoliatae","29995","auto",NA,NA,NA
"10","2021-03-24 17:09:28-03","UFES","SAMES","8434","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Macrotorus","utriculatus","Macrotorus utriculatus","(Mart.) Perkins","Ribeiro,M.; Souza,M.C.;Menezes,L.F.T.","1131","2014","08",NA,"Brasil","Reserva Biológica de Córrego Grande.",NA,"Flores verde-claras. Frutos verdes. Habito: Árvore","SAMES08434",NA,"12","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"-398055556.0","-182661111.0",NA,NA,NA,"41644","auto",NA,NA,NA
