"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","860984","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","H. E. Robinson","G. G. Hatschbach","25142","1970","10","23","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Rio Anhandui","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 13:03:00-03","NY","NYBG","02128505","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii",NA,NA,"P. Jorgensen","4421",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2294418' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 13:03:00-03","NY","NYBG","02128503","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii",NA,NA,"T. Rojas","10814","1907",NA,NA,"South America","Paraguay",NA,NA,"In altaplanitie et declivibus Sierra de Amambay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2294380' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 13:03:00-03","NY","NYBG","02128504","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii",NA,NA,"P. Jorgensen","4270",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2294409' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:37:05-03","EAO","IAN","58202","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","(Sch.Bip.) Baker",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN058202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:47-03","EAO","IAN","35773","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","(Sch.Bip.) Baker",NA,"Santoro, J","7648","1944","12","27","Southern America","Brasil","São Paulo","Campinas","Rua Prefeito Passos.","-47.060001373291","-22.8999996185303",NA,"Herbaceo.","IAN035773","23900","IAN035773 IAN035773_e","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:23:39-03","UNICAMP","UEC","66672","S","Plantae","Magnoliopsida",NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Esteves, RL","Mazzaro, N","s.n.","1969","04","08",NA,"Brazil","São Paulo",NA,"Est. S. Paulo-Itapetininga",NA,NA,NA,"Herbáceo, erecto até 1m, flores púpureas; floresce em fevereiro-março; Cerrado à beira da estrada","UEC123788",NA,"UEC123788",NA,"2002","07","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:23:39-03","UNICAMP","UEC","47854","S","Plantae","Magnoliopsida",NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Esteves, RL","Morellato, LPC; Carvalho Jr.; M, C; Meira Neto, JAA; Bernacci, LC; Nogueira-Borges, HB; Cardoso","19896","1987","12","07",NA,"Brazil","Goiás","Pirenópolis","Serra dos Pirineus","-48.9592018127441","-15.852499961853",NA,"Erva, 30 cm, flores lilás-claro; Campo rupestre/cerrado, encosta de muro entre pedras","UEC123789","40887","UEC123789","auto","2002","07","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:23:39-03","UNICAMP","UEC","35026","S","Plantae","Magnoliopsida",NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Esteves, RL","Rocha, YV","15755","1984","03","07",NA,"Brazil","Paraná","Sengés",NA,"-49.4636001586914","-24.1128005981445",NA,"Flores lilás, barbáceas, +- 1.5m; Beira de estrada","UEC123790","55682","UEC123790","auto","2002","07","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:23:39-03","UNICAMP","UEC","126944","S","Plantae","Magnoliopsida",NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Nakajima, JN","Freitas, L","271","1998","02","17",NA,"Brazil","São Paulo","São José do Barreiro","Pq. Nacional da Serra da Bocaina","-44.5699996948242","-22.6399993896484",NA,"Erva ca. 30 cm, flores magenta; Campo de altitude","UEC123786","30784","UEC123786","auto","2015","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:23:39-03","UNICAMP","UEC","126942","S","Plantae","Magnoliopsida",NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Nakajima, JN","Freitas, L","269","1998","02","17",NA,"Brazil","São Paulo","São José do Barreiro","Pq. Nacional da Serra da Bocaina","-44.5699996948242","-22.6399993896484",NA,"Erva ca. 30 cm, flores magenta; Campo de altitude","UEC123787","30784","UEC123787","auto","2015","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
