"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","dayIdentified","locality","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","typeStatus","fieldNumber","preparationType","imagecode","continentOcean","individualCount"
"1","2019-10-25 11:09:31-03","IAP","PACA-AGP","88735","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodium","catharinae","Lycopodium catharinae","Langsd. & Fisch.","M. Almeida-Neto","1997","09","M. Almeida-Neto","309","1997","09","07","Brasil","PR","Guaratuba","-48.574694","-25.882806","48º34'28.9W","25º52'58.1S","HASU 12898. Hábito: epífito Ecossistema: RESTINGA","PACA088735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:36:45-03","IAP","PACA-AGP","88737","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodium","catharinae","Lycopodium catharinae","Langsd. & Fisch.","C. R. Lehn","2003","03","R. Wasum","1533","2002","08","17","Brasil","RS","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"HUCS 19553.&nf;HASU 15230. Habitat: Sobre troncos, interior de mata.","PACA088737","24","Fazenda da saudade.","55856","1000","1000","auto",NA,NA,NA,NA,NA,NA
"3","2017-04-20 10:57:54-03","MNHN","RECOLNAT_MNHN_P","P00559064","PreservedSpecimen",NA,NA,NA,NA,"Pteridophyta","Lycopodium","catharinae","Lycopodium catharinae","Christ","Rosenstock",NA,NA,"Ule, E.",NA,"1890","2",NA,"Brésil",NA,NA,NA,NA,NA,NA,"Herb. Luerssen n°15125 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559064' target='other'> <mi>dwc_moreinfo</mi></a>","P00559064",NA,"Estado de Sta. Catharina : Am Rande der Serra Geral / Serra Oratorio",NA,NA,NA,NA,"isotype","313","hb","P00559064_01",NA,NA
"4","2015-09-05 07:54:37-03","MNHN","RECOLNAT_MNHN_P","P00559065","PreservedSpecimen",NA,NA,NA,NA,"Pteridophyta","Lycopodium","catharinae","Lycopodium catharinae","Christ",NA,NA,NA,"Ule, E.",NA,"1890","2",NA,"Brésil",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559065' target='other'> <mi>dwc_moreinfo</mi></a>","P00559065",NA,"Estado de Sta. Catharina : Am Rande der Serra Geral / Serra Oratorio",NA,NA,NA,NA,"holotype","313","hb","P00559065_01",NA,NA
"5","2020-09-12 05:00:02-03","US","US","866981","PreservedSpecimen","Plantae",NA,"Pteridophyte","Lycopodiales","Lycopodiaceae","Lycopodium","catharinae","Lycopodium catharinae","Christ",NA,NA,NA,"E. H. Ule","313",NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"US00135567",NA,NA,NA,NA,NA,NA,"Type collection",NA,NA,"US00135567_01","South America","1"
