"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","eventTime","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085723","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","longipetiolatum","Aspidosperma longipetiolatum","Kuhlm.","type","J. G. Kuhlmann","s.n.","1936","06","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro, mattas da Dábrica Aliança","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085723","NY01085723_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823353","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"S. C. de Sant'Ana","877","2000","05","19","South America","Brazil","Bahia","APA de Itacaré/Serra Grande. Km 12 da Rod. Itacaré/Serra Grande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823353","NY00823353_01","A. J. M. Leeuwenberg","Itacaré","-38.9967","-14.2778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018059","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"C. Farney","2249","1989","03","07","South America","Brazil","Rio de Janeiro","Restinga de Ipitangas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018059","NY01018059_01",NA,"Saquarema","-42.5103","-22.9203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","823354","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"S. C. de Sant'Ana","877","2000","05","19","South America","Brazil","Bahia","APA de Itacaré/Serra Grande. Km 12 da Rod. Itacaré/Serra Grande.","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823354","NY00823354_01","A. J. M. Leeuwenberg","Itacaré","-38.9967","-14.2778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","23396","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.","syntype","J. B. E. Pohl","4315",NA,NA,NA,"South America","Brazil",NA,"Tejuco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023396","NY00023396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440274","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"A. Dunaiski Jr.",NA,"1990","10","31","South America","Brazil","Paraná","Jardim Social","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440274","NY00440274_01",NA,"Curitiba","-49.22","-25.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970714","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"A. F. Regnell","III869","1869","09","09","South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970714","NY00970714_01","R. E. Woodson Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440394","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"M. Koscinsky","s.n.","1933","07","29","South America","Brazil","São Paulo","Serra da Cantareira. Serra da Cuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440394","NY00440394_01","F. C. Hoehne","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","970712","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"E. Pereira","444","1945","12","20","South America","Brazil","Distrito Federal","Leblon.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970712","NY00970712_01","E. Pereira","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","440398","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","pyricollum","Aspidosperma pyricollum","Müll.Arg.",NA,"D. Klein","1500","1955","08","04","South America","Brazil","Santa Catarina","Morro da Fazenda, Itajaí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440398","NY00440398_01",NA,"Itajaí","-48.6617","-26.9081","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
