"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","419346","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","E. Pereira","9828","1965","02","24","South America","Brazil","Espírito Santo","Guarapari","-40.5108","-20.6581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419346","NY00419346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","419343","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","G. G. Hatschbach","51449","1987","08","14","South America","Brazil","Espírito Santo","Conceiçao da Barra","-39.7319","-18.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419343","NY00419343_01","Itaunas","3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","419353","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","A. H. Gentry","49735","1985","01","19","South America","Brazil","Rio de Janeiro",NA,"-42.83","-22.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419353","NY00419353_01","Swampy area beside Niteroi-Silva Jardim road, near Itaborai","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 14:43:00-02","NY","NYBG","419350","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica",NA,"R. C. Barneby","B. D. Sucre","1265","1966",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031","sheet","Collection date 30/LL/1966 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419350","NY00419350_01","Guanabara, restinga da Marambaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","419344","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","L. Riedel","48","1831","12",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419344","NY00419344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2788","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.",NA,"J. B. E. Pohl","1374d",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002788","NY00002788_01","Rio de Janeiro",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","419349","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","W. Hoehne","5849","1964","10","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","-43.482796","-23.016442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419349","NY00419349_01","Proximo Recreio dos Bandeirantes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","419345","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","Schott","1373d",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419345","NY00419345_01","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01345617","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. O. Vanni","A. Schinini","27627","1993","03","01","South America","Argentina","Chaco","Bermejo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614887' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345617","NY01345617_01","Río Paraná, Isla del Cerrito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","419347","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","elliptica","Mimosa elliptica","Benth.","R. C. Barneby","Wilkes Expedition",NA,"1838",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419347","NY00419347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
