"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:26:04-03","UNESC","CRI","1102","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","Vanilde Citadini- Zanette","Clair Maria Martinello; Aurélio José de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI009749","CRI009749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","11302","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","M. Verdi","M. Verdi; D.h. klettenberg e G. Klemz","2009","12","23","Brasil","Santa Catarina","Morro Grande","Três Barras.","-49.77","-28.71","49º46'12''W","28º42'36''S","311","311","CRI009750","CRI009750","2009","11","23","3102","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:08-03","UNESC","CRI","3916","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","J. A. Jarenkow","J. A. Jarenkow","1989","01","06","Brasil","Rio Grande do Sul","Capão do Leão","Horto Bot. Irmão Luis.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","CRI009747","CRI009747",NA,NA,NA,NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:04-03","UNESC","CRI","14247","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","Sobral, M","Verdi, M.; Tomazi, A.L. & Klemz, G.","2009","11","07","Brasil","Santa Catarina","Nova Veneza","São Bonifácio. São Bonifácio.","-49.588611","-28.708056","49º35'19''W","28º42'29''S","124","124","CRI013336","CRI013336","2010","01","25","3075","Florística IFFSC 39 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; entorno do fragmento Habito: arbórea; flor amarela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:04-03","UNESC","CRI","14079","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","Júlia Guissone","Valdemar Boff","1997","10","14","Brasil","Santa Catarina","Praia Grande",NA,"-49.950278","-29.198611","49º57'1''W","29º11'55''S",NA,NA,"CRI012729",NA,"2018","10","30",NA,"Habitat: Terrestre Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","374722","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","D. C. Daly; Z. Marchal","L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Mandioca","-43.184668","-22.564777",NA,NA,NA,NA,"NY00374722","NY00374722_01",NA,NA,NA,"s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657022' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","441883","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","S. F. Smith","R. A. Wasum","2000","01","09","Brazil","Rio Grande do Sul","Sao Francisco de Paula","José Velho","-50.5833","-29.4483",NA,NA,"750","750","NY00441883","NY00441883_01",NA,NA,NA,"403","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657024' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374690","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","J. C. Lindeman","J. C. Lindeman","1966","05","12","Brazil","Paraná","Marmeleiro","Near Rio Tigre Preto, ca. 25 km S. of Marmeleiro, border of Santa Catarina","-53.0258","-26.1494",NA,NA,"800","800","NY00374690","NY00374690_01",NA,NA,NA,"1325","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657032' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374723","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","D. C. Daly; Z. Marchal","L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Mandioca","-43.184668","-22.564777",NA,NA,NA,NA,"NY00374723","NY00374723_01",NA,NA,NA,"s.n.","Iter Brasiliense 1824-29 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657023' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","374684","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","H. O. Sleumer","G. G. Hatschbach","1967","11","16","Brazil","Paraná","Campina Grande do Sul","Sitio do Belizario","-49.0553","-25.3058",NA,NA,"1100","1100","NY00374684","NY00374684_01",NA,NA,NA,"17862","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657025' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01023436","PreservedSpecimen","Plantae","Salicaceae","Banara","parviflora","Banara parviflora","(A.Gray) Benth.","D. C. Daly; Z. Marchal","L. Riedel","1824","01",NA,"Brazil",NA,NA,"Iter Brasiliense",NA,NA,NA,NA,NA,NA,"NY01023436","NY01023436_01",NA,NA,NA,"s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192144' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
