"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:25:18-03","UNESC","CRI","6937","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","S. F. Smith","R. M. Klein","5700","1964","08","31","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","500","500","CRI002818","CRI002818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","2172","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","S. F. Smith","R. M. Klein",NA,"1964","08","31","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","190","190","CRI002817","CRI002817","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","6936","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","S. F. Smith","R. M. Klein",NA,"1964","08","31","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","500","500","CRI002832","CRI002832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:18-03","UNESC","CRI","6860","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","S. F. Smith","R. M. Klein",NA,"1964","08","31","Brasil","Santa Catarina","Itapiranga","Conceição.","-53.7125","-27.17","53º42'45''W","27º10'12''S","500","500","CRI002831","CRI002831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:40-03","E","E","82958","PreservedSpecimen","Plantae","Leguminosae","Holocalyx","balansae","Holocalyx balansae",NA,NA,"Silva, J.M. & Ziller, S.R.","1918","1997","04","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00082958",NA,"<a href=http://data.rbge.org.uk/herb/E00082958 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:40-03","E","E","247205","PreservedSpecimen","Plantae","Leguminosae","Holocalyx","balansae","Holocalyx balansae",NA,NA,"Fiebrig, K.","325","1902","04","27","PY",NA,NA,"Cordillera de Altos.",NA,NA,NA,NA,NA,NA,"E00247205",NA,"<a href=http://data.rbge.org.uk/herb/E00247205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:266436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","468673","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","M. C. Dias","E. M. Francisco","s.n.","2000","10","03","Brazil","Paraná","Bela Vista do Paraíso","Fazenda Cascara","-51.1906","-22.9969",NA,NA,NA,NA,"NY00468673","NY00468673_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378700' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00980463","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","H. C. de Lima","M. C. Weyland Vieira","1125","1987","04","26","Brazil","Minas Gerais",NA,"Fazenda Lagoa. Monte Belo. Arvore 1303. Ponto 326",NA,NA,NA,NA,NA,NA,"NY00980463","NY00980463_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093436' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01058643","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","G. G. Hatschbach","J. M. Silva","1918","1997","04","12","Brazil","Paraná","Londrina","Rio Tibagi, Fazenda São José do Remansinho","-51.1628","-23.3106",NA,NA,NA,NA,"NY01058643","NY01058643_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142733' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00980489","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","R. C. Barneby","G. G. Hatschbach","17059","1967","08","28","Brazil","Paraná","Icaraíma","Pôrto Camargo","-53.6139","-23.3958",NA,NA,NA,NA,"NY00980489","NY00980489_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093479' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
