"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","sex","preparationType"
"1","2021-04-08 17:36:59-03","EAO","IAN","8814","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sellow, F","1838","Southern America","Brasil","IAN008814","IAN008814_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:31-03","EAO","IAN","14778","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Magalhães, MG","1623","Southern America","Brasil","IAN014778","IAN014778 IAN014778_e","Barreto, M","1942","05","05","Minas Gerais","Serro","Campo úmido, alto Pico do Itambé.","-43.3793983459473","-18.604700088501","37754","Arbusto de 0,80m de altura; flores alvas, muito frequente.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:26:58-03","IAP","PACA-AGP","112620","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sehnem, A.","8508",NA,"Brasil","PACA112620",NA,"A. Sehenm","1965","10","31","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715","Habitat: herba in campo","auto","Magnoliatae","Asterales","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:26:58-03","IAP","PACA-AGP","35088","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Rambo, B.",NA,NA,"Brasil","PACA035088",NA,"G. Heiden","1954","01","13","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555","63451","EM PERIGO Habitat: in campestribus dumetosis Fenofase: fruto","auto","Magnoliatae","Asterales",NA,NA,"2010","08","25",NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:26:58-03","IAP","PACA-AGP","8817","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Rambo, B.",NA,NA,"Brasil","PACA008817",NA,"Emrich-Rambo","1942","01","15","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203","55856","EM PERIGO&nf;Confirmado por A.S. de Oliveira em 23.05.2006. Habitat: in subpaludosis dumetosis","auto","Magnoliatae","Asterales",NA,NA,"1954","05","30",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:58-03","IAP","PACA-AGP","112619","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sehnem, A.","8509",NA,"Brasil","PACA112619",NA,"A. Sehenm","1965","10","31","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715","masc. Habitat: herba in campo","auto","Magnoliatae","Asterales","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:58-03","IAP","PACA-AGP","91099","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Mondin, C.","2443",NA,"Brasil","PACA091099",NA,"G. Heiden","2001","09","11","RS","São José dos Ausentes","Na saída da cidade.","-50.0657997131348","-28.7483005523682","42598","Subarbusto com cerca de 30cm de altura.&nf;HASU 14364. Habitat: Em campo úmido. Hábito: subarbusto","auto","Magnoliatae","Asterales",NA,NA,"2010","08",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:50:31-03","UCS","HUCS","39930","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sehnem, A.","8509",NA,"Brasil",NA,NA,"Sehnem, A.","1965","10","31","Rio Grande do Sul","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715","Herbario PACA 112619; Herba in campo","auto",NA,"Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:14:35-03","MBM","MBM","169368","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Hatschbach, G.; Barboza, E.; Barboza, E.","60624","Southern America","Brazil","MBM169368","MBM169368","Robinson, H.","1994","04","17","Rio Grande do Sul","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715","Flor creme.; Campo seco, pedregoso.","auto",NA,NA,NA,NA,"1995","01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:32:23-03","UFMG","BHCB","28871","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Hatschbach, G; E. Barbosa","60624","Southern America","Brasil",NA,NA,NA,"1994","04","17","Rio Grande do Sul","São Francisco de Paula","Rodovia RS 110, próximo ao trevo para Tainhas.","-50.5835990905762","-29.4480991363525","76715","Campo seco, pedregoso. Flor creme.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
