"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645585","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","J. N. Rose","43179","1915","South America","Brazil","Museo Paulista","sheet","Cultivated from original collection, Rose 20849, a paratype <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645585","NY00645585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386149","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","J. N. Rose","20857","1915","South America","Brazil","Forests of Jabaquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386149","NY00386149_01","isotype","08","15","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645589","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","W. J. Burchell","3691","1826","South America","Brazil","In the upper part of the Ascent up the Serra de Cubatao- summit of Pico da Serra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645589","NY00645589_01",NA,"12","22","São Paulo",NA,NA,NA,"A. Castellanos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645587","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","J. N. Rose","20849","1915","South America","Brazil","Garden of Museu Paulista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645587","NY00645587_01",NA,"08","14","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645586","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","R. Reitz","2926","1956","South America","Brazil","Morro da Ressacada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645586","NY00645586_01",NA,"03","29","Santa Catarina","Itajaí","-48.6617","-26.9081","N. P. Taylor; D. C. Zappi","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645588","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","R. Reitz","9728","1960","South America","Brazil","Serra da Boa vista, Sao José","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645588","NY00645588_01",NA,"08","11","Santa Catarina","Sao José","-48.6272","-27.6156","A. Castellanos","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","452411","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose","J. N. Rose","20857","1915","South America","Brazil","Jabaquara","sheet","The Number 43211 on this label written at NY is probably a Accession Number (plant may have been in cultivation at NY Botanical Garden) when collected. Gray Card Index gives the Collectors as J. N. Rose & P. G. Russelll 20857 on 15 Aug 1913. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=518182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452411","NY00452411_01","type",NA,NA,"São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","28275","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","burchelii","Rhipsalis burchelii","Britton & Rose","Brade, A.C.","20052","1949",NA,"Brasil",NA,NA,"Epífita flor alva","BOTU028275",NA,NA,"09","03","Rio de Janeiro","Rio de Janeiro",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:24:59-03","PUCPR","HUCP","12821","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose.","Siqueira, PS","006","1999",NA,"Brasil","Associação da Caixa Econômica",NA,NA,NA,NA,NA,"06","21","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:59-03","PUCPR","HUCP","12864","S","Plantae","Eudicotiledonea",NA,"Cactaceae","Rhipsalis","burchellii","Rhipsalis burchellii","Britton & Rose.","Ricci, SM","003","1984",NA,"Brasil",NA,NA,NA,NA,NA,NA,"09","17","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","Libsch, D",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
