"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","483857","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","M. Deur","A. S. Grotta","345","1966","04","30","South America","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483857","NY00483857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","483855","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","E. P. Killip","R. Reitz","1181","1953","11","02","South America","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483855","NY00483855_01","Horto Florestal I.N.P., Ibirama.","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01096415","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","S. de V. A. Pessôa","B. D. Sucre","2436","1968","03","16","South America","Brazil","Rio de Janeiro",NA,"-43.245074","-22.475577","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237389' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096415","NY01096415_01","Petrópolis, Rocio.","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777076","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","A. C. Cervi","A. C. Cervi","6894","1999","11","19","South America","Brazil","Paraná","Guaratuba","-48.97","-25.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777076","NY00777076_01","Serra de Araçtuba, Morro dos Perdidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1018993","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"J. M. A. Braga","7491","2004","10","27","South America","Brazil","Rio de Janeiro","Nova Friburgo","-42.5156","-22.36","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266251' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018993","NY01018993_01","Serra de Friburgo, estrada de Macaé de Cima, acesso pela BR 116.","1031","1031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","483861","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"R. E. Braga","1033","1959","10",NA,"South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483861","NY00483861_01","Curitiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","483858","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"H. C. de Lima","3515","1989","04","18","South America","Brazil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483858","NY00483858_01","Reserva Ecológica Municipal de Macaé de Cima, Estrada p/ Hotel Faz. Sao Joao.","1300","1300","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","483859","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","H. A. T. Harms","P. K. H. Dusén","8809","1909","09","11","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483859","NY00483859_01","Curityba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","483853","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","G. G. Hatschbach","G. G. Hatschbach","47156","1983","10","05","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483853","NY00483853_01","Parque Barigui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","483852","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","A. C. Cervi","G. G. Hatschbach","33832","1973","11","02","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483852","NY00483852_01","Vila Tingui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
