"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","class","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","verbatimLatitude","monthIdentified","verbatimLongitude","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","144443","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","tijucanum","Lytoneuron tijucanum","(Brade & Rosenst.) Yesilyurt","isolectotype","A. C. Brade","8598","1928","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144443","NY00144443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423362","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","tijucanum","Lytoneuron tijucanum","(Brade & Rosenst.) Yesilyurt",NA,"C. M. Mynssen","1390","2013","03","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Trilha para o Pico da Tijuca.","-43.28808","-22.94356","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2695724' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423362","NY02423362_01","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1522552","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","tijucanum","Lytoneuron tijucanum","(Brade & Rosenst.) Yesilyurt",NA,"A. H. G. Alston","8978","1938","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Antiga Guanabara, Tijuca.","-43.274528","-22.95583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522552","NY01522552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016467","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","tijucanum","Lytoneuron tijucanum","(Brade & Rosenst.) Yesilyurt",NA,"P. von Luetzelburg","18927","1910","12","South America","Brazil","Rio de Janeiro",NA,"Corcovado.","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178221' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016467","NY01016467_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:58-02","BGBM","B","B 20 0051505","S","Plantae",NA,NA,"Polypodiaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.","isolectotype","A. C. Brade","8598","1928","11","Middle and South America","Brazil",NA,NA,"Rio Tijuca.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200051505 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200051505","B200051505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:58-02","BGBM","B","B 20 0051504","S","Plantae",NA,NA,"Polypodiaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"A. C. Brade","8563","1928","11","Middle and South America","Brazil",NA,NA,"Rio Tijuca, Morro de Archez.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200051504 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200051504","B200051504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:36:19-03","IAP","PACA-AGP","78527","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"Rocha","136","1980","07",NA,"Brasil","RJ","Rio de Janeiro","Alto da Boa Vista","-43.2075004577637","-22.9027996063232",NA,"heliófila.; Herb. FEEMA 17465&nf;Confirmado por J. Cislinski-Yesilyurt em 2005. Hábito: rupícola","PACA078527",NA,"29","Filicopsida","Sehnem","1981","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:36:19-03","IAP","PACA-AGP","77742","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"J.P. Lanna Sobr.","12266","1965","11",NA,"Brasil","RJ","Rio de Janeiro","Gavea - Tijuca","-43.2075004577637","-22.9027996063232",NA,"Hábito: herba","PACA077742",NA,"09","Filicopsida","J. Cislinski-Yesilyurt","2005","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:36:21-03","IAP","PACA-AGP","97122","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"J.P.P. Carauta","646","1968","10",NA,"Brasil","RJ","Rio de Janeiro","reserva florestal do intituto de conservação da natureza, perto da gruta genoma","-43.2075004577637","-22.9027996063232",NA,"Habitat: rupícola, local sombrio e muito úmido","PACA097122",NA,"25","Filicopsida","A.Sehenm",NA,"57442","auto","500","500",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:36:19-03","IAP","PACA-AGP","77785","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"J.P. Lanna Sobr.","1612","1966","02",NA,"Brasil","RJ","Guanabara","Tijuca - Estrada da Vista Chinesa, pr. Gruta Geonoma",NA,NA,NA,"Herb. GUA 5605.; folhas verdes com bordos marrons. Sobre Sphagnum","PACA077785",NA,"02","Filicopsida","J. Cislinski-Yesilyurt","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:36:19-03","IAP","PACA-AGP","77736","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"L. M. de S.","143","1968","04",NA,"Brasil","RJ","Rio de Janeiro","I.C.N.","-43.2075004577637","-22.9027996063232",NA,"Herb. FEEMA 6471","PACA077736",NA,NA,"Filicopsida","J. Cislinski-Yesilyurt","2005","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:42:21-03","MBM","MBM","32028","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.","ISOTYPE","Brade, A.C.","8598","1928","09","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232",NA,"Gebüsh, auf Felsen","MBM032028","MBM032028","21",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-03 16:37:24-03","MNHN","RECOLNAT_MNHN_P","P01248837","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","tijucana","Doryopteris tijucana","Brade",NA,"Glaziou, A.",NA,"1873","4",NA,"Brésil",NA,NA,"Pico da Tijuca, Rio Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01248837' target='other'> <mi>dwc_moreinfo</mi></a>","P01248837","P01248837_01","19",NA,NA,NA,NA,NA,NA,NA,"7012",NA,NA,NA,NA,NA
"14","2015-09-03 16:37:24-03","MNHN","RECOLNAT_MNHN_P","P01248838","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","tijucana","Doryopteris tijucana","Brade",NA,"Glaziou, A.",NA,"1873","4",NA,"Brésil",NA,NA,"Pico da Tijuca, Rio Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01248838' target='other'> <mi>dwc_moreinfo</mi></a>","P01248838","P01248838_01","19",NA,NA,NA,NA,NA,NA,NA,"7012",NA,NA,NA,NA,NA
"15","2016-08-03 10:15:01-03","MNHN","RECOLNAT_MNHN_P","P01248839","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","tijucana","Doryopteris tijucana","Brade",NA,"Glaziou, A.",NA,"1873","4",NA,"Brésil",NA,NA,"Pic de la Tijuca, Rio Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01248839' target='other'> <mi>dwc_moreinfo</mi></a>","P01248839","P01248839_01","19",NA,NA,NA,NA,NA,NA,NA,"7013",NA,NA,NA,NA,NA
"16","2016-08-03 11:38:25-03","MNHN","RECOLNAT_MNHN_P","P01248841","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","tijucana","Doryopteris tijucana","Brade",NA,"Ule, E.",NA,"1887","8",NA,"Brasilien",NA,NA,"feuchter Felsenhang der Corcovado bei Rio de Janeiro",NA,NA,"hb","Cet échantillon était collé sur une feuille avec D. varians (Raddi) Sw. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01248841' target='other'> <mi>dwc_moreinfo</mi></a>","P01248841","P01248841_01",NA,NA,NA,NA,NA,NA,NA,NA,"257",NA,NA,NA,NA,NA
"17","2016-02-23 14:58:52-03","MNHN","RECOLNAT_MNHN_P","P02089232","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","tijucana","Doryopteris tijucana","Brade",NA,"Glaziou, A.",NA,"1870","11",NA,"Brésil",NA,NA,"Rio Janeiro, Serra de Jacarepagua",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02089232' target='other'> <mi>dwc_moreinfo</mi></a>","P02089232","P02089232_01","18",NA,"Cislinski-Yesilyurt",NA,NA,NA,NA,NA,"5344",NA,NA,NA,NA,NA
"18","2015-09-03 16:37:24-03","MNHN","RECOLNAT_MNHN_P","P01248840","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","tijucana","Doryopteris tijucana","Brade",NA,"Glaziou, A.",NA,"1873","4",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil: Pico da Tijuca.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01248840' target='other'> <mi>dwc_moreinfo</mi></a>","P01248840","P01248840_01","19",NA,NA,NA,"57442","auto",NA,NA,"7014",NA,NA,NA,NA,NA
"19","2012-08-22 14:26:00-03","MO","MOBOT","100511646","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"BRADE","BRADE 15321","1936","7","South America","Brazil","Rio de Janeiro",NA,"Corcovado.",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","828035","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"E. H. Ule","257","1887","8","South America - Neotropics","Brazil","Rio de Janeiro",NA,"An einem feuchten Felsenabhang des Corcovado bei Rio de Janeiro.",NA,NA,NA,NA,"US01498233","US01498233_01",NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","763081","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"J. N. Rose & P. G. Russell","21250","1915","7","South America - Neotropics","Brazil","Rio de Janeiro",NA,"On Corcovado",NA,NA,NA,NA,"US01912911","US01912911_01",NA,"Pteridophyte","Yesilyurt, J. C.",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","1284565","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"L. H. Bailey & E. Z. Bailey","752","1924","3","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Corcovado Range",NA,NA,NA,NA,"US01912912","US01912912_01","6","Pteridophyte","Yesilyurt, J. C.",NA,NA,NA,"300","700",NA,"1","About 23 S",NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","1422693","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.",NA,"J. W. Harshberger","891","1927","7","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Upper Part of Corcorado near Rio de Janeiro.",NA,NA,NA,NA,"US01498234","US01498234_01","18","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"24","2020-02-11 18:26:32-03","UFMG","BHCB-SL","108526","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","J.Prado & Rosenst.",NA,"Fontana, AP","1369","2005","04","América","Brasil","Espírito Santo","Itaguaçu","Serra do Sobreiro, Pedra do Caparaó. Vegetação herbácea arbustiva","-40.980556","-19.741389",NA,"Rupestre fértil.","BHCB002219","BHCB002219","23",NA,"Salino, A","2008",NA,NA,"1000","1370",NA,NA,"-19.741389","06","-40.980556",NA
"25","2021-02-23 13:23:04-03","MN","R-TIPOS","18486","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.","Syntypus","Brade, A.C.","s.n.","1928","09",NA,"Brasil","Rio de Janeiro","Pico da Tijuca",NA,NA,NA,NA,NA,"R000018486","R000018486_001","21",NA,NA,NA,NA,NA,"900","900",NA,NA,NA,NA,NA,NA
"26","2021-02-23 13:23:04-03","MN","R-TIPOS","18486a","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","tijucana","Doryopteris tijucana","Brade & Rosenst.","Isosyntypus","Brade, A.C.","s.n.","1928","09",NA,"Brasil","Rio de Janeiro","Pico da Tijuca",NA,NA,NA,NA,NA,"R000018486a","R000018486a_001","21",NA,NA,NA,NA,NA,"900","900",NA,NA,NA,NA,NA,NA
