"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","verbatimLongitude","verbatimLatitude","barcode","phylum","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","continentOcean","occurrenceRemarks","fieldNumber","preparationType","class","previousCatalogNumber","order","infraspecificEpithet"
"1","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9123","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Adachi,S., Gloscof, Y.","2017","10","19","Amaral Jr., A.","1974","05","16","Brasil","Mato Grosso","9999","9999","BOTU009123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:29-03","ESALQ","ESA","114191","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens",NA,"Breier, T.B.","2004",NA,NA,"Breier, T.B.","2002","08","26","Brasil","São Paulo",NA,NA,"ESA114191","Magnoliophyta","582.0","Sete Barras","-47.9199981689453","-24.3799991607666","34059","ESA114191","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:48-03","MN","R","35730","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Pabst, G.F.J.","1965","06","02","Brade, A.C.","1932","01","24","Brasil","Rio de Janeiro",NA,NA,NA,NA,"11325","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:48-03","MN","R","219596","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Barcia, J.C.C.","1972","01","07","Henriques, R.","1972","01","07","Brasil","Rio de Janeiro",NA,NA,NA,NA,"26","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,"auto","Correias","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:48-03","MN","R","32206","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","Hoehne, F.C.",NA,NA,NA,"Sampaio, A.J.",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"4","Teresópolis","-42.9655990600586","-22.4122009277344","38539",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-07-05 11:14:16-03","FFCLRP","LBMBP","268","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:16-03","FFCLRP","LBMBP","178","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1064","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","42°58'W","22°24'S",NA,NA,NA,"Teresópolis","-42.966667","-22.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-07-05 11:14:16-03","FFCLRP","LBMBP","168","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-07-05 11:14:16-03","FFCLRP","LBMBP","169","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
