"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","relationshipType","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:43-03","UNESC","CRI","10825","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","13","Robson dos Santos; Vanilde Citadini Zanette & Alexandre S. Klein","2001","07","10","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI005718","CRI005718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","12105","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","02","23","Brasil","Santa Catarina","Florianópolis","Morro da Lagoa.","-48.475556","-27.576667","48º28'32''W","27º34'36''S","CRI010283","CRI010283","1429","444","444","Epífita IFFSC e8004a (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; Fruto roxo-escuro; flor rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","10889","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","Vanilde C. Zanette","2014","10","27","Brasil","Santa Catarina","Grão Pará","PESF - Lado Norte.","-49.215","-28.185556","49º12'54''W","28º11'8''S","CRI005719","CRI005719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:50-03","UNESC","CRI","3458","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","10","15","Robson dos Santos; Clair Maria Martinello","1994","11","12","Brasil","Rio Grande do Sul","Cambará do Sul",NA,"-50.144167","-29.047778","50º8'39''W","29º2'52''S","CRI005721","CRI005721","147","1019","1019","Habitat: mata atlântica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:43-03","UNESC","CRI","3613","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","Vanilde C. Zanette; et al.","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador, Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","CRI005720","CRI005720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:43-03","UNESC","CRI","10824","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","14","Robson dos Santos; Vanilde Citadini Zanette & Alexandre S. Klein","2001","11","18","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI005717","CRI005717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:43-03","UNESC","CRI","13566","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia",NA,"Fuchsia regia","(Vell.) Munz","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2016","12","15","Brasil","Santa Catarina","Treviso","Dois dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S","CRI012173","CRI012173",NA,"743","743","Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:43-03","UNESC","CRI","970","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","V. Citadini-Zanette","1991","11","30","Brasil","Rio Grande do Sul","Cambará do Sul","Itaimbezinho, Aparados da Serra.","-50.145","-29.048333","50º8'42''W","29º2'54''S","CRI005713","CRI005713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:50-03","UNESC","CRI","10283","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","Robson dos Santos; Alecssandro S. Kleiny & Isabel Alves dos Santos","2009","07","21","Brasil","Santa Catarina","Grão Pará",NA,"-49.355833","-28.056667","49º21'21''W","28º3'24''S","CRI005722","CRI005722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:43-03","UNESC","CRI","12219","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia",NA,"Fuchsia regia","(Vell.) Munz","Guilherme Alves Elias & Peterson Teodoro Padilha","2016","12","15","Guilherme Alves Elias; Peterson Teodoro Padilha; Robson dos Santos & Lucas Oliveira","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S","CRI010400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:43-03","UNESC","CRI","13560","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia",NA,"Fuchsia regia","(Vell.) Munz","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2016","12","15","Brasil","Santa Catarina","Treviso","Dois dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S","CRI012167",NA,NA,"743","743","Habitat: Terrestre Habito: Subarbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:43-03","UNESC","CRI","12103","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","Korte, A.; Kniess, A.","2010","03","11","Brasil","Santa Catarina","Benedito Novo","Campo de Zinco.","-49.500278","-26.910278","49º30'1''W","26º54'37''S","CRI010281","CRI010281","2080","853","853","Florística IFFSC 689 (Liana) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado Habito: liana; flor rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:43-03","UNESC","CRI","12102","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","14","Verdi, M.; Souza, N.L. de & Klettenberg, D.H.","2010","03","08","Brasil","Santa Catarina","Urubici","RPPN Leão da Montanha.","-49.375","-28.01","49º22'30''W","28º0'36''S","CRI010280","CRI010280","3799","105","105","Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Mista; Habito: arbusto apoiante; flor rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:43-03","UNESC","CRI","10826","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","14","Robson dos Santos; Vanilde Citadini Zanette & Alexandre S. Klein","2001","11","19","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI005716","CRI005716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:43-03","UNESC","CRI","12104","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","14","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","04","27","Brasil","Santa Catarina","Bom Retiro","Fazenda Reunidos Canto Novo LTDA.","-49.4975","-27.901389","49º29'51''W","27º54'5''S","CRI010282","CRI010282","2100","111","111","Florística IFFSC 218(Liana) Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: liana; flor sépalas vermelhas e pétalas violetas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:43-03","UNESC","CRI","11948","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia",NA,"Fuchsia regia","(Vell.) Munz","Guilherme Alves Elias & Peterson Teodoro Padilha","2016","05","03","Aline Votri Guislon; Guilherme Alves Elias & Peterson Teodoro Padilha","2016","05","03","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","CRI010094","CRI010094",NA,"450","450","Beira da Mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:43-03","UNESC","CRI","12106","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","Farias, D. M.","2018","08","03","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.585278","-26.7275","49º35'7''W","26º43'39''S","CRI010284","CRI010284","995","785","785","Florística IFFSC e801a Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: flor rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:43-03","UNESC","CRI","12107","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia",NA,"Fuchsia regia","(Vell.) Munz","Stival-Santos, A","2010","08","25","Stival-Santos, A.; Silveira, S.","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'0''S","CRI010285",NA,"3234","710","710","Florística IFFSC 388 (Liana) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento Habito: liana; flor pétalas rosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:43-03","UNESC","CRI","14096","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","reitzii","Fuchsia regia reitzii","P.E.Berry","Aline Votri Guislon","2018","10","30","Valdemar Boff","1996","01","12","Brasil","Santa Catarina","Fraiburgo","Taquaruçu","-50.9213981628418","-27.0261001586914",NA,NA,"CRI012746",NA,NA,NA,NA,"Botões e flores vermelhas Habitat: Terrestre Habito: subarbustivo","24284","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","653396","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia","serrae","Fuchsia regia serrae","P.E.Berry","P. E. Berry",NA,NA,NA,"R. A. Wasum","1992","02","10","Brazil","Rio Grande do Sul",NA,"Imigrante- Linha Imhof",NA,NA,NA,NA,"NY00653396","NY00653396_01 NY00653396_02","8181","350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247310' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01066814","PreservedSpecimen","Plantae","Onagraceae","Fuchsia","regia",NA,"Fuchsia regia","(Vell.) Munz",NA,NA,NA,NA,"G. A. Lindberg","1854","12","18","Brazil","Minas Gerais",NA,"Prov. Minas Geraes: Caldas",NA,NA,NA,NA,"NY01066814","NY01066814_01","347",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204504' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
