"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","stateProvince","relatedCatalogItem","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","month","day","individualCount","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","248037","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B.Sm.","L. B. Smith","type","G. Gardner","5233","1836","South America","Brazil","[from annotation label: Distr. Diamantina]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248037","NY00248037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0041311","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B.Sm.","Mello-Silva R de","type","Unknown",NA,NA,"Southern America","Brazil","Minas Geraes",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0041311","NL-L0041311","Magnoliopsidae","2007","04","20","Minas Gerais","92730090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:39:16-02","BGBM","B","B 10 0248626","S","Plantae",NA,NA,"Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B.Sm.",NA,"isotype","Gardner","5233","1842","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100248626 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248626","B100248626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:46:53-03","MBM","MBM","160852","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B. Sm.","Mello-Silva, R.",NA,"Mello-Silva, R.; et al.; et al.","268",NA,"Southern America","Brazil","24km de Diamantina",NA,NA,"MBM160852","MBM160852",NA,NA,NA,NA,"Minas Gerais",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:46:53-03","MBM","MBM","155060","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B. Sm.","Mello-Silva, R.",NA,"Menezes, N.L.; et al.; et al.","10327",NA,"Southern America","Brazil","Diamantina",NA,NA,"MBM155060","MBM155060",NA,NA,NA,NA,"Minas Gerais",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2864504","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B. Sm.",NA,NA,"N. L. Menezes","14067","1980","South America - Neotropics","Brazil","5 km após Guinda",NA,NA,"US01328994","US01328994_01","Monocotyledonae",NA,NA,NA,"Minas Gerais",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto","12","12","1",NA,NA,NA,NA,NA
"7","2019-11-13 11:32:37-03","USP","SPF","216425","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B.Sm.","Mello-Silva, R",NA,"Mello-Silva, R","268","1990",NA,"Brasil","24 km da cidade na estrada para São João da Chapada.",NA,NA,"SPF00216425",NA,NA,"1990","05",NA,"Minas Gerais",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto","05","19",NA,"1100","1100",NA,NA,NA
"8","2016-08-23 10:23:09-03","NHMLondon","NHM-LONDON-BOT","BM000923996","S","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","streptophylla","Vellozia streptophylla","L.B.Sm.","Lyman Bradford Smith; b.1904; d.1997; L.B.Sm.","Isotype","George Gardner; b.1812; d.1849; Gardner","5233","1840",NA,"Brasil",NA,NA,"Habitat: Bare rocky places [on elivatia?] mountains",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,"-43.599964","-18.242011",NA,NA,"07",NA,NA,NA,NA,"-43.599964","-18.242011","NHMUK:ecatalogue:2328223"
