"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184494","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","N. T. da Silva","N. T. da Silva","5036","1979","11","07","South America","Brazil","Pará","Gurupá","campina do Jacobpi; zona de transição para a mata, solo arenoso com húmus.","-51.64","-1.405","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1382034' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184494","NY01184494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1184513","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","B. G. Stergios D.","W. A. Ducke","17018","1923","02","24","South America","Brazil","Pará","Gurupá",NA,"-51.6399993896484","-1.40499997138977","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471340' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184513","NY01184513_01 NY01184513_02","122528","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:40:03-03","EAO","IAN","50627","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"Ducke, A","17018","1923","02","24","Southern America","Brasil","Pará",NA,"Gurupá, campina arenosa do Igarapé Jacopí.",NA,NA,NA,"Árvore pequena, flor amarela.&nf;(Herb. Jard. Bot. Rio de Janeiro 17018).","IAN050627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:07:33-03","NBC","NL-BOTANY","U 0183582","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","Ducke A","Ducke A",NA,"1916","01","17","Southern America","Brazil","Pará",NA,"Gurupá (civ. Pará).",NA,NA,NA,"Campina arenosa et humosa.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200183582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0183582","NL-U0183582",NA,NA,"Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:07:33-03","NBC","NL-BOTANY","U.1311087","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","Ducke A","Ducke A",NA,"1923","02","24","Southern America","Brazil","Pará",NA,"Gurupá (civ. Pará).",NA,NA,NA,"Campina subulosa et humosa.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1311087 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1311087","NL-U1311087",NA,NA,"Magnoliopsidae",NA,"U 0183578",NA,NA,NA,NA,NA,NA
"6","2013-04-01 09:17:58-03","IPT","BCTW","2539","S","Plantae","Magnoliophyta",NA,NA,"Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-08-18 16:21:05-03","MNHN","RECOLNAT_MNHN_P","P01818095","PreservedSpecimen",NA,NA,NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"Ducke, A.",NA,"1916","1","17",NA,"Brésil",NA,NA,"Etat de Para: Gurupa",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818095' target='other'> <mi>dwc_moreinfo</mi></a>","P01818095","P01818095_01",NA,NA,NA,"type",NA,"15953",NA,NA,NA,NA,NA
"8","2017-08-07 20:13:08-03","MNHN","RECOLNAT_MNHN_P","P01818096","PreservedSpecimen",NA,NA,NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"Ducke, A.",NA,"1916","1","17",NA,"Brésil",NA,NA,"Etat de Para: Gurupa",NA,NA,"hb","Pollen prélevé par Mme Hul Thol. Labo Phanérogamie Paris le 17-11-1977 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818096' target='other'> <mi>dwc_moreinfo</mi></a>","P01818096","P01818096_01",NA,NA,NA,"type",NA,"15953",NA,NA,NA,NA,NA
"9","2020-08-31 08:51:49-03","INPA","INPA","94198","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","Silva, MF da","Ducke, A","s.n.","1923","02","24","Southern America","Brasil","Pará","Gurupá","Campina do Jacopi, Campina do Jacopi.","-51","-0.5",NA,NA,"INPA0094198","INPA0094198 INPA0094198_e",NA,NA,NA,NA,NA,NA,"1980","08","-51","-0.5",NA
"10","2020-08-31 08:51:49-03","INPA","INPA","127696","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","Silva, NT da","Silva, NT da","5036","1979","11","07","Southern America","Brasil","Pará","Gurupá","Campina do Jacobpi, campina do Jacobpi; zona de transição para a mata, solo arenoso com húmus.","-51.64","-1.405",NA,NA,"INPA0127696","INPA0127696 INPA0127696_e",NA,NA,NA,NA,NA,NA,"1979",NA,"-51.64","-1.405",NA
