"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber","sex"
"1","2021-04-05 14:25:50-03","UNESC","CRI","2244","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","L. B. Smith","Klein; Souza Sobr.","8628","1970","02","26","Brasil","Santa Catarina","Florianópolis","Lago do Perí.","-48.48","-27.592222","48º28'48''W","27º35'32''S","5","5","CRI006848","CRI006848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:50-03","UNESC","CRI","13783","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Christian Silva","Alexandre Medeiros","1047","2018","03","31","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"CRI012394",NA,"2018","03","31","Espigueta avermelhada Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:50-03","UNESC","CRI","317","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Hilda M. Longhi-Wagner","V. Citadini-Zanette; C. Bittencourt & L. Scardielli",NA,"1986","04","24","Brasil","Santa Catarina","Tubarão","Banhado da Estiva.","-49.007222","-28.467222","49º0'26''W","28º28'2''S","9","9","CRI006845","CRI006845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:33-03","E","E","221689","PreservedSpecimen","Plantae","Gramineae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"Smith, Herbert H.","108",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00221689",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00221689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:232215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","630308","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"R. M. Harley","16273","1974","02","21","Brazil","Bahia",NA,"Lagoa da Eugenia southern end near Camaleao","-39.72","-10.67",NA,NA,"300","300","NY00630308","NY00630308_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127578' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1100049","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"R. Spruce","s.n.","1949","11",NA,"Brazil","Pará",NA,"In vicinibus Santarem","-54.740486","-2.449614",NA,NA,NA,NA,"NY01100049","NY01100049_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400573' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00862264","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya spectabilis","(Nees ex Trin.) Mart.Crov.",NA,"G. Eiten","4760","1962","05","27","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. Santa Barbara, due SSE of Lorêto, on shore of Rio Parnaíba. Property of Dona Luzia. About 200 m. west of the mouth of the brook, Riacho da Simiana. At edge of Rio Parnaíba, along the shore","-45.05","-7.5",NA,NA,"140","140","NY00862264","NY00862264_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941016' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales","spectabilis",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 02:18:00-03","NY","NYBG","1100048","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"P. von Luetzelburg","21445",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"NY01100048","NY01100048_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399847' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 14:54:00-03","NY","NYBG","630312","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"S. A. Renvoize","5372","1992","09","13","Colombia","Valle del Cauca",NA,"Cauca Valley. Swampy ground beside Laguna Sonso, near Buga",NA,NA,NA,NA,"937","937","NY00630312",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127579' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 14:54:00-03","NY","NYBG","630302","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"D. S. D. de Araújo","3723","1980","04","10","Brazil","Rio de Janeiro","Campos","Canal da Flecha, nas margens",NA,NA,NA,NA,NA,NA,"NY00630302","NY00630302_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127575' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1146852","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"S. Tsugaru","B-870",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"NY01146852","NY01146852_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399848' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","630311","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","J. R. Swallen","R. Reitz","4341","1951","12","13","Brazil","Santa Catarina",NA,"Piloes, Palhoça","-48.694057","-27.77489",NA,NA,NA,NA,"NY00630311","NY00630311_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127567' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 02:18:00-03","NY","NYBG","1146853","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"E. A. Goeldi","287",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01146853","NY01146853_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400567' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
