"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00837382","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","H. C. Cutler","H. C. Cutler","12410","South America","Brazil","Ceará","Fortaleza","-38.5431","-3.7172","wood sample","Part of a collection of 42 remedies from one herb stall. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837382","NY00837382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1581479","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","H. S. Irwin","29710","South America","Brazil","Minas Gerais",NA,"-43.41795","-20.37495","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1846238' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581479","NY01581479_01","1971","02","03","Serra do Espinhaço, valley of Riacho Mariana, ca. 3 km N. of Mariana","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1581476","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","H. S. Irwin","28114","South America","Brazil","Minas Gerais","Diamantina","-43.68125","-17.99895","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1846278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581476","NY01581476_01","1970","03","23","Serra do Espinhaço, ca. 15 km N. of São João da Chapada","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1040062","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","W. Hoehne","5546","South America","Brazil","Espírito Santo",NA,"-40.536302","-20.663179","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040062","NY01040062_01","1964","01","25","Arredores de Guarapari.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","52501","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","J. A. Kallunki","617","South America","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","-42.15","-22.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00052501","NY00052501_01","1995","02","17","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, in forest near tower.","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1040056","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","F. C. Hoehne","10449","South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040056","NY01040056_01","1924","03","05","Santa Bárbara do Mato Dentro. Cult. no Horto Osw. Cruz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1581475","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","H. S. Irwin","27741","South America","Brazil","Minas Gerais",NA,"-43.5028","-18.162","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1846279' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581475","NY01581475_01","1970","03","17","Serra do Espinhaço, Ca. 23 km E. of Diamantina","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","52502","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","J. A. Kallunki","617","South America","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","-42.15","-22.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00052502","NY00052502_01","1995","02","17","Serra Sepeatiba, at TELERJ tower reached (eventually) after 5.8 km on dirt road turning N from Araruama-S. Pedro de Aldeia road at 3.5 km W of turn to Macaé, in forest near tower.","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1018092","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.",NA,"S. J. da Silva Neto","772","South America","Brazil","Rio de Janeiro","Nova Iguaçú","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248660' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018092","NY01018092_01","1996","08","04","Estrada para a jangada, trilha dos crentes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1040058","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","cymbifera","Aristolochia cymbifera","Mart. & Zucc.","F. A. González","G. Gardner","616","South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502113' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040058","NY01040058_01","1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
