"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","typeStatus","relatedCatalogItem"
"1","2016-09-28 16:11:00-03","NY","NYBG","00568002","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","L. R. Noblick","4838","1992","03","10","South America","Brazil","Espírito Santo","Pancas","3 km NW of town on the road Pancas/Vila Verde.","-40.87","-19.25","250","400","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568002","NY00568002_01 NY00568002_02 NY00568002_03 NY00568002_04 NY00568002_05 NY00568002_06 NY00568002_07 NY00568002_08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 22:29:00-03","NY","NYBG","2480153","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","M. O. de O. Pellegrini","369","2013","04","22","South America","Brazil","Espírito Santo","Água Doce do Norte","Morro da torre de celular","-40.9853","-18.5697","624",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2700134' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480153","NY02480153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 16:11:00-03","NY","NYBG","00567966","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","R. P. Belém","3789","1968","06","30","South America","Brazil","Minas Gerais",NA,"Margem da Rodovia Teófilo Otoni, Nanuque.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567966","NY00567966_01","L. R. Noblick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 22:29:00-03","NY","NYBG","2480152","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","M. O. de O. Pellegrini","369","2013","04","22","South America","Brazil","Espírito Santo","Água Doce do Norte","Morro da torre de celular","-40.9853","-18.5697","624",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2700133' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480152","NY02480152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:11:00-03","NY","NYBG","00568340","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","R. P. Belém","3789","1968","06","30","South America","Brazil","Minas Gerais",NA,"Margem da Rodovia Teófilo Otoni, Nanuque.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568340","NY00568340_01","L. R. Noblick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:51:37-03","EAO","IAN","125162","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","Belém, RP","3789","1968","06","30","Southern America","Brasil","Minas Gerais",NA,"Margem da Rodovia Teófilo Otoni, Nanuque. Zona calcárea.",NA,NA,NA,NA,NA,"Palmeira de 4 m de altura, entre rocha calcárea. Inflorescência amarela.","IAN125162",NA,"Noblick, LR","(Bondar) Glassman","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:42:03-03","JBP","HPL","11954","S","Plantae",NA,NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","H. Lorenzi, K. Soares, T.B. Flores","6831","2010","02","08",NA,"Brasil","MG","Teófilo Ottoni","Na beira da BR 418.","-41.5053","-17.8575","318","318",NA,NA,NA,NA,"H. Lorenzi",NA,"2010","02","08","41° 03#?#04,0 W","17° 52#?#23,4 S","62594","auto",NA,NA,NA,NA
"8","2015-07-02 14:42:03-03","JBP","HPL","1357","S","Plantae",NA,NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","E.R. Salviani & H. Lorenzi","132","1998","07","22",NA,"Brasil","ES","Caladina","Estrada que liga Caladina - 3 Domingos.",NA,NA,NA,NA,NA,NA,NA,NA,"H. Lorenzi","(Bondar) Glassm.","1998","07","22",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:33:27-02","IPA","IPA","57336","S","Plantae","Plantae",NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","Noblick, L.R.","5169","1997","08","03","Southern America","Brasil","Espirito Santo","Colatina","14 km N of the turn off for Baixo Guando and Aimores on the ES-080 just N of the Polícia Militar post.","-40.683333","-19.407778","200","500",NA,"Palm clustering to 9 trunk with 1,5 - 2,5 m x 5-7cm trunk. Leaves 5-7in crown, spirally arranged and spreading. Androgynous inflorescence with 50 cm long by 1 x 0,5 cm diam. peduncle and 38 cm long rachis. Fruit reddish orange in colo","IPA0057336",NA,NA,"(Bondar) Glassman",NA,NA,NA,"-40.683333","-19.407778",NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:33:27-02","IPA","IPA","59148","S","Plantae","Plantae",NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","Noblick, L.R.","5169","1997","08","03","Southern America","Brasil","Espirito Santo","Colatina","14 km N of the turn off for Baixo Guando and Aimores on the ES-080 just N of the Polícia Militar post.","-40.683333","-19.407778","200","500",NA,"Palm clustering to 9 trunk with 1,5 - 2,5 m x 5-7cm trunk. Leaves 5-7in crown, spirally arranged and spreading. Androgynous inflorescence with 50 cm long by 1 x 0,5 cm diam. peduncle and 38 cm long rachis. Fruit reddish orange in colo","IPA0059148",NA,NA,"(Bondar) Glassman",NA,NA,NA,"-40.683333","-19.407778",NA,NA,NA,NA,NA,NA
"11","2021-03-24 17:08:41-03","UFES","SAMES","8202","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.","380","2018","03","20",NA,"Brasil","Espírito Santo","Águia Branca","REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.","-40.7402992248535","-18.9831008911133",NA,NA,NA,"Palmeira com mais de 2 metros, frutos laranjas (na carpoteca), sol, habitando ilha de vegetação em inselberg.","SAMES08202",NA,NA,"(Bondar) Glassman",NA,NA,NA,"-407122222.0","-189786111.0","19701","auto",NA,NA,NA,NA
"12","2021-03-24 17:08:41-03","UFES","SAMES","8232","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","ruschiana","Syagrus ruschiana","Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.","410","2018","03","22",NA,"Brasil","Espírito Santo","Vila Pavão","PEDRA DO VIADINHO.","-40.611400604248","-18.6149997711182",NA,NA,NA,"Folhas verdes, frutos verdes (na carpoteca). Sol habitando ilha de vegetação inselberg.","SAMES08232",NA,NA,"(Bondar) Glassman",NA,NA,NA,"-405558333.0","-186230556.0","19647","auto",NA,NA,NA,NA
