"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","class","individualCount","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","971765","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","A. Rapini","W. R. Anderson","36314","1972","02","19","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.567098","-19.391463","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971765","NY00971765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","1179991","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","A. Rapini","Howard S. Irwin|et al.","Irwin 20127","1968","2","15","South America","Brazil","Minas Gerais","Serra do Cipó, ca Km. 120 (ca 145 km N of Belo Horizonte), steep sandy slopes with sandstone outcrops at summit",NA,NA,"1300.00000000",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","1391062","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","A. Rapini","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 36314","1972","2","19","South America","Brazil","Minas Gerais","Serr do Cipó",NA,NA,"1220.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-08-31 08:52:22-03","INPA","INPA","66102","S","Plantae","Dicotyledon","Gentianales","Asclepiadaceae","Metastelma","hatschbachii","Metastelma hatschbachii","Fontella & Marquete","Rapini, A","Irwin, HS","20127","1968","02","15","Southern America","Brasil","Minas Gerais","Serra do Espinhaço. Serra do Cipó, ca. Km 120 (ca. 145 Km N of Belo Horizonte)",NA,NA,"1300","1300",NA,NA,"INPA0066102","INPA0066102 INPA0066102_e INPA0066102_e1","isotype","2009","04",NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2833116","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Metastelma","hatschbachii","Metastelma hatschbachii","Fontella & Marquete",NA,"H. S. Irwin, H. Maxwell & D. C. Wasshausen","20127","1968","2","15","South America - Neotropics","Brazil",NA,"Serra do Espinhaco, Serra do Cipo, N of Belo Horizonte.",NA,NA,"1300","1300",NA,NA,"US00610774","US00610774_01","Isotype",NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA
"6","2021-03-15 18:24:41-03","USP","SPF","75244B","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","Rapini, A","Menezes, NL","1253","1991","01","27",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 114 da Rod. Belo Horizonte-Conceição do Mato Dentro. Alto.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Coleta mista.; Flores amarelas-esbranquiçadas. Planta volúvel.","SPF00075244",NA,NA,"1999",NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA
"7","2021-03-15 18:24:41-03","USP","SPF","19969","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","Rapini, A","Furlan, A","CFSC7219","1981","04","19",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 117 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Perto do Córrego Alto do Cupim.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"subarbusto ereto, em solo pedregoso. Botões cor-de-vinho. Frutos verdes.","SPF00019969",NA,NA,"1999",NA,NA,NA,"Santana do Riacho","26557","auto",NA,NA
"8","2019-10-07 09:13:24-03","UEFS","HUEFS","241259","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini",NA,"Bitencourt, C.","275","2016","01","12",NA,"BR","Minas Gerais","Estrada subindo a Se Em campo rupestre com afloramentos e solo quartzítico.","-43.7144012451172","-19.1688995361328","1266","1266",NA,NA,"HUEFS0241259",NA,NA,NA,NA,"Asteranae",NA,"Santana do Riacho","26557","auto",NA,NA
"9","2019-10-07 09:13:24-03","UEFS","HUEFS","162761","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","A.Rapini","Ribeiro, P.L.","268","2008","01","27",NA,"Brasil","Minas Gerais","Serra do Cipó, Rodovia S.Cipó - Conceição do Mato Dentro, MG010, km 129.","-43.546667","-19.271111","1268","1268",NA,"Campo rupestre.","HUEFS0162761","HUEFS0162761",NA,"2010","11","Asteranae",NA,"Santana do Riacho",NA,NA,"43W32'48''","19S16'16''"
"10","2019-07-09 14:15:53-03","F","FMNH-SEEDPLANTS","V0419645F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii",NA,NA,"W. R. Anderson","36314","1972","2","19","South America","Brazil","Minas Gerais",NA,"-44","-18",NA,NA,NA,NA,"V0419645F","V0419645F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"11","2019-11-01 14:52:42-03","UnB","UB","117863","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","Rapini, A","Anderson, WR","36314","1972","02","19","Southern America","Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,"Stems with latex; flowers purple.; Erect.; Rocky hillside cerrado on upper slopes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-01 14:52:48-03","UnB","UB","1484","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Metastelma","hatschbachii","Metastelma hatschbachii","Fontella & Marquete","Fontella, J","Irwin, HS; Maxwell, HH; Wasshausen, DC","20127","1968","02","15","Southern America","Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,"Tipo.; Erva 0,65m. Flor marrom-violeta; Steep sandy slopes.","UB0036702","UB0036702","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 09:58:41-03","IBt","SP","180054","S","Plantae",NA,NA,"Apocynaceae","Hemipogon","hatschbachii","Hemipogon hatschbachii","(Fontella & Marquete) Rapini","Rapini, A","Furlan, A; Cordeiro, I; Pirani, JR","CFSC7219","1981","04","19",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 117 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Perto do córrego Alto do Cupim","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,"2000","08",NA,NA,"Santana do Riacho","26557","auto",NA,NA
