"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02448576","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","G. Eiten","2398","1960","09","23","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 3.4 km. NNW of Padua Sales (About 27 km. NW of city of Moji-Mirim.)","-47.142","-22.242","575","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635085' target='other'> <mi>dwc_moreinfo</mi></a>","NY02448576","NY02448576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 15:35:00-03","NY","NYBG","376544","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa",NA,"F. C. Hoehne","2515","1918","10","19","South America","Brazil","São Paulo","Sao Paulo","Ipiranga","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376544","NY00376544_01","R. C. Forzza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 15:13:00-03","NY","NYBG","02171519","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa",NA,"R. P. Belém","3777","1968","06","27","South America","Brazil","Minas Gerais",NA,"Ao lado da Rodovia BR 4, Km 777.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320161' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171519","NY02171519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 15:35:00-03","NY","NYBG","376590","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa",NA,"R. Goodland","745","1967",NA,NA,"South America","Brazil","Minas Gerais",NA,"Triángulo region",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376590","NY00376590_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376545","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa","(Vell.) Beer","I. Mimura","556","1962","09","12","South America","Brazil","São Paulo","Sao José dos Campos","6,8-7,2 km ao SSE em linha reta da praça principal de Sao Jose dos Campos. Dentro de 100 m ao oeste da estrada para Paraibuna","-45.88","-23.1703","635","635","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376545","NY00376545_01","G. Eiten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376591","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa","(Vell.) Beer","G. T. Prance","24795","1977","11","04","South America","Brazil","Pará",NA,"Cachoeira de Curuí; north slope of Serra Cachimbo",NA,NA,"300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376591","NY00376591_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 15:35:00-03","NY","NYBG","376543","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa",NA,"A. C. Cervi","6328","1997","09","16","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha - Caminho da Igreja","-49.97","-25.42",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376543","NY00376543_01","R. C. Tardivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376542","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","tuberosa","Dyckia tuberosa tuberosa","(Vell.) Beer","J. C. Lindeman","3104","1966","12","17","South America","Brazil","Paraná","Jaguariaíva","5 km N of Jaguariaíva","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376542","NY00376542_01","E. A. Mennega; K. U. Kramer","tuberosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","1121","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Souza, E.L.","13","1972","09","19",NA,"Brasil","São Paulo","Botucatu",NA,"-48.375","-22.866667",NA,NA,NA,"Flores vermelhas, presença de bulbo, foi encontrada no bulbo muitas formigas","BOTU001121",NA,"Souza, E.L.",NA,"1972","10","25","48°22'30w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","1131","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Doi, T.",NA,"1972","09","09",NA,"Brasil","São Paulo","Botucatu",NA,"-48.375","-22.875",NA,NA,NA,NA,"BOTU001131",NA,"Forzze, R.C.",NA,"1998","03",NA,"48°22'30w","22°52'30s",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","17724","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Ono, E.O.","7","1989","09","20",NA,"Brasil","São Paulo","Botucatu",NA,"-48.5","-22.916667",NA,NA,NA,"Flores alaranjadas","BOTU017724",NA,NA,NA,NA,NA,NA,"48°30'w","22°55's",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","17511","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Carmelo, S.M.","7","1989","09","20",NA,"Brasil","São Paulo","Botucatu",NA,"-48.5","-22.916667",NA,NA,NA,"Flores alaranjadas","BOTU017511",NA,NA,NA,NA,NA,NA,"48°30'w","22°55's",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","1135","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Souza, E.L.","13","1972","09","19",NA,"Brasil","São Paulo","Botucatu",NA,"-48.375","-22.875",NA,NA,NA,"Flores vermelhas, presença de bulbo, foi encontrado também no bulbo muitas formigas","BOTU001135",NA,"Souza, E.L.",NA,"1972","10","25","48°22'30w","22°52'30s",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","1138","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Jaquetti Jr., J.","54","1972","09","19",NA,"Brasil","São Paulo","Botucatu",NA,"-48.375","-22.875",NA,NA,NA,"Flores vermelhas, presença de formigas no bulbo","BOTU001138",NA,"Amaral Jr., A.",NA,"1972","11","19","48°22'30w","22°52'30s",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","4223","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Martino, A.","1111","1974","10","13",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Epífita","BOTU004223",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","17598","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","linearifolia","Dyckia linearifolia","Baker","Castilho, R.M.M.","8","1989","09","27",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"Flores amarelas, árvores de até 10 m de altura","BOTU017598",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-13 09:19:15-03","UFRJ","RFA","9391","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","crocea","Dyckia crocea","L.B.Sm.","G.G. Hatschbach","17248","1967","10","03",NA,"Brasil","Paraná","Colombo","Rio Canguiri","-49.2242012023926","-25.2917003631592",NA,NA,NA,"Flor zarcão","RFA52146",NA,"L.B. Smith",NA,NA,NA,NA,NA,NA,"13536","auto",NA,NA,NA,NA,NA,NA
