"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","barcode","imagecode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","sex","preparationType"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","2914","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:37-03","UFRJ","RFA","30315","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","T. Wendt","2000","11",NA,"Epífita, inflorescência passada, rosa choque. Brácteas escapais esverdeadas","30","T. Wendt; G. K. Brown; F. C. P. Tatagiba; K. T. Ribeiro","372","2000","11","30","Brasil","Rio de Janeiro","Serrinha","RFA51958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:37-03","UFRJ","RFA","30412","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","A. P. G. de Faria","2001","10",NA,"Planta em agregado denso no chão, sob árvores. Ovário branco. Sépalas e brácteas florais rosas. Pétalas roxas. Filetes, estigmas e estiletes brancos","14","K. T. Ribeiro",NA,"2001","10","14","Brasil","Rio de Janeiro","Serrinha","RFA51966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:33-03","MN","R","32381","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,NA,NA,NA,"Foster, M.B.","132","1939",NA,NA,"Brasil",NA,NA,"R010004215","R010004215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:33-03","MN","R","206994","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,NA,NA,NA,"Almeida, V.R.","65","2005","09","05","Brasil","Rio de Janeiro","Itatiaia","R010004216","R010004216","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:22-03","UFV","VIC","015664","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,NA,NA,NA,"de Paula, C.C.","1066","1995","12","10","Brasil","Minas Gerais","Araponga","VIC015664","VIC015664","-42.5208015441895","-20.6667003631592","16385","auto","Estrada Araponga, Estouro, área da Fazenda Mundial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:22-03","UFV","VIC","25939","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez.","Paula, C.C. de","2002","01",NA,"Rupícola ou saxícola","17","Paula, C.C. de","s.n.","1996","03","05","Brasil","Minas Gerais","Araponga","VIC025939","VIC025939","-42.5208015441895","-20.6667003631592","16385","auto","Fazenda Mundial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:32:45-03","UFJF","CESJ","22935","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez.","G. Martinelli","1990","06",NA,"Rupícola, brácteas róseas.","19","M.C. Brügger; et al.","s.n.","1988","10","16","Brasil","Minas Gerais",NA,"CESJ022935",NA,NA,NA,NA,NA,"Parque Nacional do Caparaó, Vale Verde","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:19:20-03","MBM","MBM","37433","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,NA,NA,NA,"Castellanos, A.","25655","1964","09","10","Brazil","Rio de Janeiro","Rio de Janeiro","MBM037433","MBM037433","-43.2075004577637","-22.9027996063232","57442","auto","Rio de Janeiro","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:43:27-03","UFMG","BHCB","183086","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,"2016","11",NA,"Inflorescência com brácteas vermelhas.; Epífita. Dentro da mata.","30","Leroy, CJ; Duarte, MO; Paucar, JOA; Bragioni, TLS; Silva, GS","18","2016","09","16","Brasil","Minas Gerais","Alto Caparaó",NA,NA,"-41.852111","-20.419639",NA,NA,"Parque Nacional do Caparaó, Vale Verde","Southern America","-41.852111","-20.419639","1289","1289",NA,NA,NA,NA,NA
"11","2020-12-19 04:39:00-03","MO","MOBOT","2782661","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","nervata","Aechmea nervata","L.B. Sm.",NA,NA,NA,NA,NA,NA,"M. B. Foster|Racine S. Foster","Foster 176A","1939","7",NA,"Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"Espirito Santo: litoral at Victoria","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42631",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","T.S. Coser/28-03-2011",NA,NA,NA,"Pop. freq. na região como epífitas. Folhas de bainha discolor, abaxial verde, adaxial vináceas. Em frutificação",NA,"T.S. Coser; F.B. Uribbe & B. Neves","397","2011","03","28","Brasil","Espírito Santo","Vale Verde","MBML042631","MBML042631","-41.512778","-20.419167",NA,NA,"Parque Nacional do Caparaó, Mata Ciliar.",NA,"41W30'46","20S25'9",NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:27-03","FZB-BH","BHZB","11691","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana",NA,"Elton. C. M. Leme",NA,NA,NA,"Planta com folhas verdes, serrilhada nas bordas; Inflorescênciacom brácteas avermelhadas; Flores com brácteas vermelhas; flores com ápice roxo,&nf;Planta Vulnerável",NA,"Swerts, M.","49","2016","10","11","Brasil","MG","Belo Horizonte",NA,NA,"-43.937801361084","-19.9207992553711","17082","auto","FZBBH- Coleção de Plantas Exóticas e Sem Procedência. CVJBFZB 2914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","1909827","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,"1",NA,NA,"M. B. Foster & R. Foster","1035","1940","8","28","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Itatiaya.","South America - Neotropics",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA
"15","2019-07-09 12:56:24-03","F","FMNH-SEEDPLANTS","V0401878F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana",NA,NA,NA,NA,NA,NA,NA,"A. Castellanos","25655","1964","9","10","Brazil",NA,NA,"V0401878F","V0401878F_01","-52.8731","-10.8339",NA,NA,NA,"South America",NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"16","2019-07-09 12:56:21-03","F","FMNH-SEEDPLANTS","V0401879F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana",NA,NA,NA,NA,NA,NA,NA,"L. B. Smith","1443","1928","12","9","Brazil",NA,NA,"V0401879F","V0401879F_01","-52.8731","-10.8339",NA,NA,NA,"South America",NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"17","2020-07-23 12:00:44-03","CEPLAC","CEPEC","44961","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","nervata","Aechmea nervata",NA,"L. B. Smith",NA,NA,NA,NA,NA,"M. B. & R. Foster","176","1939","01","01","Brasil","Espírito Santo","VITÓRIA",NA,NA,"-40.3377990722656","-20.3194007873535","15291","auto","Litoral de Vitória.",NA,NA,NA,NA,NA,NA,"Fototipo",NA,NA,NA
"18","2019-11-13 16:04:33-03","UNISANTA","HUSC","10590","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","Martins, S.E.","2015","09",NA,"brácteas do escapo creme, brácteas florais rosa e botões florais azul-escuro.; Mata Nebular, Subosque",NA,"Sampaio, P.S.P.; Castro, J.C.","1148","2015","07","28","Brasil","Minas Gerais","São Thomé das Letras",NA,NA,"-44.9852981567383","-21.7222003936768","16076","auto","Pico do Gavião.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:09:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,NA,"(V. s. in herb. Leod. et spec. in spiritu vini conservata Schimperiana mediante cl. Wittmack.)",NA,"Glaziou, AFM","12223",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasiliae australis prov. Minas Geraes in Serra do Picú, altit.1500-1700m","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:09:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez",NA,NA,NA,NA,NA,NA,"Schimper, WP","304",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasiliae australis prov. Minas Geraes in Serra do Picú, altit.1500-1700m","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:02:30-03","IBt","SP","102860","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","Wendt, T","1992","07",NA,NA,"30","Mattos, J; Mattos, N","15155","1967","11","23","Brasil","Rio de Janeiro","Resende","SP050713","SP050713","-44.4467010498047","-22.468900680542","36089","auto","Parque Nacional do Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:02:30-03","IBt","SP","59101","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","Wendt, T","1992","07",NA,NA,"30","Kuhlmann, M","s.n.","1961","10",NA,"Brasil","São Paulo","Pindamonhangaba","SP050714","SP050714","-45.4599990844727","-22.9200000762939","24176","auto","Eugênio Lefevre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:02:30-03","IBt","SP","370283","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","Martins, SE","2005","02",NA,NA,NA,"Martins, SE","870","2004","09","07","Brasil","São Paulo","Queluz","SP050715","SP050715","-44.7700004577637","-22.5300006866455","14382","auto","Beira do Rio Marambaia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2010-08-16 16:41:25-03","GH","HU-HERB","GH 00029004","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","nervata","Aechmea nervata","L. B. Smith",NA,NA,NA,NA,NA,NA,"M. B. Foster","176A","1939","7",NA,"Brazil","Espirito Santo",NA,NA,NA,NA,NA,NA,NA,"Litoral at Victoria","South America",NA,NA,NA,NA,NA,"Holotype","176A","undetermined","Sheet"
