"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","645713","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","J. N. Rose","20583","1915","07","26","South America","Brazil","Rio de Janeiro","Vicinity of Itatiaia","-44.605108","-22.369171","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645713","NY00645713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645714","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","J. N. Rose","20817","1915","08","12","South America","Brazil","Rio de Janeiro","Organ Mountains, Rio de Janeiro","-43.073169","-22.496706","1000","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645714","NY00645714_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645712","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","J. N. Rose","20583","1915","07","26","South America","Brazil","Rio de Janeiro","Vicinity of Itatiaia","-44.605108","-22.369171","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645712","NY00645712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645711","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","K. Lems","s.n.","1964","03","19","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgaos near Theresopolis. Pedra do Sino, along trail","-43.013889","-22.449167","1100","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645711","NY00645711_01",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645715","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","D. R. Hunt","6486","1966","08","03","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, Parque Nacional. Between Abrigos I and II",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645715","NY00645715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645716","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","J. N. Rose","21151","1915","09","21","South America","Brazil","Rio de Janeiro","Organ Mountains, Rio de Janeiro","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645716","NY00645716_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645717","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Löfgr.","J. N. Rose","43443","1915",NA,NA,"South America","Brazil","Rio de Janeiro","Organ Mountains","-43.073169","-22.496706",NA,NA,"sheet","Cultivated from original colelction, Rose 21157. Flowered and painted March 15, 1918 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645717","NY00645717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:44-03","MN","R","218680","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Loefgr.","Castellanos, A.","22327","1958","10","19",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"R010029148,R010029149,R010029150","R010029148 R010029149 R010029150",NA,"Castellanos, A.","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:26:44-03","MN","R","218681","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Loefgr.","Barcia, L.","97","1970","09","06",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA,NA,NA,"R010029138,R010029139","R010029138 R010029139",NA,"Taylor, N.P. & Zappi, D.C.","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:26:44-03","MN","R","218682","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Loefgr.","Castellanos, A.","22331","1957","10","27",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"R010029140,R010029141","R010029140 R010029141",NA,"Castellanos, A.","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:26:44-03","MN","R","49843","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","pulchra","Rhipsalis pulchra","Loefgr.","Moldenke","848","1948","09","17",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"R010029145,R010029146,R010029147","R010029145 R010029146 R010029147",NA,"Castellanos, A.","1959",NA,NA,NA,NA,NA,NA,NA,NA,NA
