"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relationshipType","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01183701","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Mentha","spicata","Mentha spicata","L.","S. F. Smith","M. Rossato","287","2005","03","16","South America","Brazil","Rio Grande do Sul","Caxias do Sul","Fazenda Souza","-51.1794","-29.1681","780","780","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452317' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183701","NY01183701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG4737","S","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata",NA,NA,"Ednéia C. Melo",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Jeceaba","Comunidade Santa Cruz","-43.9832992553711","-20.5352993011475","888","888",NA,"Folhas opostas, simples. Planta não latescente, não espinhosa, não urticante. UTM: 603131 x, 7730537 y",NA,NA,"19534","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:56-03","UNESP-IBB","BOTU","15528","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"Guimarães-Santos, E.M.","74","1987","08","29",NA,"Brasil","São Paulo","Botucatu","Rua Pedro Paniguel, 315, Rubião Jr.",NA,NA,NA,NA,NA,NA,"BOTU015528",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","470","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Santos,J.F.","Castro, K. N. C.; Leite, S. R.; Wolsech, D.","28","2013","02","05",NA,"Brasil","Piauí","Parnaíba","Embrapa","-41.783694","-3.087833",NA,NA,NA,"Arbusto <ll>dwc_commonname:</ll> Hortelã","HDELTA000470",NA,NA,NA,"41°47'01,30''W","03°05'16,20''S","2017","01","31",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","2507","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Marques. A.","Marques, A.","8","2012","10","28",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Hortelã","HDELTA002507",NA,NA,NA,NA,NA,"2012","10","28",NA,NA,NA,NA,NA,NA,NA
"6","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","4790","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Costa, E.","Costa, E.; Nascimento, L.","S/N","2016","10","27",NA,"Brasil","Maranhão","Grajaú","Aldeia Bacurizinho","-45.972667","-5.868078",NA,NA,NA,"Conchecimento indígena sobre plantas medicinais <ll>dwc_commonname:</ll> Hortelã","HDELTA004790",NA,NA,NA,"45°58'21,60''W","05°52'05,08''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","4783","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Nascimento, L.","Nascimento, L.","S/N",NA,NA,NA,NA,"Brasil","Maranhão","Grajaú","Bairro extrema","-46.138599395752","-5.81943988800049",NA,NA,NA,"Conchecimento indígena sobre plantas medicinais <ll>dwc_commonname:</ll> Hortelã","HDELTA004783",NA,"64236","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","6600","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Vieira, L.S.","Meireles, M.P.A","96","2018","10",NA,NA,"Brasil","Piauí","Picos",NA,"-41.4668998718262","-7.07694005966187",NA,NA,NA,"casa da dona madalena <ll>dwc_commonname:</ll> Hortelã Vick","HDELTA006600",NA,"31259","auto","41°55'80,86W","7°1692,70S","2020","01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","2082","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Santos,J.F.","Vieira, L.S.","33","2011","11","22",NA,"Brasil","Maranhão",NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Hortelã","HDELTA002082",NA,NA,NA,NA,NA,"2017","01","31",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-06 11:42:31-03","UFPI-MRV","HDELTA","3340","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Carvalho, Y.S.","Carvalho, Y.S.","105","2015","08","03",NA,"Brasil","Piauí","Caxingó",NA,"-41.8960990905762","-3.41750001907349",NA,NA,NA,"<ll>dwc_commonname:</ll> Hortelã","HDELTA003340",NA,"21291","auto",NA,NA,"2015","08","03",NA,NA,NA,NA,NA,NA,NA
