"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","county","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:40-03","E","E","135468","PreservedSpecimen","Plantae","Moraceae","Sorocea","grandifolia","Sorocea grandifolia","Ratter, J.A.; Filho, Joaquim Fonsêca; Dos Santos, João Batista; de Oliveira, Newton R. & Pais, Nelson Oliveira","1993","11","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143495","<a href=http://data.rbge.org.uk/herb/E00135468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00135468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:40-03","E","E","232780","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","Tello","1991","01","01","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:247128","<a href=http://data.rbge.org.uk/herb/E00232780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232780","3391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2199793","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","B. A. Krukoff","1931","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330462' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199793","1304","Magnoliophyta","Rosales","Gaudich.","Rondônia","Near Calama, Madeira river region.","-62.87","-8.0249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2199800","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","B. A. Krukoff","1934","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330470' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199800","6143","Magnoliophyta","Rosales","Gaudich.","Amazonas","Region Riv. Madeira: near Tres Casas.","-62.6839542","-6.9876421","Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","566171","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","A. M. V. de Carvalho","1994","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566171","4671","Magnoliophyta","Rosales","Gaudich.","Bahia","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao","-39.06916667","-14.7819444","Ilhéus","C. C. Berg","NY00566171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","227789","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","W. W. Thomas","1993","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227789","9767","Magnoliophyta","Rosales","Gaudich.","Bahia","11.6 km south of junction with BA 654 at Loteamento Marambaia on rd to Serra Grande, the junction 6 km west of Itacaré","-39.27","-14.4","Itacaré","C. C. Berg","NY00227789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","869285","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","W. W. Thomas","1985","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869285","4356","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Along road to Santa Terezinha (MT413) 7 km E of jct with BR158.","-51.22","-10.33","Santa Terezinha","C. C. Berg","NY00869285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","865483","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","G. T. Prance","1968","09","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865483","7489","Magnoliophyta","Rosales","Gaudich.","Acre","Vicinity of Tarauacá","-70.77","-8.15","Tarauacá","C. C. Berg","NY00865483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","869304","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","Y. E. J. Mexia","1930","12","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869304","5379","Magnoliophyta","Rosales","Gaudich.","Minas Gerais","Road to São Miguel; about km 4.5.","-42.8817","-20.7542","Viçosa","W. C. Burger","NY00869304_01","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476491","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","D. C. Daly","1996","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476491","9097","Magnoliophyta","Rosales","Gaudich.","Acre","Rio Purus, Seringal Terra Nova, Colocaçao Terra Nova [Sr. Milton Ruiz].","-69.7947","-9.1122","Manoel Urbano","C. C. Berg","NY00476491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
