"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00863361","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch.Bip.","J. Semir","J. Semir","CFCR9571","1986","02","24","South America","Brazil","Minas Gerais","Gouveia. Fazenda Contagem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863361","NY00863361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00749097","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","heterotheca","Lychnophora heterotheca","(Sch.Bip.) Coile & S.B.Jones",NA,"G. G. Hatschbach","36435","1975","02","23","South America","Brazil","Minas Gerais","BR 259, Serra do Espinhaço","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749097","NY00749097_01","Gouveia","-43.7406","-18.4544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:05-03","EAO","IAN","27763","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","heterotheca","Lychnophora heterotheca","Sch.Bip.",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN027763","IAN027763_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:01:55-03","ESALQ","ESA","18858","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch. Bip.","Loeuille, B.","Souza, V.C. et al.","8527.0","1995","03","13",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA018858","ESA018858","Gouveia","-43.7407989501953","-18.4543991088867","2015","09","22","37970","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:01:55-03","ESALQ","ESA","64220","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch. Bip.","Loeuille, B.","Roque, N. et al.",NA,"1994","03","19",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA064220","ESA064220","Joaquim Felício","-44.1721992492676","-17.7574996948242","2015","09","22","37503","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:01:55-03","ESALQ","ESA","24829","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophoriopsis","heterotheca","Lychnophoriopsis heterotheca","Sch. Bip.","Dematteis, M.","Roque, N. et al.",NA,"1994","03","20",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA024829","ESA024829","Augusto de Lima","-44.2668991088867","-18.1091995239258",NA,NA,NA,"34209","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:01:55-03","ESALQ","ESA","60067","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophoriopsis","heterotheca","Lychnophoriopsis heterotheca",NA,"Dematteis, M.","Souza, V.C. ; Souza, J.P.","22068.0","1999","03","13",NA,"Brasil","Minas Gerais","Serra do Cabral. 17o43'48,1S, 44o10'25,0W. Campo rupestre.",NA,"Arbusto, até 2 m alt.; flores lilases.","ESA060067","ESA060067","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"37503","auto","-44,173,611","-17,730,028",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:31:58-03","UFJF","CESJ","39499","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Lychnophoriopsis","heterotheca","Lychnophoriopsis heterotheca","Sch. Bip.","H.Robinson","G. Hatschbach; et al.","66401","1997","03","17","América do Sul","Brasil","Minas Gerais","Rod. Montes Claros a Itacambira, Serra do Catuni",NA,"Arbusto, flor creme. Campo rupestre; solo rochoso; encosta do morro.","CESJ039499",NA,"Juramento","-43.5868988037109","-16.8481006622314","2001",NA,NA,"19357","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:32-03","UNICAMP","UEC","120413","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch.Bip.","Semir, J","Semir, J; Mansanares, ME; Belinello, R","0112","2001","06","19",NA,"Brazil","Minas Gerais",NA,NA,"Arbusto até 2 m.","UEC121737","UEC121737","Gouveia","-43.485556","-18.265","2005",NA,NA,NA,NA,"-43.485556","-18.265","1480","1480",NA,NA,NA,NA
"10","2021-03-01 16:24:32-03","UNICAMP","UEC","109093","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch.Bip.","Semir, J","Mansanares, ME; Aona, LYS; Belinello, R","27","1998","12","20",NA,"Brazil","Minas Gerais",NA,NA,"Afloramento rochoso na beira da estrada.","UEC121735","UEC121735","Gouveia","-43.691667","-18.426389","2005",NA,NA,NA,NA,"-43.691667","-18.426389",NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:32-03","UNICAMP","UEC","117179","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch.Bip.","Semir, J","Mansanares, ME; Vitta, FA; Belinello, R","0001","2000","11","28",NA,"Brazil","Minas Gerais","Estrada Curvelo, BR-259, lado E em direção à Diamantina.",NA,"Arbusto 2,0 m. Frutos.; Afloramento.","UEC121743","UEC121743","Gouveia","-43.9525","-18.599444","2005",NA,NA,NA,NA,"-43.9525","-18.599444","1150","1150",NA,NA,NA,NA
"12","2021-03-01 16:24:32-03","UNICAMP","UEC","120414","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","candelabrum","Lychnophora candelabrum","Sch.Bip.","Semir, J; Monge, M","Semir, J; Mansanares, ME; Belinello, R","0113","2001","06","19",NA,"Brazil","Minas Gerais",NA,NA,"Arbusto até 1,80 m.","UEC121739","UEC121739","Gouveia","-43.87525","-18.580472","2012",NA,NA,NA,NA,"-43.87525","-18.580472",NA,NA,NA,NA,NA,NA
