"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","stateProvince","phylum","order","continentOcean","preparationType","occurrenceRemarks","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber"
"1","2021-04-05 14:25:39-03","UNESC","CRI","3515","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","Marcos Sobral","Robson dos Santos","78","1994","06","07","Brasil","Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.7","-29.133333","49º42'W","29º8'S","30","30","CRI005358","CRI005358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:39-03","UNESC","CRI","3500","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","Marcos Sobral","Robson dos Santos","3","1994","04","06","Brasil","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5","CRI005359","CRI005359","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1552464","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","M. L. Kawasaki","M. Kuhlmann","4229","1957","07","30","Brazil","Salesópolis","Boracéa, Estação Biológica.","-45.886229","-23.65179",NA,NA,NA,NA,"NY01552464","NY01552464_01","São Paulo","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947337' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","616065","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","M. Sobral","G. G. Hatschbach","23362","1970","01","18","Brazil","Guaratuba","Divisa","-48.5744","-25.8831",NA,NA,"200","200","NY00616065","NY00616065_01","Paraná","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75435' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1522643","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","M. F. Santos","M. Kuhlmann","4229","1957","07","30","Brazil","Salesópolis","Boracéa, Estação Biológica.","-45.886229","-23.65179",NA,NA,NA,NA,"NY01522643","NY01522643_01","São Paulo","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776424' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","823243","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","15605","1967","01","02","Brazil",NA,"Restinga wood behind Pontal do Sul.","-48.450437","-25.5593",NA,NA,NA,NA,"NY00823243","NY00823243_01","Paraná","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938195' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:40-03","UFRJ","RFA","6655","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand","M. Sobral","Reitz; Klein","3061","1956","11","06","Brasil","Palhoça","Pilões","-48.6678009033203","-27.645299911499",NA,NA,NA,NA,"RFA34429",NA,"Santa Catarina",NA,NA,NA,NA,"Árvore, fruto imaturo","Paratipo","31105","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:07:00-03","NBC","NL-BOTANY","L.2527213","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","01","02","Brazil",NA,"Pental de Sal (Mun. Paranagua) Paraná.",NA,NA,NA,NA,NA,NA,"NL-L2527213","NL-L2527213","Paraná",NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527213 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U 0285009","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein RM",NA,"1968","12","11","Brazil",NA,"Plantas de Santa Catarina, Sanga da Areia, Sombrio.",NA,NA,NA,NA,NA,NA,"NL-U0285009",NA,NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae","Uw14520",NA,NA,NA,NA,NA
"10","2020-02-08 10:07:00-03","NBC","NL-BOTANY","L 0708444","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Unknown",NA,NA,NA,NA,"Brazil",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"NL-L0708444",NA,"Santa Catarina",NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200708444 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:07:00-03","NBC","NL-BOTANY","L.2527211","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein RM",NA,"1968","12","11","Brazil",NA,"Plantas de Santa Catarina, Sanga da Areia, Sombrio.",NA,NA,NA,NA,NA,NA,"NL-L2527211","NL-L2527211",NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:07:00-03","NBC","NL-BOTANY","L.2527212","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein RM",NA,"1960","04","22","Brazil",NA,"Plantas de Santa catarina, Mata da Companhia Hering, Bom Retiro, Blumenau.",NA,NA,NA,NA,NA,NA,"NL-L2527212","NL-L2527212",NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527212 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U.1450088","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein B",NA,"1953","03","12","Brazil",NA,"De Santa Catarina-Brasil, Campo do Massiarbi, Pelhoca, Mata 5 msm, Arvore 8 m.",NA,NA,NA,NA,NA,NA,"NL-U1450088","NL-U1450088",NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450088 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U.1450089","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein RM",NA,"1968","12","11","Brazil",NA,"Plantas de Santa Catarina, Sanga da Areia, Sombrio.",NA,NA,NA,NA,NA,NA,"NL-U1450089","NL-U1450089",NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U.1450090","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein B",NA,"1956","11","06","Brazil",NA,"De Santa Catarina-Brasil, Piloes, Palhoca, Mata alt 300 m, Arvore alt 10 m.",NA,NA,NA,NA,NA,NA,"NL-U1450090","NL-U1450090",NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450090 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U.1450091","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","01","02","Brazil",NA,"Pental de Sal (Mun. Paranagua) Paraná.",NA,NA,NA,NA,NA,NA,"NL-U1450091","NL-U1450091","Paraná",NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450091 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae","U 0083859",NA,NA,NA,NA,NA
"17","2020-02-08 10:07:00-03","NBC","NL-BOTANY","U.1450093","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D.Legrand",NA,"Reitz R; Klein B",NA,"1954","03","18","Brazil",NA,"de Santa Catarina-Brasil, Morro da Fazenda, Itajai, Mata alt 150 msm, Arvore alt 12 m.",NA,NA,NA,NA,NA,NA,"NL-U1450093","NL-U1450093",NA,NA,"Myrtales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1450093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:14:50-03","ESALQ","ESA","4994","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","dichrophylla","Myrcia dichrophylla","D. Legrand","Kawasaki, M.L.","Catharino, E.L.M.","360.0","1985","07","05","Brasil","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"ESA004994",NA,"São Paulo","Magnoliophyta",NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA
