"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00860586","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Eriocaulon","melanolepis","Eriocaulon melanolepis","Silveira","H. N. Moldenke","H. L. de M. Barreto","4406","1936","08","04","South America","Brazil","Minas Gerais","Santa Luzia","Lagoa Santa","-43.8514","-19.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860586","NY00860586_01",NA,NA,NA,NA,NA
"2","2020-11-04 11:06:57-03","ESALQ","ESA","72382","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Eriocaulon","melanolepis","Eriocaulon melanolepis","Alv. Silv.","Moldenke, H.N.","Mello Barreto","4406.0","1936","08","04",NA,"Brasil","Minas Gerais","Santa Luzia",NA,"-43.8513984680176","-19.7696990966797",NA,NA,"ESA072382","ESA072382","19939","auto",NA,NA,NA
"3","2019-11-21 14:35:10-03","UFJF","CESJ","36471","PreservedSpecimen","Plantae","Angiosperma",NA,"Eriocaulaceae","Eriocaulon","melanolepis","Eriocaulon melanolepis","Silveira","A. Oliveira","Mello Barreto","4406","1936","08","04","América do Sul","Brasil","Minas Gerais","Lagoa Santa","Santa Luzia","-43.8897018432617","-19.6271991729736",NA,NA,"CESJ036471",NA,"12338","auto","2014","08","31"
"4","2020-12-11 11:44:00-03","UFMG","BHCB","64134","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Eriocaulon","melanolepis","Eriocaulon melanolepis","Silveira",NA,"Barreto, HLM","4406",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Santa Luzia",NA,"-43.8513984680176","-19.7696990966797",NA,NA,NA,NA,"19939","auto",NA,NA,NA
"5","2020-12-11 11:44:00-03","UFMG","BHCB","99018","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Eriocaulon","melanolepis","Eriocaulon melanolepis","Silveira",NA,"Tameirão Neto, E","4224","2004","10","04","Southern America","Brasil","Minas Gerais","Itacambira","Fazenda Tamanduá - Plantar MG 15. Lagoa marginal.","-43.3088989257812","-17.0646991729736",NA,"Herbáceo; Coletada na margem da lagoa","BHCB021096",NA,"48089","auto","2011","10","11"
