"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:41:04-03","E","E","265830","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri","unspecified kind of","Gardner, George","3890","1905","01","10","E. Tropical South America","BR","Piauhy, Goyaz, & c. Brazil","herbarium specimen of unspecif","BGBASE:289182","<a href=http://data.rbge.org.uk/herb/E00265830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:04-03","E","E","265831","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri","unspecified kind of","Gardner, George","3890",NA,NA,NA,"E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:289186","<a href=http://data.rbge.org.uk/herb/E00265831 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00265831","Goias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","944985","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri",NA,"T. N. Guedes","626","1957","09","14","South America","Brazil","Serra do Araripe.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944985","Ceará","Magnoliophyta","Gentianales","A.DC.","NY00944985_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","944988","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri",NA,"H. S. Irwin","17415","1966","06","18","South America","Brazil","Ca. 96 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944988","Mato Grosso","Magnoliophyta","Gentianales","A.DC.","NY00944988_01","B. A. Krukoff","-52.18","-15.47","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","944987","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri",NA,"G. T. Prance","58252","1964","07","19","South America","Brazil","5 kms north of Veadeiros.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944987","Goiás","Magnoliophyta","Gentianales","A.DC.","NY00944987_01","B. A. Krukoff","-47.5097","-14.1325",NA,NA,"Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","297433","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri","type","G. Gardner","3890","1836",NA,NA,"South America","Brazil","Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=419915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297433",NA,"Magnoliophyta","Gentianales","A.DC.","NY00297433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","590459","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri",NA,"R. de Lemos Fróes","20192","1942","10","08","South America","Brazil","Entre Ibiquara e Mucugê, próximo aos campos gerais da Serra Sincorá","sheet",NA,"=12637 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=419912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590459","Bahia","Magnoliophyta","Gentianales","A.DC.","NY00590459_01","B. A. Krukoff; J. V. Monachino",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","297434","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri","type","G. Gardner","3890","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=419916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297434","Goiás","Magnoliophyta","Gentianales","A.DC.","NY00297434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","944983","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri",NA,"G. G. Hatschbach","30032","1972","08","07","South America","Brazil","Rio do Cipó.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944983","Minas Gerais","Magnoliophyta","Gentianales","A.DC.","NY00944983_01","B. A. Krukoff","-43.7447","-19.5136",NA,NA,"Jaboticatubas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","944990","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","gardneri","Strychnos gardneri",NA,"H. S. Irwin","24182","1969","03","10","South America","Brazil","Chapada dos Veadeiros, ca. 8 km south of Cavalcante","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00944990","Goiás","Magnoliophyta","Gentianales","A.DC.","NY00944990_01","A. J. M. Leeuwenberg","-47.5","-13.87231","1000","1000","Cavalcante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
