"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","previousCatalogNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","547572","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","Rchb.f.","Hoehne; Schltr.","F. C. Hoehne","1132","1917","12","19","South America","Brazil","São Paulo","Alto da Serra, matta da estacao Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547572","NY00547572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:28-03","UFRJ","RFA","37663","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch ex Rchb.f.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga.","542","2011","05","15",NA,"Brasil","Rio de Janeiro","APA Palmares, Zona de Vida Silvestre, Estrada do Marão.",NA,"Erva 20 cm; epífita, raízes finas, longas e brancas; pseudobulbos verde claros, achatados e ovados, duas folhas apicais eretas, lanceoladas e quilhadas; inflorescência basal, pendente flores verde pálido.","RFA38869",NA,"2012","06","15","Paty do Alferes","-43.387222","-22.445833","43º23'14''W","22º26'45''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:28-03","UFRJ","RFA","37784","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch ex Rchb.f.","M. S. Wängler","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga.","764","2011","07","23",NA,"Brasil","Rio de Janeiro","APA Palmares, Zona de Vida Silvestre, Divino Vale.",NA,"Erva epífita, 19 cm, raízes brancas, pseudobulbo fusiforme, folhas dísticas apicais e duas basais, verdes, duas inflorescências racemosas, 19 cm e 5 cm, basais. Encontrada em um cipó. Floresceu em cultivo no dia 1/12/2011.","RFA38868",NA,"2011","12","13","Paty do Alferes","-43.400278","-22.446111","43º24'1''W","22º26'46''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:28-03","UFRJ","RFA","38296","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch ex Rchb.f.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","M. S. Wängler; A. M. Paiva","281","2011","12","12",NA,"Brasil","Rio de Janeiro","APA Palmares, Zona de Vida Silvestre, Divino Vale.",NA,"Erva epífita de 24 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e uma basal, verdes, duas inflorescências racemosas. Floresceu em cultivo em 12/2011.","RFA38867",NA,"2012","03","30","Paty do Alferes","-43.398611","-22.445556","43º23'55''W","22º26'44''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:47-03","UFRJ","RFA","36921","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch ex Rchb.f.","M. O. O. Pellegrini","M. O. O. Pellegrini","67","2010","11","09",NA,"Brasil","Rio de Janeiro","1° Distrito/Petrópolis, Castelânea/Residência particular",NA,"Erva holoepífita umbrófila. Pseudobulbo ovado-lanceolado achatado lateralmente, verde-claro. Folhas cartáceas verde-escuras, duas por pseudobulbo. Inflorescências saindo das duas brácteas laterais, pêndulas. Flores verde-claras à verde-","RFA31687",NA,"2010","11","09","Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:28-03","UFRJ","RFA","37786","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch ex Rchb.f.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","M. S. Wängler; A. M. Paiva; M. O. Pellegrini; V. S. Fereira","281","2010","12","12",NA,"Brasil","Rio de Janeiro","APA Palmares, Zona de Vida Silvestre, Divino Vale.",NA,"Erva epífita de 22 cm, raízes brancas, longas (+ 30 cm), pseudobulbo fusiforme verde, duas folhas apicais e duas basais verdes, membranaceas, duas inflorescências racemosa basais portando mais de 40 flores amarelo claro.","RFA38870",NA,"2012","02","13","Paty do Alferes","-43.4185981750488","-22.4286003112793",NA,NA,"18359","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:19-03","NBC","NL-BOTANY","U.1466495","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch & Rchb.f.","Barros F de","Lindeman JC; Haas JH de",NA,"1967","01","12","Southern America","Brazil","Paraná","Est. Paraná. Serra do Mar; Upper Rio do Corvo, S. of old road to Morretes, c. 25 km E. of Curitiba.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1466495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1466495","NL-U1466495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0251099",NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:40:59-03","MN","R","24935","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","alpina","Gomesa alpina","Porsch","Brade, A.C.","Sampaio, A.J.","4682","1926","05",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"970","970",NA,NA,NA,NA
"9","2020-12-20 21:18:45-03","UFV","VIC","016095","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzch ex Rchb.f.",NA,"Paula, C.C. de","967","1995","02","02",NA,"Brasil","Minas Gerais","PESB-chapada das Antas, Em uma árvore próxima ao riacho.",NA,"Epífita de flores amarela esverdeadas.","VIC016095","VIC016095",NA,NA,NA,"Araponga","-42.5208015441895","-20.6667003631592",NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:45-03","UFV","VIC","5153","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","laxiflora","Gomesa laxiflora","(Lindl.) Klotzsch & Rchb. f.","Pabst","Shimoya, C.; et al.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"Provavelmente cultivada em Viçosa, Minas Gerais.","VIC005153","VIC005153","1978","06","05","Viçosa","-42.8819007873535","-20.7539005279541",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
