"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01198056","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","F. B. Matos","R. A. X. Borges","402","2006","12","17","South America","Brazil","Bahia","Almadina","Serra do Corcovado. 13,8 km ao SW de Coaraci na estrada para Almadina. Fazenda São José. Proprietario Senhor Francisco","-39.6033","-14.7058","650","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198056","NY01198056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016494","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","M. A. Sundue","W. W. Thomas","10570","1994","09","20","South America","Brazil","Bahia","Ilhéus","Cidade de Ilhéus, 3 km N of Rodoviaria, Mata da Esperança, forest N of dam and reservoir.","-39.06917","-14.78194","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016494","NY01016494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198130","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","J. Prado","F. B. Matos","224","2005","01","29","South America","Brazil","Bahia","Almadina","Serra do Corcovado. 9.8 km a SW de Coarací na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco.","-39.6033","-14.7058","650","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411232' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198130","NY01198130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-20 22:20:11-03","MNHN","RECOLNAT_MNHN_P","P00608547","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","Prado","Blanchet",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Bahia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00608547' target='other'> <mi>dwc_moreinfo</mi></a>","P00608547","P00608547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-29 14:53:44-03","UFPR","UPCB","63381","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxom","Prado, J.","Borges, R.A.X.","402","2006","12","17",NA,"Brasil","Bahia","Almadina","Serra do Corcovado, 13,8km ao SW de Coaraci na estrada para Almadina, Fazenda São José, proprietário Sr. Francisco.","-39.603333","-14.705833","650","900",NA,"Erva ca. 20cm, folhas concolores verdes, soros castanhos nigrescentes, interior da mata. Floresta ombrófila densa montana..","UPCB0000314","UPCB0000314","2007","01","01","-39.603333","-14.705833",NA,NA,NA,NA
"6","2020-09-29 14:53:44-03","UFPR","UPCB","69215","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxom","Matos, F.B.","Borges, R.A.X.","567","2007","01","16",NA,"Brasil","Bahia","Almadina","Serra do Corcovado. 13,8km ao SW de Coaraci na estrada para Almadina. Fazenda São José. Proprietário Senhor Francisco.","-39.603333","-14.705833",NA,NA,NA,"Ramos nigrescentes, folíolos discolores alvo-esverdeados abaxialmente. Soros castanhos. Floresta Ombrófila Densa Montana..","UPCB0000313","UPCB0000313","2007","03",NA,"-39.603333","-14.705833",NA,NA,NA,NA
"7","2020-09-29 14:53:44-03","UFPR","UPCB","52987","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxom","Matos, F.B.","Matos, F.B.","224","2005","01","29",NA,"Brasil","Bahia","Almadina","Serra do Corcovado, 9,8km ao SW de Coarací na estrada para Almadina","-39.6371994018555","-14.7053003311157",NA,NA,NA,"Terrestre no interior da mata..","UPCB0000315","UPCB0000315","2005","01","01",NA,NA,"14289","auto",NA,NA
"8","2020-11-10 04:40:00-03","MO","MOBOT","100931411","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","Alan R. Smith","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu","Moraes 4552","2014","12","13","South America","Brazil","Bahia","Almadina","Serra do Corcovado.","-39.6371994018555","-14.7053003311157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14289","auto","1",NA
"9","2020-11-10 04:40:00-03","MO","MOBOT","100930503","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","Alan R. Smith","Pedro L. R. de Moraes|H. van der Werff|Lukas H. Daneu","Moraes 4283","2014","11","30","South America","Brazil","Bahia","Porto Seguro","RPPN Estação Veracel.","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68835","auto","1",NA
"10","2020-07-10 09:49:00-03","MBML","MBML-HERBARIO","43198",NA,"Plantae",NA,NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","N.T.L. Pena/24-01-2018","F.B. Matos; A. Amorim, S.C. Sant'Ana & J. L. Paixão","224","2005","01","29",NA,"Brasil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coaraci na estrada para Almadina, daí N até Fazenda São José - Proprietário Senhor Francisco. Floresta Sumontana/Montana com algumas áreas perturbadas","-39.603333","-14.705833","650","650",NA,"Terrestre no interior da mata","MBML043198","MBML043198",NA,NA,NA,"39W36'12","14S42'21",NA,NA,NA,NA
"11","2020-07-23 11:56:33-03","CEPLAC","CEPEC","52209","PreservedSpecimen","Plantae",NA,NA,"Adiantaceae","Adiantum","diphyllum","Adiantum diphyllum",NA,"A. Salino","A. M. de Carvalho","3410","1991","07","01",NA,"Brasil","Bahia","URUÇUCA","Distrito de Serra Grande.7,3Km na estrada Serra Grande/Itacaré, Faz. Lagoa do Conj. Sta. Cruz.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA,"30/07/2006"
"12","2020-07-23 11:56:33-03","CEPLAC","CEPEC","55552","PreservedSpecimen","Plantae",NA,NA,"Adiantaceae","Adiantum","diphyllum","Adiantum diphyllum",NA,"Sundue & Prado","W. W. Thomas","9205","1995","05","09",NA,"Brasil","Bahia","URUÇUCA","7,3Km ao N de Serra Grande, Rod. P/ Itacaré. Área de estudo.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA,"30/06/1999"
"13","2020-07-23 11:56:33-03","CEPLAC","CEPEC","56427","PreservedSpecimen","Plantae",NA,NA,"Adiantaceae","Adiantum","diphyllum","Adiantum diphyllum",NA,"A. Salino","A. M. Amorim","664","1992","08","25",NA,"Brasil","Bahia","URUÇUCA","Distrito deSerra Grande. 7,3Km na estrada Serra Grande/Itacaré. Conj. Faz. Sta. Cruz.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,NA,NA,"30/07/2006"
"14","2020-07-23 11:56:33-03","CEPLAC","CEPEC","152938","PreservedSpecimen","Plantae",NA,NA,"Adiantaceae","Adiantum","diphyllum","Adiantum diphyllum",NA,"J. Prado","P. L. R. de Moraes","4283","2014","11","30",NA,"Brasil","Bahia","PORTO SEGURO","RPPN Estação Veracel.","-39.0647010803223","-16.4496994018555",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,"68835","auto",NA,NA
"15","2021-01-12 15:24:39-03","UFMG","BHCB-SL","75320","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","diphyllum","Adiantum diphyllum","(Fée) Maxon","Salino, A","Salino, A; Jardim, JG","8216","2002","11","03","América","Brasil","Bahia","Uruçuca","Fragmento de Floresta Ombrófila Densa","-39.05375","-14.430472","155","155",NA,"Terrestre no interior de floresta","BHCB002091","BHCB002091","2003","01",NA,"-39.05375","-14.430472",NA,NA,NA,NA
