"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03865981","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(L.) C.Presl","M. Alem Zabalaga","JA1229","2003","08","20","South America","Bolivia","Cochabamba","Tiraque","Localidad El Limbo","-65.62578","-17.13553","2030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4153825' target='other'> <mi>dwc_moreinfo</mi></a>","NY03865981","NY03865981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03865982","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(L.) C.Presl","J. L. Clark","6408","2001","12","08","South America","Ecuador","Carchi","Tulcán","Parroquia: Chical. Locality not certain. Collected from Carlos Guiz's garden. Wild origin reported as near Gualpi (border region of the Reserva Awa).","-78.23","0.97","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4153841' target='other'> <mi>dwc_moreinfo</mi></a>","NY03865982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03865983","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(L.) C.Presl","J. A. Steyermark","87718","1960","11","23","South America","Venezuela","Delta Amacuro",NA,"Rainforest, between La Margarita and Puerta Miranda. Rio Acure.",NA,NA,"80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4153844' target='other'> <mi>dwc_moreinfo</mi></a>","NY03865983","NY03865983_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","803722","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","G. S. Jenman","s.n.","1897",NA,NA,"South America","Guyana",NA,NA,"Canji and Pomeroon Rivers.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803722","NY00803722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","807224","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","M. Borgo","477","1999","09","20","South America","Brazil","Paraná","Guaratuba","Lagoa do Parado.","-48.7","-25.73",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807224","NY00807224_01",NA,"M. Borgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","807229","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","J. L. Luteyn","8544","1982","07","01","South America","Ecuador","Napo",NA,"Parq. Nac. Yasuní, Añango.","-76.42","-0.5",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807229","NY00807229_01",NA,"B. Øllgaard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","803725","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","J. J. Wurdack","1478","1962","07","23","South America","Peru","Amazonas","Chachapoyas","Along Río Ventilla, 1-2 km. West of Molinopampa",NA,NA,"2350",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803725","NY00803725_01","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","803719","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","L. A. de Escobar","3656","1983","10","27","South America","Colombia","Antioquia","Guatapé","Vereda Santa Rita. Finca Montepinar.",NA,NA,"1850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803719","NY00803719_01","1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","807228","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","R. Schmalz","131","1901","11","29","South America","Brazil","Santa Catarina","Joinville",NA,"-48.8456","-26.3044","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807228",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","803724","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","K. R. Young","460","1981","05","10","South America","Peru","Amazonas","Bongará","Shilla.",NA,NA,"1900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803724","NY00803724_01","1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
