"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","788710","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","O. Handro","O. Handro","177","1950","04","20","South America","Brazil","São Paulo","Sao Paulo","Jabaquara.","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788710","NY00788710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788711","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Á. L. Cabrera","R. Reitz","4194","1963","02","03","South America","Brazil","Santa Catarina","Lajes","Passo do Socorro.","-50.3258","-27.8161","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788711","NY00788711_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788709","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","O. Handro","O. Handro","177","1950","04","20","South America","Brazil","São Paulo","Sao Paulo","Jabaquara.","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788709","NY00788709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788713","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","P. K. H. Dusén","P. K. H. Dusén","17814","1916","02","27","South America","Brazil","Paraná",NA,"Rio Capinzal.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788713","NY00788713_01","580","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788714","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Á. L. Cabrera","L. B. Smith","11409","1957","02","18","South America","Brazil","Santa Catarina","Joaçaba","Campos of Palmas, 62km west of Caçador.","-51.5044","-27.1783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788714","NY00788714_01","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788716","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","G. M. Barroso","J. C. Lindeman","4993","1967","03","18","South America","Brazil","Paraná",NA,"Edge of campo near Rio Reserva, upstream of great falls.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788716","NY00788716_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:11-03","EAO","IAN","77031","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN077031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:24:55-03","PUCPR","HUCP","10776","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Guimarães, O","Almeida, A","s.n.","1990","08","29",NA,"Brasil","Paraná","Palmas",NA,"-51.9906005859375","-26.4841995239258",NA,NA,"HUCP00008665","HUCP00008665",NA,NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584948","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"Reitz R",NA,"1963","02","03","Southern America","Brazil",NA,NA,"Santa Catarina. Passo do Socorro, Lajes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584948","NL-L1584948",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.1584949","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"Smith LB; Klein RM",NA,"1957","02","18","Southern America","Brazil",NA,NA,"Santa Catarina. Mun. Joacaba: Campo, campos of Palmas, 62 km west of Cacador.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1584949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1584949","NL-L1584949",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
