"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","459821","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo","F. G. Lorea-Hernández","F. C. Hoehne","28317","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459821","NY00459821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459822","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo","J. B. Baitello","D. A. Estevan","41","South America","Brazil","Paraná","Telêmaco Borba","Em frente a Vila Rural Santa Rosa.","-50.6156","-24.3239","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459822","NY00459822_01","1999","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459823","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo","I. de Vattimo","A. P. Duarte","2634","South America","Brazil","Minas Gerais",NA,"Serra Cipó, km 130","-43.505872","-19.227045","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459823","NY00459823_01","1953","04","26","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","459820","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo","I. de Vattimo","F. C. Hoehne","28317","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459820","NY00459820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","355861","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","stenophylla","Persea stenophylla","Meisn.",NA,"L. Riedel","1587","South America","Brazil",NA,NA,"In sylvis montosis pr. Mugy.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355861","NY00355861_01","1833","11",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:04-03","PUCPR","HUCP","23629","S","Plantae","Magnoliidae",NA,"Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo-Gil.","Brotto, M","Dunaiski, A","1423",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00012821","HUCP00012821","1999","10","31",NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:04-03","PUCPR","HUCP","18548","S","Plantae","Magnoliidae",NA,"Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo-Gil.",NA,"Selusniaki, M","638",NA,"Brasil","São Paulo","Mairiporã","Mato Dentro, Serra da Cantareira.","-46.5800018310547","-23.3099994659424",NA,NA,"HUCP00012524","HUCP00012524","2006",NA,NA,NA,NA,NA,"15840","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:35:19-03","NBC","NL-BOTANY","U.1359928","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum","(Meisn.) Vattimo",NA,"Hoehne FC",NA,"Southern America","Brazil",NA,NA,"Proced Jardim Botanico & Paulo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1359928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1359928","NL-U1359928","1931","10","02",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U.1417713","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Persea","stenophylla","Persea stenophylla","Meisn.",NA,"Unknown",NA,"Southern America","Brazil",NA,NA,"Alto da Serra-S.Paulo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1417713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1417713","NL-U1417713",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:11:51-03","ESALQ","ESA","115805","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Cinnamomum","stenophyllum","Cinnamomum stenophyllum",NA,NA,"Gimenez, L.L.S.",NA,NA,"Brasil","Minas Gerais","Caldas-Pedra Branca",NA,NA,NA,NA,NA,"ESA115805",NA,"2006","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
