"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02103559","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","L.A. Gomes","L.A. Gomes","1080","2013","05","22","South America","Brazil","Sergipe","Santa Luzia do Itanhy","Mata do Crasto: Borda de mata.","-37.4322","-11.3656","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2255532' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103559","NY02103559_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","669951","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","N. F. F. MacLeish","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","Ex Herbario horti Petropolitani <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669951","NY00669951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","895270","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","E. L. Ekman","Martii Herbar. Florae Brasil.","698","1839",NA,NA,"South America","Brazil","Mato Grosso","Cuiabá",NA,"-56.0967","-15.5961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895270","NY00895270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01112718","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","M. Dematteis","M. Groppo, Jr.","1007","2002","02","03","South America","Brazil","Bahia","Esplanada","Estrada para Conde, ca. 4 km da BR-101","-37.9064","-11.7767","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261072' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112718","NY01112718_01","160","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1262349","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","H. E. Robinson","M. M. M. Lopes","1257","2007","04","19","South America","Brazil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coarací na estrada para Almadina, daí N ate a Fazenda São José. Proprietario Senhor Francisco. Parte alta da enconsta","-39.6033","-14.7058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1531871' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262349","NY01262349_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669949","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.",NA,"L. Riedel","225","1832",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Rio Janeiro","-43.448386","-22.913514","sheet","Iter Brasiliense 1831-33 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669949","NY00669949_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669943","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","H. E. Robinson","H. S. Irwin","31252","1971","02","28","South America","Brazil","Bahia",NA,"Serra da Agua de Rega. Ca. 1km N. of Agua de Rega, road to Cafarnaúm",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669943","NY00669943_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01873433","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.",NA,"F. A. Santana","89","2011","12","20","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Serra do Saco da Onça.","-42.5739","-14.7408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2933763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873433","NY01873433_01","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01198488","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","H. E. Robinson","W. W. Thomas","13575","2003","07","25","South America","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.","-40.1908","-13.9394","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571127' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198488","NY01198488_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","669940","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Albertinia","brasiliensis","Albertinia brasiliensis","Spreng.","N. F. F. MacLeish","J. S. Blanchet","1698",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,"-39.039072","-15.159747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669940","NY00669940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
